序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,特高压分为：,,,变压器，换流阀，绝缘子，输电铁塔，电力线缆,,,,,,,,ABCDEFGH,x155-特高压
2,特变电工,变压器,新疆-昌吉,,,,,,,,,ABCDEFGH,x155-特高压
3,许继电气,变压器,河南-许昌,,,,,,,,,ABCDEFGH,x155-特高压
4,保变电气,变压器,河北-保定,,,,,,,,,ABCDEFGH,x155-特高压
5,顺安股份,变压器,广东-佛山,,,,,,,,,ABCDEFGH,x155-特高压
6,中国西电,变压器,陕西-西安,,,,,,,,,ABCDEFGH,x155-特高压
7,北京科锐,变压器,北京,,,,,,,,,ABCDEFGH,x155-特高压
8,三变科技,变压器,浙江-台州,,,,,,,,,ABCDEFGH,x155-特高压
9,伊戈尔,变压器,广东-佛山,,,,,,,,,ABCDEFGH,x155-特高压
10,九洲集团,变压器,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x155-特高压
11,扬电科技-300,变压器,江苏-泰州,,,,,,,,,ABCDEFGH,x155-特高压
12,望变电气,变压器,重庆,,,,,,,,,ABCDEFGH,x155-特高压
13,国电南瑞,换流阀,江苏-南京,,,,,,,,,ABCDEFGH,x155-特高压
14,许继电气,换流阀,河南-许昌,,,,,,,,,ABCDEFGH,x155-特高压
15,中国西电,换流阀,陕西-西安,,,,,,,,,ABCDEFGH,x155-特高压
16,大连电瓷,绝缘子,辽宁-=大连,,,,,,,,,ABCDEFGH,x155-特高压
17,神马电力,绝缘子,江苏-南通,,,,,,,,,ABCDEFGH,x155-特高压
18,金利华电-300,绝缘子,山西-长治,,,,,,,,,ABCDEFGH,x155-特高压
19,华瓷股份,绝缘子,湖南-株洲,,,,,,,,,ABCDEFGH,x155-特高压
20,平安电工,绝缘子,湖北-咸宁,,,,,,,,,ABCDEFGH,x155-特高压
21,宏盛华源,输电铁塔,山东-济南,,,,,,,,,ABCDEFGH,x155-特高压
22,风范股份,输电铁塔,江苏-苏州,,,,,,,,,ABCDEFGH,x155-特高压
23,汇金通,输电铁塔,山东-青岛,,,,,,,,,ABCDEFGH,x155-特高压
24,东方铁塔,输电铁塔,山东-青岛,,,,,,,,,ABCDEFGH,x155-特高压
25,远东股份,电力线缆,青海-西宁,,,,,,,,,ABCDEFGH,x155-特高压
26,亨通光电,电力线缆,,,,,,,,,,ABCDEFGH,x155-特高压
27,起帆电缆,电力线缆,上海,,,,,,,,,ABCDEFGH,x155-特高压
28,宝胜股份,电力线缆,江苏-扬州,,,,,,,,,ABCDEFGH,x155-特高压
29,汉缆股份,电力线缆,山东-青岛,,,,,,,,,ABCDEFGH,x155-特高压
30,万马股份,电力线缆,浙江-杭州,,,,,,,,,ABCDEFGH,x155-特高压
31,太阳电缆,电力线缆,福建-南平,,,,,,,,,ABCDEFGH,x155-特高压
32,杭电股份,电力线缆,浙江-杭州,,,,,,,,,ABCDEFGH,x155-特高压
33,中超控股,电力线缆,江苏-无锡,,,,,,,,,ABCDEFGH,x155-特高压
34,东方电缆,电力线缆,浙江-宁波,,,,,,,,,ABCDEFGH,x155-特高压
35,华通线缆,电力线缆,河北-唐山,,,,,,,,,ABCDEFGH,x155-特高压
36,安靠智电-300,电力线缆,江苏-常州,,,,,,,,,ABCDEFGH,x155-特高压
37,长缆科技,电力线缆,湖南-长沙,,,,,,,,,ABCDEFGH,x155-特高压
