序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,供水服务分为,,,水处理，水供应，设备，智慧水务,,,,,,,,ABCDEFGH,x156-供水服务
2,碧水源-300,水处理-海水淡化,北京,,,,,,,,,ABCDEFGH,x156-供水服务
3,力源科技-688,水处理-海水淡化,浙江-嘉兴,,,,,,,,,ABCDEFGH,x156-供水服务
4,泰和科技-300,水处理-水处理剂,山东-枣庄,,,,,,,,,ABCDEFGH,x156-供水服务
5,清水源-300,水处理-水处理剂,河南-济源,,,,,,,,,ABCDEFGH,x156-供水服务
6,三达膜-688,水处理-水处理膜,陕西-延安,,,,,,,,,ABCDEFGH,x156-供水服务
7,沃顿科技,水处理-水处理膜,贵州-贵阳,,,,,,,,,ABCDEFGH,x156-供水服务
8,津膜科技-300,水处理-水处理膜,天津,,,,,,,,,ABCDEFGH,x156-供水服务
9,富淼科技-688,水处理-水处理膜,江苏-苏州,,,,,,,,,ABCDEFGH,x156-供水服务
10,久吾高科-300,水处理-水处理膜,江苏-南京,,,,,,,,,ABCDEFGH,x156-供水服务
11,嘉戎技术-300,水处理-水处理膜,福建-厦门,,,,,,,,,ABCDEFGH,x156-供水服务
12,联合水务,水供应-民营,江苏-宿迁,,,,,,,,,ABCDEFGH,x156-供水服务
13,鹏鹞环保-yao-300,水供应-民营,江苏-无锡,,,,,,,,,ABCDEFGH,x156-供水服务
14,深水海纳-300,水供应-民营,深圳,,,,,,,,,ABCDEFGH,x156-供水服务
15,海天股份,水供应-民营,四川-成都,,,,,,,,,ABCDEFGH,x156-供水服务
16,国中水务,水供应-民营,黑龙家-哈尔滨,,,,,,,,,ABCDEFGH,x156-供水服务
17,首创环保,水供应-国企,北京,,,,,,,,,ABCDEFGH,x156-供水服务
18,兴蓉环境,水供应-国企,四川-成都,,,,,,,,,ABCDEFGH,x156-供水服务
19,中山公用,水供应-国企,广东-中山,,,,,,,,,ABCDEFGH,x156-供水服务
20,重庆水务,水供应-国企,重庆,,,,,,,,,ABCDEFGH,x156-供水服务
21,绿城水务,水供应-国企,广西-南宁,,,,,,,,,ABCDEFGH,x156-供水服务
22,钱江水利,水供应-国企,浙江-杭州,,,,,,,,,ABCDEFGH,x156-供水服务
23,顺控发展,水供应-国企,广东-佛山,,,,,,,,,ABCDEFGH,x156-供水服务
24,江南水务,水供应-国企,江苏-无锡,,,,,,,,,ABCDEFGH,x156-供水服务
25,祥龙电业,水供应-国企,湖北-武汉,,,,,,,,,ABCDEFGH,x156-供水服务
26,渤海股份,水供应-国企,北京,,,,,,,,,ABCDEFGH,x156-供水服务
27,南方泵业-300,设备-水泵,浙江-杭州,,,,,,,,,ABCDEFGH,x156-供水服务
28,利欧股份,设备-水泵,浙江-台州,,,,,,,,,ABCDEFGH,x156-供水服务
29,凌霄泵业,设备-水泵,广东-阳江,,,,,,,,,ABCDEFGH,x156-供水服务
30,君禾股份,设备-水泵,浙江-宁波,,,,,,,,,ABCDEFGH,x156-供水服务
31,大元泵业,设备-水泵,浙江-台州,,,,,,,,,ABCDEFGH,x156-供水服务
32,泰福泵业-300,设备-水泵,浙江-台州,,,,,,,,,ABCDEFGH,x156-供水服务
33,瑞晨环保-300,设备-水泵,上海,,,,,,,,,ABCDEFGH,x156-供水服务
34,宁水集团,设备-水表,浙江-宁波,,,,,,,,,ABCDEFGH,x156-供水服务
35,三川智慧-300,设备-水表,江西-鹰潭,,,,,,,,,ABCDEFGH,x156-供水服务
36,山科智能-300,设备-水表,浙江-杭州,,,,,,,,,ABCDEFGH,x156-供水服务
37,新天科技-300,设备-水表,河南-郑州,,,,,,,,,ABCDEFGH,x156-供水服务
38,迈拓股份-300,设备-水表,江苏-南京,,,,,,,,,ABCDEFGH,x156-供水服务
39,汇中股份-300,设备-水表,河北-唐山,,,,,,,,,ABCDEFGH,x156-供水服务
40,伟隆股份,设备-阀门,山东-青岛,,,,,,,,,ABCDEFGH,x156-供水服务
41,和达科技-689,智慧水务,浙江-嘉兴,,,,,,,,,ABCDEFGH,x156-供水服务
42,舜禹股份-300,智慧水务,安徽-合肥,,,,,,,,,ABCDEFGH,x156-供水服务
43,威派格,智慧水务,上海,,,,,,,,,ABCDEFGH,x156-供水服务
44,华控赛格,智慧水务,深圳,,,,,,,,,ABCDEFGH,x156-供水服务
