序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,民营医院分为,,,综合医院，专科医院，其他,,,,,,,,ABCDEFGH,x157-民营医院
2,国际医学,综合医院,陕西-西安,,,,,,,,,ABCDEFGH,x157-民营医院
3,新里程,综合医院,甘肃-陇南,,,,,,,,,ABCDEFGH,x157-民营医院
4,创新医疗,综合医院,浙江-绍兴,,,,,,,,,ABCDEFGH,x157-民营医院
5,凯普生物-300,综合医院,广东-潮州,,,,,,,,,ABCDEFGH,x157-民营医院
6,悦心健康,综合医院,上海,,,,,,,,,ABCDEFGH,x157-民营医院
7,澳洋健康,综合医院,江苏-苏州,,,,,,,,,ABCDEFGH,x157-民营医院
8,朗玛信息-300,综合医院,贵州-贵阳,,,,,,,,,ABCDEFGH,x157-民营医院
9,爱尔眼科-300,专科医院-眼科医院,湖南-长沙,,,,,,,,,ABCDEFGH,x157-民营医院
10,华夏眼科,专科医院-眼科医院,,,,,,,,,,ABCDEFGH,x157-民营医院
11,普瑞眼科-300,专科医院-眼科医院,四川-成都,,,,,,,,,ABCDEFGH,x157-民营医院
12,何氏眼科-300,专科医院-眼科医院,辽宁-沈阳,,,,,,,,,ABCDEFGH,x157-民营医院
13,光正眼科,专科医院-眼科医院,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x157-民营医院
14,通策医疗,专科医院-牙科医院,浙江-杭州,,,,,,,,,ABCDEFGH,x157-民营医院
15,皓宸医疗-hao-chen,专科医院-牙科医院,吉林-吉林,,,,,,,,,ABCDEFGH,x157-民营医院
16,华邦健康,专科医院-医美机构,重庆,,,,,,,,,ABCDEFGH,x157-民营医院
17,朗姿股份,专科医院-医美机构,北京,,,,,,,,,ABCDEFGH,x157-民营医院
18,苏宁环球,专科医院-医美机构,吉林-吉林,,,,,,,,,ABCDEFGH,x157-民营医院
19,贝泰妮-300,专科医院-医美机构,云南-昆明,,,,,,,,,ABCDEFGH,x157-民营医院
20,澳洋健康,专科医院-医美机构,江苏-苏州,,,,,,,,,ABCDEFGH,x157-民营医院
21,麦澜德-688,专科医院-医美机构,江苏南京,,,,,,,,,ABCDEFGH,x157-民营医院
22,达嘉维康-300,专科医院-医美机构,湖南-长沙,,,,,,,,,ABCDEFGH,x157-民营医院
23,三博脑科-300,专科医院-脑科医院,北京,,,,,,,,,ABCDEFGH,x157-民营医院
24,盈康生命-300,其他,山东-青岛,,,,,,,,,ABCDEFGH,x157-民营医院
25,海南海药,其他,海南-海口,,,,,,,,,ABCDEFGH,x157-民营医院
26,南京新百,其他,江苏-南京,,,,,,,,,ABCDEFGH,x157-民营医院
27,赤天化,其他,贵州-贵阳,拥有1家肿瘤医院,,,,,,,,ABCDEFGH,x157-民营医院
28,宝莱特-300,其他,广东-珠海,,,,,,,,,ABCDEFGH,x157-民营医院
29,大东方,其他,江苏-无锡,,,,,,,,,ABCDEFGH,x157-民营医院
30,开开实业,其他,上海,,,,,,,,,ABCDEFGH,x157-民营医院
31,平潭发展,其他,福建-福州,,,,,,,,,ABCDEFGH,x157-民营医院
32,莎普爱思,其他,浙江-嘉兴,,,,,,,,,ABCDEFGH,x157-民营医院
33,益佰制药,其他,贵州-贵阳,,,,,,,,,ABCDEFGH,x157-民营医院
34,灵康药业,其他,西藏-山南市,,,,,,,,,ABCDEFGH,x157-民营医院
