序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,医药医疗分为,,,糖尿病，心血管，呼吸系统，胃肠道，儿童用药，生物疫苗，医疗服务，辅料,,,,,,,,ABCDEFGH,x158-医药医疗
2,乐心医疗,糖尿病-血糖仪,广东-中山,,,,,,,,,ABCDEFGH,x158-医药医疗
3,三诺生物-300,糖尿病-血糖仪,湖南-长沙,,,,,,,,,ABCDEFGH,x158-医药医疗
4,鱼跃医疗,糖尿病-血糖仪,江苏-镇江,,,,,,,,,ABCDEFGH,x158-医药医疗
5,甘李药业,糖尿病-胰岛素,北京,,,,,,,,,ABCDEFGH,x158-医药医疗
6,海正药业,糖尿病-胰岛素,浙江-台州,,,,,,,,,ABCDEFGH,x158-医药医疗
7,通化东宝,糖尿病-胰岛素,吉林-通化,,,,,,,,,ABCDEFGH,x158-医药医疗
8,亿帆医药,糖尿病-胰岛素,浙江-杭州,,,,,,,,,ABCDEFGH,x158-医药医疗
9,康德莱,糖尿病-胰岛素,上海,,,,,,,,,ABCDEFGH,x158-医药医疗
10,乐普医疗-300,糖尿病-胰岛素,北京,,,,,,,,,ABCDEFGH,x158-医药医疗
11,三诺生物-300,糖尿病-胰岛素,湖南-长沙,,,,,,,,,ABCDEFGH,x158-医药医疗
12,亚宝药业,糖尿病-胰岛素,陕西-运城,,,,,,,,,ABCDEFGH,x158-医药医疗
13,常山药业-300,糖尿病-胰岛素,河北-石家庄,,,,,,,,,ABCDEFGH,x158-医药医疗
14,济民健康,糖尿病-再生胰岛素,浙江-台州,,,,,,,,,ABCDEFGH,x158-医药医疗
15,方盛制药,心血管-药物,湖南-长沙,,,,,,,,,ABCDEFGH,x158-医药医疗
16,誉衡药业,心血管-药物,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x158-医药医疗
17,泓博医药-300,心血管-药物,上海,,,,,,,,,ABCDEFGH,x158-医药医疗
18,德展健康,心血管-药物,新疆-乌鲁木齐,,,,,,,,,ABCDEFGH,x158-医药医疗
19,众生药业,心血管-药物,广东-东莞,,,,,,,,,ABCDEFGH,x158-医药医疗
20,美诺华,心血管-药物,浙江-宁波,,,,,,,,,ABCDEFGH,x158-医药医疗
21,亨迪药业-300,心血管-药物,湖北-荆门,,,,,,,,,ABCDEFGH,x158-医药医疗
22,康恩贝,心血管-药物,浙江-金华,,,,,,,,,ABCDEFGH,x158-医药医疗
23,南新制药-688,心血管-药物,湖南-长沙,,,,,,,,,ABCDEFGH,x158-医药医疗
24,辰欣药业,心血管-药物,山东-济宁,,,,,,,,,ABCDEFGH,x158-医药医疗
25,广生堂-300,心血管-药物,福建-宁德,,,,,,,,,ABCDEFGH,x158-医药医疗
26,东北制药,心血管-药物,辽宁-沈阳,,,,,,,,,ABCDEFGH,x158-医药医疗
27,金陵药业,心血管-药物,江苏-南京,,,,,,,,,ABCDEFGH,x158-医药医疗
28,京新药业,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
29,九芝堂,心血管-药物,湖南-常山,,,,,,,,,ABCDEFGH,x158-医药医疗
30,羚锐制药,心血管-药物,河南-信阳,,,,,,,,,ABCDEFGH,x158-医药医疗
31,昆药集团,心血管-药物,云南-昆明,,,,,,,,,ABCDEFGH,x158-医药医疗
32,花园生物-300,心血管-药物,浙江-金华,,,,,,,,,ABCDEFGH,x158-医药医疗
33,亚宝药业,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
34,粤万年青,心血管-药物,广东-汕头,,,,,,,,,ABCDEFGH,x158-医药医疗
35,易明医药,心血管-药物,西藏-拉萨,,,,,,,,,ABCDEFGH,x158-医药医疗
36,立方制药,心血管-药物,安徽-合肥,,,,,,,,,ABCDEFGH,x158-医药医疗
37,丰原药业,心血管-药物,安徽-芜湖,,,,,,,,,ABCDEFGH,x158-医药医疗
38,普洛药业,心血管-药物,浙江-金华,,,,,,,,,ABCDEFGH,x158-医药医疗
39,振东制药-300,心血管-药物,陕西-长治,,,,,,,,,ABCDEFGH,x158-医药医疗
40,天士力,心血管-药物,天津-北辰,,,,,,,,,ABCDEFGH,x158-医药医疗
41,以岭药业,心血管-药物,河北-石家庄,,,,,,,,,ABCDEFGH,x158-医药医疗
42,步长制药,心血管-药物,山东-菏泽,,,,,,,,,ABCDEFGH,x158-医药医疗
43,贵州百灵,心血管-药物,贵州-安顺,,,,,,,,,ABCDEFGH,x158-医药医疗
44,达仁堂,心血管-药物,天津,,,,,,,,,ABCDEFGH,x158-医药医疗
45,哈三联,心血管-药物,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x158-医药医疗
46,赛升药业-300,心血管-药物,北京,,,,,,,,,ABCDEFGH,x158-医药医疗
47,乐普医疗,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
48,心脉医疗-688,心血管-药物,上海,,,,,,,,,ABCDEFGH,x158-医药医疗
49,赛诺医疗-688,心血管-药物,天津,,,,,,,,,ABCDEFGH,x158-医药医疗
50,佰仁医疗-688,心血管-药物,北京,,,,,,,,,ABCDEFGH,x158-医药医疗
51,惠泰医疗-688,心血管-药物,深圳,,,,,,,,,ABCDEFGH,x158-医药医疗
52,微电生理-688,心血管-药物,上海,,,,,,,,,ABCDEFGH,x158-医药医疗
53,瑞迈特-300,心血管-药物,北京,,,,,,,,,ABCDEFGH,x158-医药医疗
54,鱼跃医疗,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
55,迈瑞医疗-300,心血管-药物,深圳,,,,,,,,,ABCDEFGH,x158-医药医疗
56,华润三九,心血管-药物,深圳,,,,,,,,,ABCDEFGH,x158-医药医疗
57,以岭药业,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
58,云南白药,心血管-药物,云南-昆明,,,,,,,,,ABCDEFGH,x158-医药医疗
59,振东制药,心血管-药物,,,,,,,,,,ABCDEFGH,x158-医药医疗
60,尔康制药,心血管-药物,湖南-长沙,,,,,,,,,ABCDEFGH,x158-医药医疗
61,葵花药业,心血管-药物,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x158-医药医疗
62,丽珠集团,心血管-药物,广东-珠海,,,,,,,,,ABCDEFGH,x158-医药医疗
63,哈药股份,心血管-药物,黑龙江-哈尔滨,,,,,,,,,ABCDEFGH,x158-医药医疗
