序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,共封装光学CPO,,,光材料，光部件，薄膜铌酸锂，光器件，光芯片，光模块，光设备，光连接，硅光,,,,,,,,ABCDEFGH,x159-共封装光学CPO
2,云南锗业,光材料,云南-临沧,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
3,天通股份,光材料,浙江-嘉兴,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
4,光库科技-300,光材料,广东-珠海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
5,天孚通信-300,光部件-FAU,江苏-苏州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
6,光库科技,光部件-FAU,广东-珠海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
7,杰普特-688,光部件-FAU,深圳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
8,泰晶科技,光部件-石英晶振,湖北-随州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
9,惠伦晶体-300,光部件-石英晶振,广东-东莞,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
10,五方光电,光部件-滤光片,湖北-荆州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
11,水晶光电,光部件-滤光片,浙江-台州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
12,东田微-300,光部件-滤光片,湖北-宜昌,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
13,腾景科技-688,光部件-滤光片,福建-福州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
14,富信科技-688,光部件-散热,广东-佛山,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
15,天通股份,光部件-散热,浙江-嘉兴,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
16,天通股份,薄膜铌酸锂-材料,浙江-嘉兴,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
17,福晶科技,薄膜铌酸锂-材料,福建-福州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
18,剑桥科技,薄膜铌酸锂-材料,上海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
19,东方钽业,薄膜铌酸锂-材料,宁夏-石嘴山,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
20,沪硅产业-688,薄膜铌酸锂-材料,上海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
21,光库科技,薄膜铌酸锂-调制器,广东-珠海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
22,华工科技,薄膜铌酸锂-产品,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
23,新易盛-300,薄膜铌酸锂-产品,四川-成都,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
24,联特科技-300,薄膜铌酸锂-产品,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
25,中际旭创-300,薄膜铌酸锂-产品,山东-烟台,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
26,光迅科技,薄膜铌酸锂-产品,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
27,罗博特科-300,薄膜铌酸锂-产品,江苏-苏州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
28,光迅科技,光器件,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
29,天孚通信,光器件,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
30,长芯博创-300,光器件,浙江-嘉兴,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
31,太辰光-300,光器件,深圳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
32,光库科技,光器件,广东-珠海,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
33,光迅科技,光芯片,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
34,天孚通信,光芯片,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
35,长芯博创,光芯片,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
36,太辰光,光芯片,深圳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
37,光库科技,光芯片,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
38,中际旭创,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
39,光迅科技,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
40,新易盛,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
41,华工科技,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
42,华西股份,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
43,联特科技,光模块-全球,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
44,天孚通信,光模块-光引擎,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
45,剑桥科技,光模块-LPO,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
46,汇源通信,光模块-其他,四川-成都,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
47,汇绿生态,光模块-其他,湖北-武汉,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
48,富信科技,光模块-其他,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
49,汇源通信,光模块-其他,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
50,汇绿生态,光模块-其他,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
51,富信科技,光模块-光引擎,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
52,罗博特科,光设备,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
53,致尚科技-300,光连接-MT插芯,深圳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
54,三环集团,光连接-MT插芯,广东-潮州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
55,太辰光,光连接-MT插芯,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
56,兆龙互连-300,光连接-高速电缆DAC,浙江-湖州,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
57,罗博特科,硅光-硅光设备,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
58,四川九洲,硅光-硅光设备,绵阳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
59,源杰科技-688,硅光-硅光光源,陕西-咸阳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
60,仕佳光子-688,硅光-硅光光源,河南-鹤壁,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
61,天孚通信,硅光-硅光引擎,,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
62,四川九洲,硅光-硅光引擎,绵阳,,,,,,,,,ABCDEFGH,x159-共封装光学CPO
