序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,牧原股份,出栏排名,河南-南阳,第一， 6120万头,,,,,,,,ABCDEFGH,x16-生猪
2.0,温氏股份,出栏排名,广东-云浮,第二，1790弯头,,,,,,,,ABCDEFGH,x16-生猪
3.0,新希望,出栏排名,四川-绵阳,第三，1462万,,,,,,,,ABCDEFGH,x16-生猪
4.0,大北农,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
5.0,海大集团,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
6.0,天邦食品,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
7.0,唐人神,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
8.0,新五丰,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
9.0,正邦科技,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
10.0,天康生物,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
11.0,巨星农牧,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
12.0,神农集团,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
13.0,京基智农,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
14.0,傲农生物,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
15.0,禾丰股份,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
16.0,立华股份,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
17.0,金新农,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
18.0,东瑞股份,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
19.0,罗牛山,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
20.0,天域生物,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
21.0,正虹科技,出栏排名,,,,,,,,,,ABCDEFGH,x16-生猪
22.0,新五丰,湖南,湖南-长沙,27亿,,,,,,,,ABCDEFGH,x16-生猪
23.0,正虹科技,湖南,湖南-岳阳,3.2亿,,,,,,,,ABCDEFGH,x16-生猪
24.0,唐人神,湖南,湖南-株洲,48亿,,,,,,,,ABCDEFGH,x16-生猪
25.0,东瑞股份,广东,广东-河源,11亿，供港,,,,,,,,ABCDEFGH,x16-生猪
26.0,京基智农,广东,深圳,22亿， 同时鸡苗,,,,,,,,ABCDEFGH,x16-生猪
27.0,金新农,广东,深圳,14亿,,,,,,,,ABCDEFGH,x16-生猪
28.0,巨星农牧,四川,四川-乐山,29亿,,,,,,,,ABCDEFGH,x16-生猪
29.0,神农集团,云南,云南-昆明,17亿,,,,,,,,ABCDEFGH,x16-生猪
30.0,天域生物,重庆,重庆-江北,4亿,,,,,,,,ABCDEFGH,x16-生猪
31.0,罗牛山,海南,海南-海口,10亿,,,,,,,,ABCDEFGH,x16-生猪
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28.0,,,,,,,,,,,,,
