序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,智能体 分为,,,应用进度，四大巨头，行业智能体,,,,,,,,ABCDEFGH,x160-智能体
2,能科科技,应用进度,北京,智能制造与智能电气-军工客户-C919,,,,,,,,ABCDEFGH,x160-智能体
3,蓝色光标-300,四大巨头-manus,北京,,,,,,,,,ABCDEFGH,x160-智能体
4,盛通股份,四大巨头-manus,北京,,,,,,,,,ABCDEFGH,x160-智能体
5,东方明珠,四大巨头-manus,上海,,,,,,,,,ABCDEFGH,x160-智能体
6,佳都科技,四大巨头-manus,广州,,,,,,,,,ABCDEFGH,x160-智能体
7,酷特智能-300,四大巨头-华为,青岛,酷特AI agent,,,,,,,,ABCDEFGH,x160-智能体
8,金财互联,四大巨头-华为,江苏-盐城,与华为合作“欣智悦财税大模型,,,,,,,,ABCDEFGH,x160-智能体
9,彩讯股份-300,四大巨头-华为,深圳,鸿蒙“小艺”,,,,,,,,ABCDEFGH,x160-智能体
10,能科科技,四大巨头-华为,北京,乐仓智能体上线,,,,,,,,ABCDEFGH,x160-智能体
11,汉得信息-300,四大巨头-字节,上海,AI智能体耳机OLAFiend,,,,,,,,ABCDEFGH,x160-智能体
12,盛通股份,四大巨头-字节,北京,,,,,,,,,ABCDEFGH,x160-智能体
13,南兴股份,四大巨头-open ai ,广东-东莞,与微软合作的小鹭AIGC智能助手已上线,,,,,,,,ABCDEFGH,x160-智能体
14,鼎捷数智-300,四大巨头-open ai ,上海,在中国台湾地区发布 结合微软openai的个人智能助理 娜娜,,,,,,,,ABCDEFGH,x160-智能体
15,垒知集团,四大巨头-open ai ,福建-厦门,代理微软openai的agent,,,,,,,,ABCDEFGH,x160-智能体
16,致远互联-688,行业智能体-办公,北京,办公代理人，可帮助员工发起会议，查询数据,,,,,,,,ABCDEFGH,x160-智能体
17,金山办公-688,行业智能体-办公,北京,,,,,,,,,ABCDEFGH,x160-智能体
18,福昕软件-xin,行业智能体-办公,,PDF ai助手,,,,,,,,ABCDEFGH,x160-智能体
19,云从科技-688,行业智能体-办公,广州,AI鼠标，办公精灵,,,,,,,,ABCDEFGH,x160-智能体
20,思特奇-300,行业智能体-办公,北京,,,,,,,,,ABCDEFGH,x160-智能体
21,泛微网络,行业智能体-办公,上海,泛微数智大脑,,,,,,,,ABCDEFGH,x160-智能体
22,合合信息-688,行业智能体-办公,上海,财报机器人，合同机器人，AI智能审核系统,,,,,,,,ABCDEFGH,x160-智能体
23,美格智能,行业智能体-办公,深圳,,,,,,,,,ABCDEFGH,x160-智能体
24,世纪天鸿-300,行业智能体-教育,淄博,,,,,,,,,ABCDEFGH,x160-智能体
25,新开普-300,行业智能体-教育,郑州,,,,,,,,,ABCDEFGH,x160-智能体
26,实达集团,行业智能体-教育,福建-福州,,,,,,,,,ABCDEFGH,x160-智能体
27,值得买-300,行业智能体-电商,北京,,,,,,,,,ABCDEFGH,x160-智能体
28,焦点科技,行业智能体-电商,江苏-南京,,,,,,,,,ABCDEFGH,x160-智能体
29,利欧股份,行业智能体-电商,浙江-台州,,,,,,,,,ABCDEFGH,x160-智能体
30,万兴科技-300,行业智能体-创作,西藏-拉萨,墨刀AI助手,,,,,,,,ABCDEFGH,x160-智能体
31,昆仑万维-300,行业智能体-创作,北京,天工SKYagents,,,,,,,,ABCDEFGH,x160-智能体
32,中科金财,行业智能体-其他,北京,,,,,,,,,ABCDEFGH,x160-智能体
33,天娱数科,行业智能体-其他,辽宁-大连,,,,,,,,,ABCDEFGH,x160-智能体
34,新国都-300,行业智能体-其他,深圳,,,,,,,,,ABCDEFGH,x160-智能体
35,三六零,行业智能体-其他,天津,,,,,,,,,ABCDEFGH,x160-智能体
36,焦点科技,行业智能体-其他,,,,,,,,,,ABCDEFGH,x160-智能体
37,敏芯股份-688,行业智能体-其他,江苏-苏州,,,,,,,,,ABCDEFGH,x160-智能体
38,汉王科技,行业智能体-其他,北京,,,,,,,,,ABCDEFGH,x160-智能体
39,长青科技,行业智能体-其他,江苏-常州,,,,,,,,,ABCDEFGH,x160-智能体
