序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,广东国资,,,汽车，能源，地产， 交通，金融，消费，工程，科技，医药，其他,,,,,,,,ABCDEFGH,x162-广东国资
2,广汽集团,汽车,,,,,,,,,,ABCDEFGH,x162-广东国资
3,广州发展,能源,,,,,,,,,,ABCDEFGH,x162-广东国资
4,粤电力,能源,,,,,,,,,,ABCDEFGH,x162-广东国资
5,深圳能源,能源,,,,,,,,,,ABCDEFGH,x162-广东国资
6,润邦股份,能源,,风电,,,,,,,,ABCDEFGH,x162-广东国资
7,深圳燃气,能源,,,,,,,,,,ABCDEFGH,x162-广东国资
8,中金岭南,能源,,铅锌精矿,,,,,,,,ABCDEFGH,x162-广东国资
9,深深房,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
10,特发服务,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
11,天健集团,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
12,深赛格,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
13,深振业,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
14,珠江股份,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
15,沙河股份,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
16,深物业,地产,,,,,,,,,,ABCDEFGH,x162-广东国资
17,深高速,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
18,粤高速,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
19,盐田港,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
20,广州港,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
21,深圳机场,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
22,白云机场,交通,,,,,,,,,,ABCDEFGH,x162-广东国资
23,国信证券,金融,,,,,,,,,,ABCDEFGH,x162-广东国资
24,越秀资本,金融,,,,,,,,,,ABCDEFGH,x162-广东国资
25,广电运通,金融,,,,,,,,,,ABCDEFGH,x162-广东国资
26,广州酒家,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
27,岭南控股,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
28,广百股份,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
29,特立A,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
30,深粮控股,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
31,红棉股份,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
32,珠江啤酒,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
33,永顺泰,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
34,农产品,消费,,,,,,,,,,ABCDEFGH,x162-广东国资
35,深水规院,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
36,广东建工,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
37,鼎汉技术,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
38,地铁设计,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
39,建科院,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
40,苏交科,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
41,广田集团,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
42,金明精机,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
43,山河智能,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
44,广日股份,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
45,东江环保,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
46,永兴股份,工程,,,,,,,,,,ABCDEFGH,x162-广东国资
47,海格通信,科技,,,,,,,,,,ABCDEFGH,x162-广东国资
48,特发信息,科技,,,,,,,,,,ABCDEFGH,x162-广东国资
49,风华高科,科技,,,,,,,,,,ABCDEFGH,x162-广东国资
50,中新赛克,科技,,,,,,,,,,ABCDEFGH,x162-广东国资
51,深纺织,科技,,,,,,,,,,ABCDEFGH,x162-广东国资
52,星湖科技,医药,,,,,,,,,,ABCDEFGH,x162-广东国资
53,达安基因,医药,,,,,,,,,,ABCDEFGH,x162-广东国资
54,白云山,医药,,,,,,,,,,ABCDEFGH,x162-广东国资
55,珠江钢琴,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
56,广钢气体,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
57,怡亚通,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
58,佛塑科技,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
59,省广集团,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
60,广电计量,其他,,,,,,,,,,ABCDEFGH,x162-广东国资
