序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,消费电子,,,新技术，摄像头，屏幕，声音，通信，部件，代工，设备，电池，销售，充电器,,,,,,,,ABCDEFGH,x163-消费电子
2,光大同创-300,新技术-轻量化,深圳,轻量化材料一碳纤维,,,,,,,,ABCDEFGH,x163-消费电子
3,昀冢科技-yun-zhong-688,新技术-潜望式摄像头,江苏-苏州,独获荣耀旗舰潜望式镜头精密部件,,,,,,,,ABCDEFGH,x163-消费电子
4,豪威集团,摄像头-图像芯片CIS,上海,图像传感器市占率全球第3，,,,,,,,,ABCDEFGH,x163-消费电子
5,格科微-688,摄像头-图像芯片CIS,,,,,,,,,,ABCDEFGH,x163-消费电子
6,晶方科技,摄像头-图像芯片CIS,江苏-苏州,图像传感器封装市占率国内第1，,,,,,,,,ABCDEFGH,x163-消费电子
7,欧菲光,摄像头-模组,深圳,,,,,,,,,ABCDEFGH,x163-消费电子
8,联创电子,摄像头-模组,江西-南昌,,,,,,,,,ABCDEFGH,x163-消费电子
9,同兴达,摄像头-模组,深圳,,,,,,,,,ABCDEFGH,x163-消费电子
10,合力泰,摄像头-模组,福建-莆田,,,,,,,,,ABCDEFGH,x163-消费电子
11,天洋新材,摄像头-模组,上海,电子胶,,,,,,,,ABCDEFGH,x163-消费电子
12,水晶光电,摄像头-滤光片,浙江-台州,,,,,,,,,ABCDEFGH,x163-消费电子
13,五方光电,摄像头-滤光片,湖北-荆州,,,,,,,,,ABCDEFGH,x163-消费电子
14,欧菲光,摄像头-滤光片,,,,,,,,,,ABCDEFGH,x163-消费电子
15,东田微-300,摄像头-滤光片,湖北-宜昌,手机摄像头滤光片市占率第3，,,,,,,,,ABCDEFGH,x163-消费电子
16,京东方A,屏幕-AMOLED,,,,,,,,,,ABCDEFGH,x163-消费电子
17,维信诺,屏幕-AMOLED,江苏-苏州,,,,,,,,,ABCDEFGH,x163-消费电子
18,深天马A,屏幕-AMOLED,,,,,,,,,,ABCDEFGH,x163-消费电子
19,TCL科技,屏幕-AMOLED,广东-惠州,,,,,,,,,ABCDEFGH,x163-消费电子
20,和辉光电-688,屏幕-AMOLED,上海,,,,,,,,,ABCDEFGH,x163-消费电子
21,汇顶科技,屏幕-屏下指纹,深圳,屏下指纹芯片全球市占率第一,,,,,,,,ABCDEFGH,x163-消费电子
22,光谱股份,屏幕-屏下指纹,,,,,,,,,,ABCDEFGH,x163-消费电子
23,中科蓝讯-688,声音-蓝牙音频芯片,深圳,,,,,,,,,ABCDEFGH,x163-消费电子
24,恒玄科技-688,声音-蓝牙音频芯片,上海,,,,,,,,,ABCDEFGH,x163-消费电子
25,炬芯科技-688,声音-蓝牙音频芯片,珠海,,,,,,,,,ABCDEFGH,x163-消费电子
26,博通集成,声音-蓝牙音频芯片,上海,,,,,,,,,ABCDEFGH,x163-消费电子
27,晶晨股份-688,声音-蓝牙音频芯片,上海,,,,,,,,,ABCDEFGH,x163-消费电子
