序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,苹果手机,,,"代工，PCB，声音，屏幕，机身，Esim, 售后维修，3D打印，制造设备",,,,,,,,ABCDEFGH,x164-苹果手机
2,工业富联,代工,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
3,比亚迪,代工,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
4,立讯精密,代工,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
5,歌尔股份,代工,潍坊,,,,,,,,,ABCDEFGH,x164-苹果手机
6,鹏鼎控股,PCB,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
7,东山精密,PCB,苏州,,,,,,,,,ABCDEFGH,x164-苹果手机
8,宏和科技,PCB,上海,,,,,,,,,ABCDEFGH,x164-苹果手机
9,歌尔股份,声音-麦克风,潍坊,,,,,,,,,ABCDEFGH,x164-苹果手机
10,敏芯股份-688,声音-麦克风,苏州 ,,,,,,,,,ABCDEFGH,x164-苹果手机
11,共达电声,声音-麦克风,潍坊,,,,,,,,,ABCDEFGH,x164-苹果手机
12,国光电器,声音-麦克风,广州,,,,,,,,,ABCDEFGH,x164-苹果手机
13,蓝思科技-300,屏幕-玻璃盖板,长沙,,,,,,,,,ABCDEFGH,x164-苹果手机
14,京东方,屏幕-面板,北京,,,,,,,,,ABCDEFGH,x164-苹果手机
15,深天马,屏幕-面板,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
16,长信科技-300,屏幕-显示模组,安徽-芜湖,,,,,,,,,ABCDEFGH,x164-苹果手机
17,汇成真空-300,屏幕-镀膜,东莞,,,,,,,,,ABCDEFGH,x164-苹果手机
18,水晶光电,机身-潜望式摄像头,,,,,,,,,,ABCDEFGH,x164-苹果手机
19,蓝特光学-688,机身-潜望式摄像头,,,,,,,,,,ABCDEFGH,x164-苹果手机
20,东软载波,机身-电容式按键,,,,,,,,,,ABCDEFGH,x164-苹果手机
21,领益智造,机身-结构件,,,,,,,,,,ABCDEFGH,x164-苹果手机
22,长盈精密,机身-结构件,,,,,,,,,,ABCDEFGH,x164-苹果手机
23,安洁科技,机身-结构件,,,,,,,,,,ABCDEFGH,x164-苹果手机
24,东睦股份,机身-结构件,,,,,,,,,,ABCDEFGH,x164-苹果手机
25,捷邦科技,机身-结构件,,,,,,,,,,ABCDEFGH,x164-苹果手机
26,中石科技,机身-石墨烯散热,,,,,,,,,,ABCDEFGH,x164-苹果手机
27,思泉新材,机身-石墨烯散热,,,,,,,,,,ABCDEFGH,x164-苹果手机
28,智信精密,机身-石墨烯散热,,,,,,,,,,ABCDEFGH,x164-苹果手机
29,凯格精机,机身-石墨烯散热,,,,,,,,,,ABCDEFGH,x164-苹果手机
30,欣旺达-300,机身-手机电池,,,,,,,,,,ABCDEFGH,x164-苹果手机
31,德赛电池,机身-手机电池,,,,,,,,,,ABCDEFGH,x164-苹果手机
32,恒宝股份,eSIM-卡集成商,江苏-镇江,,,,,,,,,ABCDEFGH,x164-苹果手机
33,楚天龙,eSIM-卡集成商,东莞,,,,,,,,,ABCDEFGH,x164-苹果手机
34,东信和平,eSIM-卡集成商,珠海,,,,,,,,,ABCDEFGH,x164-苹果手机
35,澄天伟业-300,eSIM-卡集成商,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
36,紫光国微,eSIM-卡芯片商,河北-唐山,,,,,,,,,ABCDEFGH,x164-苹果手机
37,数字认证-300,eSIM-认证机构,北京,,,,,,,,,ABCDEFGH,x164-苹果手机
38,百邦科技-300,售后维修,北京,,,,,,,,,ABCDEFGH,x164-苹果手机
39,金橙子-300,3D打印-部件,北京,,,,,,,,,ABCDEFGH,x164-苹果手机
40,锐科激光-300,3D打印-部件,武汉,,,,,,,,,ABCDEFGH,x164-苹果手机
41,华曙高科-688,3D打印-打印设备,长沙,,,,,,,,,ABCDEFGH,x164-苹果手机
42,铂力特-688,3D打印-打印设备,西安,,,,,,,,,ABCDEFGH,x164-苹果手机
43,爱司凯-300,3D打印-打印设备,广州,,,,,,,,,ABCDEFGH,x164-苹果手机
44,兴业股份,3D打印-材料,苏州,,,,,,,,,ABCDEFGH,x164-苹果手机
45,长江材料,3D打印-材料,重庆,,,,,,,,,ABCDEFGH,x164-苹果手机
46,海正生材-688,3D打印-材料,浙江-台州,,,,,,,,,ABCDEFGH,x164-苹果手机
47,博众精工-688,制造设备,江苏-苏州,,,,,,,,,ABCDEFGH,x164-苹果手机
48,智立方-300,制造设备,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
49,田中精机-300,制造设备,浙江-嘉兴,,,,,,,,,ABCDEFGH,x164-苹果手机
50,宇环数控,制造设备,湖南-长沙,,,,,,,,,ABCDEFGH,x164-苹果手机
51,荣旗科技-300,制造设备,江苏-苏州,,,,,,,,,ABCDEFGH,x164-苹果手机
52,赛腾股份,制造设备,江苏-苏州,,,,,,,,,ABCDEFGH,x164-苹果手机
53,博杰股份,制造设备,广东-珠海,,,,,,,,,ABCDEFGH,x164-苹果手机
54,易天股份-300,制造设备,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
55,英诺激光-300,制造设备,深圳,,,,,,,,,ABCDEFGH,x164-苹果手机
