序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,甲骨文,,,,,,,,,,,ABCDEFGH,x165-甲骨文
2,新炬网络,合作伙伴,上海,,,,,,,,,ABCDEFGH,x165-甲骨文
3,杰创智能-300,合作伙伴,广州,公司为客户提供全生命周期的数据库服务与产品，服务范围覆盖甲骨文等头部商业数据库、开源数据库,,,,,,,,ABCDEFGH,x165-甲骨文
4,汉得信息-300,合作伙伴,上海,,,,,,,,,ABCDEFGH,x165-甲骨文
5,中科金财,合作伙伴,北京,,,,,,,,,ABCDEFGH,x165-甲骨文
6,荣联科技,合作伙伴,北京,,,,,,,,,ABCDEFGH,x165-甲骨文
7,东华软件,合作伙伴,北京,,,,,,,,,ABCDEFGH,x165-甲骨文
8,海量数据,合作伙伴,北京,,,,,,,,,ABCDEFGH,x165-甲骨文
9,天玑科技-300,合作伙伴,上海,,,,,,,,,ABCDEFGH,x165-甲骨文
10,新晨科技-300,合作伙伴,北京,公司是甲骨文经销商,,,,,,,,ABCDEFGH,x165-甲骨文
11,工业富联,供货,深圳,甲骨文AI服务器整柜厂商,,,,,,,,ABCDEFGH,x165-甲骨文
12,嘉元科技-688,供货,广东-梅州,,,,,,,,,ABCDEFGH,x165-甲骨文
13,新亚电子,供货,浙江-温州,,,,,,,,,ABCDEFGH,x165-甲骨文
14,剑桥科技,供货,上海,通过思科间接供货800G光模块,,,,,,,,ABCDEFGH,x165-甲骨文
15,神州数码,供货,深圳,,,,,,,,,ABCDEFGH,x165-甲骨文
