序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,马年概念,,,,,,,,,,,ABCDEFGH,x166-马年概念
2,深天马,100亿以上,深圳,,,,,,,,,ABCDEFGH,x166-马年概念
3,马钢股份,100亿以上,安徽-马鞍山,,,,,,,,,ABCDEFGH,x166-马年概念
4,森马服饰,100亿以上,浙江-温州,,,,,,,,,ABCDEFGH,x166-马年概念
5,通化金马,100亿以上,吉林-通化,,,,,,,,,ABCDEFGH,x166-马年概念
6,马应龙,100亿以上,武汉,,,,,,,,,ABCDEFGH,x166-马年概念
7,四川双马,100亿以上,绵阳,,,,,,,,,ABCDEFGH,x166-马年概念
8,神马电力,100亿以上,江苏-南通,,,,,,,,,ABCDEFGH,x166-马年概念
9,万马股份,50-100亿,杭州,,,,,,,,,ABCDEFGH,x166-马年概念
10,神马股份,50-100亿,平顶山,,,,,,,,,ABCDEFGH,x166-马年概念
11,飞马国际,50-100亿,深圳,,,,,,,,,ABCDEFGH,x166-马年概念
12,海马汽车,50-100亿,海口,,,,,,,,,ABCDEFGH,x166-马年概念
13,皇马科技,50-100亿,绍兴,,,,,,,,,ABCDEFGH,x166-马年概念
14,天马科技,50-100亿,福州,,,,,,,,,ABCDEFGH,x166-马年概念
15,创业黑马-300,50-100亿,北京,,,,,,,,,ABCDEFGH,x166-马年概念
16,万马科技-300,50亿以下,杭州,,,,,,,,,ABCDEFGH,x166-马年概念
17,福龙马,50亿以下,福建-龙岩,,,,,,,,,ABCDEFGH,x166-马年概念
18,野马电池,50亿以下,宁波,,,,,,,,,ABCDEFGH,x166-马年概念
19,中马传动,50亿以下,台州,,,,,,,,,ABCDEFGH,x166-马年概念
20,德马科技,50亿以下,浙江-湖州,,,,,,,,,ABCDEFGH,x166-马年概念
21,玉马科技-300,50亿以下,潍坊,,,,,,,,,ABCDEFGH,x166-马年概念
22,云中马,50亿以下,浙江-丽水,,,,,,,,,ABCDEFGH,x166-马年概念
23,威马农机-300,50亿以下,重庆,,,,,,,,,ABCDEFGH,x166-马年概念
24,金马游乐-300,50亿以下,中山,,,,,,,,,ABCDEFGH,x166-马年概念
25,三羊马,50亿以下,重庆,,,,,,,,,ABCDEFGH,x166-马年概念
26,天亿马-300,50亿以下,广东-汕头,,,,,,,,,ABCDEFGH,x166-马年概念
27,万里马-300,50亿以下,东莞,,,,,,,,,ABCDEFGH,x166-马年概念
28,四川双马,数字叠加,绵阳,,,,,,,,,ABCDEFGH,x166-马年概念
29,万马股份,数字叠加,杭州,,,,,,,,,ABCDEFGH,x166-马年概念
30,万马科技-300,数字叠加,杭州,,,,,,,,,ABCDEFGH,x166-马年概念
31,三羊马,数字叠加,重庆,,,,,,,,,ABCDEFGH,x166-马年概念
32,天亿马-300,数字叠加,汕头,,,,,,,,,ABCDEFGH,x166-马年概念
33,万里马-300,数字叠加,东莞,,,,,,,,,ABCDEFGH,x166-马年概念
34,澳柯玛,其他,青岛,,,,,,,,,ABCDEFGH,x166-马年概念
35,德尔玛-300,其他,佛山,,,,,,,,,ABCDEFGH,x166-马年概念
36,亚玛顿,其他,常州,,,,,,,,,ABCDEFGH,x166-马年概念
37,瑞玛精密,其他,苏州,,,,,,,,,ABCDEFGH,x166-马年概念
38,朗玛信息-300,其他,贵州-贵阳,,,,,,,,,ABCDEFGH,x166-马年概念
39,欧码软件-300,其他,山东-济南,,,,,,,,,ABCDEFGH,x166-马年概念
40,珂玛科技-300,其他,苏州,,,,,,,,,ABCDEFGH,x166-马年概念
41,爱玛科技,其他,天津,,,,,,,,,ABCDEFGH,x166-马年概念
42,飞鹿股份-300,其他,湖南-株洲,,,,,,,,,ABCDEFGH,x166-马年概念
43,鹿山新材,其他,广东-广州,,,,,,,,,ABCDEFGH,x166-马年概念
