序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,x167-无人驾驶硬件,,,感知系统，决策系统，控制系统，地平线，应用场景，配套设施,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
2,豪恩汽电-300,感知系统-超声波雷达,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
3,万集科技-300,感知系统-激光雷达,北京,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
4,丰山集团,感知系统-激光雷达,江苏-盐城,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
5,金奥博,感知系统-激光雷达,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
6,华域汽车,感知系统-毫米波雷达,上海,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
7,德赛西威,感知系统-毫米波雷达,,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
8,道通科技-688,感知系统-毫米波雷达,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
9,亚太股份,感知系统-毫米波雷达,杭州,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
10,神通科技,感知系统-毫米波雷达,宁波,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
11,天龙股份,感知系统-毫米波雷达,宁波,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
12,晋拓股份,感知系统-毫米波雷达,上海,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
13,豪恩汽电,感知系统-视觉感知,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
14,锐明技术,感知系统-视觉感知,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
15,联创电子,感知系统-视觉感知,南昌,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
16,欧菲光,感知系统-视觉感知,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
17,弘景光电-300,感知系统-视觉感知,中山,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
18,宇瞳光学-300,感知系统-视觉感知,东莞,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
19,联创光电,感知系统-视觉感知,南昌,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
20,力鼎光电,感知系统-视觉感知,福建-厦门,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
21,蓝特光学-688,感知系统-视觉感知,嘉兴,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
22,芯动联科-688,感知系统-惯性测量单元IMU,蚌埠,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
23,华依科技-688,感知系统-惯性测量单元IMU,上海,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
24,星网宇达,感知系统-惯性测量单元IMU,北京,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
25,移远通信,感知系统-车联网,上海,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
26,广和通-300,感知系统-车联网,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
27,美格智能,感知系统-车联网,深圳,,,,,,,,,ABCDEFGH,x167-无人驾驶硬件
