序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x169-摩尔线程IPO分为,,,参股，合作,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
2,和而泰,参股,深圳,智能控制器（家电，电动工具，智能家居，汽车）,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
3,中科蓝讯-688,参股,深圳,无线音频芯片,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
4,招商证券,参股,,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
5,联美控股,参股,沈阳,供热+传媒,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
6,盈趣科技,参股,福建-厦门,智能制造,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
7,宏利达,参股,,电力设备,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
8,厦门国贸,参股,厦门,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
9,大众公用,参股,上海,上海，,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
10,中文传媒,参股,江西-上饶,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
11,招商英航,参股,深圳,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
12,华辰装备-300,参股,苏州,工业母机,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
13,深圳能源,参股,深圳,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
14,粤电力,参股,,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
15,探路者-300,参股,北京,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
16,广安爱众,参股,四川-广安,水电,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
17,中红医疗-300,参股,河北-唐山,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
18,广深铁路,参股,深圳,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
19,初灵信息-300,参股,浙江-杭州,边缘计算网络,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
20,圣元环保-300,参股,福建-厦门,氢能，垃圾发电,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
21,英科医疗-300,参股,淄博,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
22,瑞丰新材-300,参股,新乡,润滑油,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
23,东华软件,合作,北京,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
24,浙大网新,合作,杭州,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
25,三六零,合作,天津,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
26,弘信电子-300,合作,厦门,PCB,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
27,光环新网,合作,北京,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
28,科华数据,合作,福建厦门,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
29,胜宏科技-300,合作,广东-惠州,PCB,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
30,威星智能,合作,杭州,智能燃气解决方案供应商,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
31,翰博高新-300,合作,合肥,LED背光源，LED背光源是一种使用发光二极管（LED）作为核心光源的照明技术，专为液晶显示器（LCD）提供均匀、高效的背景照明，使屏幕图像得以清晰显示,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
32,杰创智能-300,合作,广州,智慧城市解决方案,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
33,奥飞数据-300,合作,广州,,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
34,利和兴-300,合作,深圳,自动化-智能制造,,,,,,,,ABCDEFGH,x169-摩尔线程IPO
