序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,人民币国际化主要分为,支付系统（多边央行数字货币桥，人民币跨境支付系统），支付牌照，支付平台,,,,,,,,,,ABCDEFGH,x17-人民币国际化
2,四方精创-300,支付系统-多边央行数字货币桥,广东-深圳,进度A股第一，公司是唯一参与多边央行数字货币桥项目第一阶段咨询和实施工作的金融科技企业,,,,,,,,ABCDEFGH,x17-人民币国际化
3,京北方,支付系统-多边央行数字货币桥,北京-海淀,公司协助客户参与了多边央行数字货币桥建设,,,,,,,,ABCDEFGH,x17-人民币国际化
4,新晨科技-300,支付系统-多边央行数字货币桥,北京-海淀,接入多边央行数字货币桥支付结算渠道协助银行客户提供便捷的支付结算服务,,,,,,,,ABCDEFGH,x17-人民币国际化
5,科蓝软件-300,支付系统-多边央行数字货币桥,北京-大兴,正积极推进自有数字人民币综合运营平台与多边银行数字货币桥平台技术与应用场景对接,,,,,,,,ABCDEFGH,x17-人民币国际化
6,华峰超纤-300,支付系统-人民币跨境支付系统,上海-金山区,人民币跨境支付系统签约银行数量A股第一，,,,,,,,,ABCDEFGH,x17-人民币国际化
7,宇信科技-399,支付系统-人民币跨境支付系统,北京-大兴,银行IT市占率A股第1,,,,,,,,ABCDEFGH,x17-人民币国际化
8,神州信息,支付系统-人民币跨境支付系统,深圳,银行IT市占率A股第2,,,,,,,,ABCDEFGH,x17-人民币国际化
9,天阳科技-300,支付系统-人民币跨境支付系统,新疆-拉萨,银行IT市占率A股第3,,,,,,,,ABCDEFGH,x17-人民币国际化
10,软通动力-300,支付系统-人民币跨境支付系统,北京-海淀,银行IT市占率A股第4,,,,,,,,ABCDEFGH,x17-人民币国际化
11,长亮科技-300,支付系统-人民币跨境支付系统,深圳,银行IT市占率A股第5,,,,,,,,ABCDEFGH,x17-人民币国际化
12,润和软件-300,支付系统-人民币跨境支付系统,江苏-南京,银行IT市占率A股第6,,,,,,,,ABCDEFGH,x17-人民币国际化
13,信雅达,支付系统-人民币跨境支付系统,浙江-杭州,银行IT市占率A股第7,,,,,,,,ABCDEFGH,x17-人民币国际化
14,科蓝软件-300,支付系统-人民币跨境支付系统,北京-大兴,银行IT市占率A股第8,,,,,,,,ABCDEFGH,x17-人民币国际化
15,新晨科技-300,支付系统-人民币跨境支付系统,北京-海淀,为多家银行提供人民币跨境支付系统对接服务,,,,,,,,ABCDEFGH,x17-人民币国际化
16,南天信息,支付系统-人民币跨境支付系统,云南-昆明,公司开发了部分银行与CIPS的接口,,,,,,,,ABCDEFGH,x17-人民币国际化
17,中亦科技-300,支付系统-人民币跨境支付系统,北京-丰台,参与不分客户跨境支付系统IT基础架构建设以及维护,,,,,,,,ABCDEFGH,x17-人民币国际化
18,高伟达-300,支付系统-人民币跨境支付系统,北京-海淀,参与国内部分银行的跨境支付和计算系统的建设和维护,,,,,,,,ABCDEFGH,x17-人民币国际化
19,信安世纪-688,支付系统-人民币跨境支付系统,北京-海淀,公司为人民币跨境结算标准收发器提供信息安全保障服务,,,,,,,,ABCDEFGH,x17-人民币国际化
20,青岛金王,支付系统-人民币跨境支付系统,山东-青岛,首批接入兴业银行CIPS标准收发器,,,,,,,,ABCDEFGH,x17-人民币国际化
21,拉卡拉-300,支付牌照,北京-海淀,跨境结算营收A股第一，持有一张国内跨境支付牌照,,,,,,,,ABCDEFGH,x17-人民币国际化
22,海联金汇,支付牌照,山东-青岛,跨境结算营收A股第二，持有两张跨境支付牌照（外币、人民币支付）,,,,,,,,ABCDEFGH,x17-人民币国际化
23,新国都-300,支付牌照,深圳,持有欧洲批准支付牌照,,,,,,,,ABCDEFGH,x17-人民币国际化
24,中油资本,支付平台,新疆-克拉玛依,昆仑银行是国内与伊朗油气交易的唯一结算银行，公司是昆仑银行的控股股东,,,,,,,,ABCDEFGH,x17-人民币国际化
25,中粮资本,支付平台,河南-济源市,母公司中粮集团持股龙江银行20%股份，其主要推动中俄跨境结算,,,,,,,,ABCDEFGH,x17-人民币国际化
26,小商品城,支付平台,浙江-金华,全球支付平台：YIWU PAY义支付,,,,,,,,ABCDEFGH,x17-人民币国际化
27,焦点科技,支付平台,江苏-南京,跨境收结汇平台：GLOBAL Pay,,,,,,,,ABCDEFGH,x17-人民币国际化
