序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,储能,,,变流器，系统集成，机械储能，电化学储能，户用储能，便携储能,,,,,,,,ABCDEFGH,x171-储能
2,阳光电源-300,变流器,合肥,,,,,,,,,ABCDEFGH,x171-储能
3,科华数据,变流器,厦门,,,,,,,,,ABCDEFGH,x171-储能
4,上能电气-300,变流器,无锡,,,,,,,,,ABCDEFGH,x171-储能
5,盛弘股份-300,变流器,深圳,,,,,,,,,ABCDEFGH,x171-储能
6,禾望电气,变流器,深圳,,,,,,,,,ABCDEFGH,x171-储能
7,智光电气,变流器,广州,,,,,,,,,ABCDEFGH,x171-储能
8,阳光电源,系统集成-国内,,,,,,,,,,ABCDEFGH,x171-储能
9,海博思创-688,系统集成-国内,北京,,,,,,,,,ABCDEFGH,x171-储能
10,科陆电子,系统集成-国内,深圳,,,,,,,,,ABCDEFGH,x171-储能
11,南都电源-300,系统集成-国内,杭州,,,,,,,,,ABCDEFGH,x171-储能
12,南网科技-688,系统集成-国内,广州,,,,,,,,,ABCDEFGH,x171-储能
13,新风光-688,系统集成-国内,济宁,,,,,,,,,ABCDEFGH,x171-储能
14,金盘科技-688,系统集成-国内,海口,,,,,,,,,ABCDEFGH,x171-储能
15,华自科技-300,系统集成-国内,长沙,,,,,,,,,ABCDEFGH,x171-储能
16,卧龙新能,系统集成-国内,绍兴,,,,,,,,,ABCDEFGH,x171-储能
17,阳光电源,系统集成-国外,,,,,,,,,,ABCDEFGH,x171-储能
18,比亚迪,系统集成-国外,深圳,,,,,,,,,ABCDEFGH,x171-储能
19,中国中车,系统集成-国外,北京,,,,,,,,,ABCDEFGH,x171-储能
20,南都电源,系统集成-国外,,,,,,,,,,ABCDEFGH,x171-储能
21,中天科技,系统集成-国外,南通,,,,,,,,,ABCDEFGH,x171-储能
22,中国天楹,机械储能-重力储能,南通,,,,,,,,,ABCDEFGH,x171-储能
23,西子洁能,机械储能-熔盐,杭州,,,,,,,,,ABCDEFGH,x171-储能
