序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,科技独角兽股权汇总,,,存储芯片，计算芯片，半导体，机器人,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
2,存储芯片分为,,,长鑫存储+长江存储,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
3,长鑫存储,,,长鑫存储技术有限公司 位于安徽省合肥市，公司主要从事动态随机存取存储芯片（DRAM）的设计,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
4,兆易创新-长鑫存储,存储芯片-长鑫存储,北京,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
5,上峰水泥-长鑫存储,存储芯片-长鑫存储,,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
6,朗迪集团-长鑫存储,存储芯片-长鑫存储,甘肃-白银,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
7,巨化股份-长鑫存储,存储芯片-长鑫存储,衢州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
8,杭钢股份-长鑫存储,存储芯片-长鑫存储,杭州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
9,中山公用-长鑫存储,存储芯片-长鑫存储,中山,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
10,合肥城建-长鑫存储,存储芯片-长鑫存储,合肥,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
11,长江存储,,,长江存储科技有限责任公司（总部位于武汉  主要从事3D NAND闪存设计制造及存储器解决方案业务，性质为国有企业。,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
12,养元饮品-长江存储,存储芯片-长江存储,衡水,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
13,国脉文化-长江存储,存储芯片-长鑫存储,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
14,南方传媒-长江存储,存储芯片-长鑫存储,广州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
15,当虹科技-688,存储芯片-长鑫存储,杭州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
16,市北高新-长江存储,存储芯片-长鑫存储,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
17,东方明珠-长江存储,存储芯片-长鑫存储,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
18,祥龙电业-长江存储,存储芯片-长鑫存储,武汉,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
19,计算芯片分为,,,摩尔线程，壁仞科技，燧原科技，中昊芯英,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
20,摩尔线程,,,"摩尔线程线程智能科技是以全功能GPU为核心，为各行业的数智化转型提供AI计算支持，成立于2020年6月11日，位于北京市，
",,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
21,和而泰,计算芯片-摩尔线程,深圳,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
22,中科蓝讯-688,计算芯片-摩尔线程,深圳,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
23,招商证券,计算芯片-摩尔线程,深圳,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
24,盈趣科技,计算芯片-摩尔线程,厦门,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
25,联美控股,计算芯片-摩尔线程,沈阳,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
26,宏力达-688,计算芯片-摩尔线程,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
27,大众公用,计算芯片-摩尔线程,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
28,初灵信息-300,计算芯片-摩尔线程,杭州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
29,壁仞科技,,,上海壁仞智能科技有限公司|BR100：大算力人工智能通用GPU芯片,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
30,香农芯创-300,计算芯片-壁仞科技,安徽-宣城,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
31,光环新网-300,计算芯片-壁仞科技,北京,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
32,燧原科技,,,"上海燧原科技有限公司于2018年，专注人工智能领域云端和边缘算力产品,致力为通用人工智能打造算力底座
具备自主知识产权的AI加速卡",,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
33,新致软件-688,计算芯片-燧原科技,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
34,高伟达-300,计算芯片-燧原科技,北京,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
35,中昊芯英,,,中昊芯英（杭州）科技有限公司成立于2020年10月，总部位于杭州滨江区，专注于研发高性能AI芯片及计算集群，主打产品为TPU架构芯片“刹那”与千卡级集群“泰则”，致力于构建国产自主可控,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
36,天普股份,计算芯片-中昊芯英,浙江-宁波,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
37,科德教育-300,计算芯片-中昊芯英,苏州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
38,艾布鲁-300,计算芯片-中昊芯英,长沙,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
39,浙数文化,计算芯片-中昊芯英,杭州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
40,浙大网新,计算芯片-中昊芯英,杭州,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
41,半导体,,,盛合晶威，上海微电子，新凯来，中晟威，昕原,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
42,亿道信息,半导体-盛合晶威,深圳,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
43,上峰水泥,半导体-盛合晶威,,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
44,景兴纸业,半导体-盛合晶威,嘉兴,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
45,张江高科,半导体-上海微电子,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
46,东方明珠,半导体-上海微电子,,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
47,上海电气,半导体-上海微电子,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
48,电气风电-688,半导体-上海微电子,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
49,海立股份,半导体-上海微电子,上海,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
50,上海机电,半导体-上海微电子,,,,,,,,,,ABCDEFGH,x172-科技独角兽股权汇总
