序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x173-新材料,,,分为培育钻石，隔绝材料，塑料材料，纤维材料，金属材料,,,,,,,,ABCDEFGH,x173-新材料
2,黄河旋风,培育钻石,许昌,,,,,,,,,ABCDEFGH,x173-新材料
3,中兵红箭,培育钻石,湘潭,,,,,,,,,ABCDEFGH,x173-新材料
4,力量钻石-300,培育钻石,商丘,,,,,,,,,ABCDEFGH,x173-新材料
5,四方达-300,培育钻石,郑州,,,,,,,,,ABCDEFGH,x173-新材料
6,国机精工,培育钻石,洛阳,,,,,,,,,ABCDEFGH,x173-新材料
7,晶盛机电-300,培育钻石,绍兴,,,,,,,,,ABCDEFGH,x173-新材料
8,曼卡龙-300,培育钻石,杭州,,,,,,,,,ABCDEFGH,x173-新材料
9,沃尔德-688,培育钻石,北京,,,,,,,,,ABCDEFGH,x173-新材料
10,中国化学,隔绝材料-气凝胶,北京,,,,,,,,,ABCDEFGH,x173-新材料
11,泛亚微透-688,隔绝材料-气凝胶,常州,,,,,,,,,ABCDEFGH,x173-新材料
12,晨光新材,隔绝材料-气凝胶,九江,,,,,,,,,ABCDEFGH,x173-新材料
13,宏柏新材,隔绝材料-气凝胶,景德镇,,,,,,,,,ABCDEFGH,x173-新材料
14,鲁阳节能,隔绝材料-气凝胶,淄博,,,,,,,,,ABCDEFGH,x173-新材料
15,凌玮科技-300,隔绝材料-气凝胶,广州,,,,,,,,,ABCDEFGH,x173-新材料
16,隆扬电子-300,隔绝材料-电磁屏蔽材料,苏州,,,,,,,,,ABCDEFGH,x173-新材料
17,阿莱德-300,隔绝材料-电磁屏蔽材料,上海,,,,,,,,,ABCDEFGH,x173-新材料
18,正业科技-300,隔绝材料-电磁屏蔽材料,东莞,,,,,,,,,ABCDEFGH,x173-新材料
19,康达新材,隔绝材料-电磁屏蔽材料,上海,,,,,,,,,ABCDEFGH,x173-新材料
20,鸿富瀚-300,隔绝材料-电磁屏蔽材料,深圳,,,,,,,,,ABCDEFGH,x173-新材料
21,南京聚隆-300,塑料材料-改性塑料,南京,,,,,,,,,ABCDEFGH,x173-新材料
22,沃特股份,塑料材料-改性塑料,深圳,,,,,,,,,ABCDEFGH,x173-新材料
23,仁智股份,塑料材料-改性塑料,温州,,,,,,,,,ABCDEFGH,x173-新材料
24,聚赛龙-300,塑料材料-改性塑料,广州,,,,,,,,,ABCDEFGH,x173-新材料
25,金发科技,塑料材料-改性塑料,广州,,,,,,,,,ABCDEFGH,x173-新材料
26,会通股份-688,塑料材料-改性塑料,合肥,,,,,,,,,ABCDEFGH,x173-新材料
27,国恩股份,塑料材料-改性塑料,青岛,,,,,,,,,ABCDEFGH,x173-新材料
28,普利特,塑料材料-改性塑料,上海,,,,,,,,,ABCDEFGH,x173-新材料
29,道恩股份,塑料材料-改性塑料,烟台,,,,,,,,,ABCDEFGH,x173-新材料
30,银禧科技-300,塑料材料-改性塑料,东莞,,,,,,,,,ABCDEFGH,x173-新材料
31,聚石化学-688,塑料材料-改性塑料,广东-清远,,,,,,,,,ABCDEFGH,x173-新材料
32,万朗磁塑,塑料材料-改性塑料,合肥,,,,,,,,,ABCDEFGH,x173-新材料
33,华峰化学,塑料材料-TPU聚氨酯,温州,,,,,,,,,ABCDEFGH,x173-新材料
34,万华化学,塑料材料-TPU聚氨酯,烟台,,,,,,,,,ABCDEFGH,x173-新材料
35,泰和新材,塑料材料-TPU聚氨酯,烟台,,,,,,,,,ABCDEFGH,x173-新材料
36,汇得科技,塑料材料-TPU聚氨酯,上海,,,,,,,,,ABCDEFGH,x173-新材料
37,双象股份,塑料材料-PMMA（亚克力）,无锡,,,,,,,,,ABCDEFGH,x173-新材料
38,齐翔腾达,塑料材料-PMMA（亚克力）,淄博,,,,,,,,,ABCDEFGH,x173-新材料
39,日科化学-300,塑料材料-PMMA（亚克力）,潍坊,,,,,,,,,ABCDEFGH,x173-新材料
40,德冠新材,塑料材料-BOPP薄膜,佛山,,,,,,,,,ABCDEFGH,x173-新材料
41,大东南,塑料材料-BOPP薄膜,绍兴,,,,,,,,,ABCDEFGH,x173-新材料
42,九鼎新材,纤维材料-玻璃纤维,南通,,,,,,,,,ABCDEFGH,x173-新材料
43,中国巨石,纤维材料-玻璃纤维,嘉兴,,,,,,,,,ABCDEFGH,x173-新材料
44,山东玻纤,纤维材料-玻璃纤维,临沂,,,,,,,,,ABCDEFGH,x173-新材料
45,长海股份-300,纤维材料-玻璃纤维,常州,,,,,,,,,ABCDEFGH,x173-新材料
46,宏和科技,纤维材料-玻璃纤维,上海,,,,,,,,,ABCDEFGH,x173-新材料
47,吉林化纤,纤维材料-碳纤维,吉林-吉林,,,,,,,,,ABCDEFGH,x173-新材料
48,中复神鹰-688,纤维材料-碳纤维,连云港,,,,,,,,,ABCDEFGH,x173-新材料
49,光威复材-300,纤维材料-碳纤维,威海,,,,,,,,,ABCDEFGH,x173-新材料
50,中简科技-300,纤维材料-碳纤维,常州,,,,,,,,,ABCDEFGH,x173-新材料
51,精工科技,纤维材料-碳纤维,绍兴,,,,,,,,,ABCDEFGH,x173-新材料
52,奇德新材-300,纤维材料-碳纤维,江门,,,,,,,,,ABCDEFGH,x173-新材料
53,三祥新材,金属材料-氧化锆,宁德,,,,,,,,,ABCDEFGH,x173-新材料
54,东方锆业,金属材料-氧化锆,汕头,,,,,,,,,ABCDEFGH,x173-新材料
55,珂玛科技-300,金属材料-氧化锆,苏州,,,,,,,,,ABCDEFGH,x173-新材料
56,厦门钨业,金属材料-钨丝,厦门,,,,,,,,,ABCDEFGH,x173-新材料
57,中钨高新,金属材料-钨丝,海口,,,,,,,,,ABCDEFGH,x173-新材料
58,翔鹭钨业,金属材料-钨丝,潮州,,,,,,,,,ABCDEFGH,x173-新材料
59,东阳光,金属材料-电极箔,韶关,,,,,,,,,ABCDEFGH,x173-新材料
60,海星股份,金属材料-电极箔,南通,,,,,,,,,ABCDEFGH,x173-新材料
61,新疆众和,金属材料-电极箔,乌鲁木齐,,,,,,,,,ABCDEFGH,x173-新材料
62,华锋股份,金属材料-电极箔,肇庆,,,,,,,,,ABCDEFGH,x173-新材料
63,江海股份,金属材料-电极箔,南通,,,,,,,,,ABCDEFGH,x173-新材料
64,博威合金,金属材料-合金材料,宁波,,,,,,,,,ABCDEFGH,x173-新材料
65,福达合金,金属材料-合金材料,温州,,,,,,,,,ABCDEFGH,x173-新材料
66,斯瑞新材-688,金属材料-合金材料,西安,,,,,,,,,ABCDEFGH,x173-新材料
67,合金投资,金属材料-合金材料,哈密,,,,,,,,,ABCDEFGH,x173-新材料
68,上大股份-300,金属材料-合金材料,邢台,,,,,,,,,ABCDEFGH,x173-新材料
69,铂科新材-300,金属材料-软磁粉,深圳,,,,,,,,,ABCDEFGH,x173-新材料
70,东睦股份,金属材料-软磁粉,宁波,,,,,,,,,ABCDEFGH,x173-新材料
71,云路股份-688,金属材料-软磁粉,青岛,,,,,,,,,ABCDEFGH,x173-新材料
72,龙磁科技-300,金属材料-软磁粉,合肥,,,,,,,,,ABCDEFGH,x173-新材料
73,悦安新材-688,金属材料-软磁粉,赣州,,,,,,,,,ABCDEFGH,x173-新材料
74,东睦股份,金属材料-MIM金属件,,,,,,,,,,ABCDEFGH,x173-新材料
75,精研科技-300,金属材料-MIM金属件,常州,,,,,,,,,ABCDEFGH,x173-新材料
76,统联精密-688,金属材料-MIM金属件,深圳,,,,,,,,,ABCDEFGH,x173-新材料
77,福蓉科技,金属材料-MIM金属件,成都,,,,,,,,,ABCDEFGH,x173-新材料
78,屹通新材-300,金属材料-MIM金属件,杭州,,,,,,,,,ABCDEFGH,x173-新材料
