序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x179-湖北三资改革,,,,,,,,,,,ABCDEFGH,x179-湖北三资改革
2,东湖高新,园区,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
3,湖北广电,传媒,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
4,长江传媒,传媒,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
5,天风证券,金融,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
6,长江证券,金融,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
7,三峡旅游,旅游,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
8,三特索道,旅游,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
9,武汉控股,公用事业,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
10,祥龙电业,公用事业,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
11,广济药业,医药,黄冈,,,,,,,,,ABCDEFGH,x179-湖北三资改革
12,能特科技,医药,荆州,,,,,,,,,ABCDEFGH,x179-湖北三资改革
13,万润科技,半导体,深圳,,,,,,,,,ABCDEFGH,x179-湖北三资改革
14,华工科技,半导体,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
15,兴福电子,半导体,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
16,中百集团,商超,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
17,武商集团,商超,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
18,湖北宜化,化工,,,,,,,,,,ABCDEFGH,x179-湖北三资改革
19,兴发集团,化工,宜昌,,,,,,,,,ABCDEFGH,x179-湖北三资改革
20,双环科技,化工,孝感,,,,,,,,,ABCDEFGH,x179-湖北三资改革
21,凯龙股份,化工,荆门,,,,,,,,,ABCDEFGH,x179-湖北三资改革
22,山科智能-300,航天,杭州,长江航天以5亿元受让公司19%股权,,,,,,,,ABCDEFGH,x179-湖北三资改革
23,安琪酵母,其他,宜昌,,,,,,,,,ABCDEFGH,x179-湖北三资改革
24,楚天高速,其他,武汉,,,,,,,,,ABCDEFGH,x179-湖北三资改革
25,三峡新材,其他,宜昌,实控人宜昌国资委,,,,,,,,ABCDEFGH,x179-湖北三资改革
26,上海雅仕,其他,上海,失控人湖北国资委,,,,,,,,ABCDEFGH,x179-湖北三资改革
27,矢量股份-300,其他,十堰,失控十堰国资委,,,,,,,,ABCDEFGH,x179-湖北三资改革
28,华塑控股,其他,四川-南充,实控人湖北政府，持股16%,,,,,,,,ABCDEFGH,x179-湖北三资改革
