序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,中国船舶集团介绍,主要分： 行业转系， 船舶制造，船舶设备，信息系统，打印设备，智能制造，应急行业,中国船舶集团有限公司是中央企业（央企）。‌它是由原中国船舶工业集团有限公司（中船集团）与原中国船舶重工集团有限公司（中船重工）于2019年联合重组成立的特大型国有企业，属于国家授权投资机构，由中央直接管理。,,,,,,,,,ABCDEFGH,x18-中国船舶集团
2,中船科技,行业转型,上海-杨浦区,船舶厂设计建设，风电资产注入,,,,,,,,ABCDEFGH,x18-中国船舶集团
3,中国船舶,船舶制造,上海-浦东,国内最大的综合性造船厂,,,,,,,,ABCDEFGH,x18-中国船舶集团
4,中国重工,船舶制造,北京-海淀,海军舰艇制造，以航母、驱逐舰、潜艇为主,,,,,,,,ABCDEFGH,x18-中国船舶集团
5,中船防务,船舶制造,广东-广州,商用船舶制造为主，唯一A+H上市企业,,,,,,,,ABCDEFGH,x18-中国船舶集团
6,中国动力,船舶设备,河北-保定,船舶动力设备,,,,,,,,ABCDEFGH,x18-中国船舶集团
7,久之洋-300,船舶设备,湖北-武汉,船舶光电设备,,,,,,,,ABCDEFGH,x18-中国船舶集团
8,中国海防,信息系统,北京-海淀,水下信息化装备核心供应商,,,,,,,,ABCDEFGH,x18-中国船舶集团
9,中船汉光-300,打印设备,河北-邯郸,打印复印静电成像耗材主要生产厂商,,,,,,,,ABCDEFGH,x18-中国船舶集团
10,昆船智能-300,智能制造,云南-昆明,智能制造、物流设备，主要服务于烟草行业,,,,,,,,ABCDEFGH,x18-中国船舶集团
11,中船应急-300,应急行业,湖北-武汉,核心军用应急装备，第一家应急行业上市公司,,,,,,,,ABCDEFGH,x18-中国船舶集团
