序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,x181-人工智能硬件,,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
2,海光信息-688,计算芯片-AI芯片,天津,,,,,,,,,ABCDEFGH,x181-人工智能硬件
3,寒武纪-688,计算芯片-AI芯片,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
4,淳中科技,计算芯片-AI芯片,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
5,中科蓝讯-688,计算芯片-AI芯片,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
6,香农芯创-300,计算芯片-AI芯片,安徽-宣城,,,,,,,,,ABCDEFGH,x181-人工智能硬件
7,东芯股份,计算芯片-AI芯片,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
8,和而泰,计算芯片-AI芯片,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
9,初灵信息-300,计算芯片-AI芯片,杭州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
10,海光信息,计算芯片-DPU,天津,,,,,,,,,ABCDEFGH,x181-人工智能硬件
11,中国长城,计算芯片-CPU,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
12,海光信息,计算芯片-CPU,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
13,龙芯中科-688,计算芯片-CPU,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
14,景嘉微-300,计算芯片-GPU,长沙,,,,,,,,,ABCDEFGH,x181-人工智能硬件
15,国芯科技-688,计算芯片-GPU,苏州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
16,东芯股份,计算芯片-GPU,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
17,华东重机,计算芯片-GPU,无锡,,,,,,,,,ABCDEFGH,x181-人工智能硬件
18,旋极信息-300,计算芯片-GPU,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
19,好利科技,计算芯片-GPU,厦门,,,,,,,,,ABCDEFGH,x181-人工智能硬件
20,天普股份,计算芯片-TPU,宁波,,,,,,,,,ABCDEFGH,x181-人工智能硬件
21,科德教育-300,计算芯片-TPU,苏州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
22,寒武纪,计算芯片-NPU,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
23,芯原股份-688,计算芯片-NPU,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
24,瑞芯微,计算芯片-NPU,福州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
25,国芯科技,计算芯片-NPU,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
26,北京君正-300,计算芯片-NPU,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
27,兆易创新,存储芯片-DRAM,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
28,北京君正,存储芯片-DRAM,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
29,东芯股份,存储芯片-DRAM,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
30,兆易创新,存储芯片-NAND flash,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
31,东芯股份,存储芯片-NAND flash,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
32,兆易创新,存储芯片-NOR flash,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
33,普冉股份,存储芯片-NOR flash,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
34,恒硕股份,存储芯片-NOR flash,合肥,,,,,,,,,ABCDEFGH,x181-人工智能硬件
35,聚辰股份-688,存储芯片-EEPROM,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
36,普冉股份,存储芯片-EEPROM,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
37,复旦微电-688,存储芯片-EEPROM,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
38,创益通-300,存储芯片-连接器,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
39,华海诚科-688,存储芯片-封装材料,连云港,,,,,,,,,ABCDEFGH,x181-人工智能硬件
40,深科技,存储芯片-封测,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
41,江波龙-300,存储芯片-模组,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
42,佰维存储-688,存储芯片-模组,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
43,德明利,存储芯片-模组,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
44,中电港,存储芯片-分销商,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
45,香农芯创,存储芯片-分销商,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
46,瑞芯微,边缘计算芯片-通用性,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
47,全志科技,边缘计算芯片-通用性,珠海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
48,中科蓝讯,边缘计算芯片-蓝牙音频,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
49,恒玄科技-688,边缘计算芯片-蓝牙音频,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
50,炬芯科技-688,边缘计算芯片-蓝牙音频,珠海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
51,博通集成,边缘计算芯片-蓝牙音频,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
52,晶晨股份-688,边缘计算芯片-蓝牙音频,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
53,乐鑫科技-688,边缘计算芯片-WIFI,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
54,博通集成,边缘计算芯片-WIFI,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
55,翱捷科技,边缘计算芯片-蜂窝,上海,,,,,,,,,ABCDEFGH,x181-人工智能硬件
56,高新发展,服务器-华为系服务器,成都,,,,,,,,,ABCDEFGH,x181-人工智能硬件
57,软通动力-300,服务器-华为系服务器,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
58,神州数码,服务器-华为系服务器,,,,,,,,,,ABCDEFGH,x181-人工智能硬件
59,拓维信息,服务器-华为系服务器,长沙,,,,,,,,,ABCDEFGH,x181-人工智能硬件
60,烽火通信,服务器-华为系服务器,武汉,,,,,,,,,ABCDEFGH,x181-人工智能硬件
61,远东传动,服务器-华为系服务器,许昌,,,,,,,,,ABCDEFGH,x181-人工智能硬件
62,广电运通,服务器-华为系服务器,广州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
63,中科曙光,服务器-中科系,天津,,,,,,,,,ABCDEFGH,x181-人工智能硬件
64,浪潮信息,服务器-英伟达,济南,,,,,,,,,ABCDEFGH,x181-人工智能硬件
65,紫光股份,服务器-英伟达,北京,,,,,,,,,ABCDEFGH,x181-人工智能硬件
66,工业富联,服务器-英伟达,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
67,中兴通讯,服务器-英伟达,深圳,,,,,,,,,ABCDEFGH,x181-人工智能硬件
68,长光华芯,光通信-光芯片,苏州,,,,,,,,,ABCDEFGH,x181-人工智能硬件
