序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,零售业分为,全国零售+地方零售+免税店,,,,,,,,,,ABCDEFGH,x19-零售业
2,永辉超市,全国零售,福建-福州,零售业务A股第一，为841亿，胖东来开启郑州永辉超市帮扶计划,,,,,,,,ABCDEFGH,x19-零售业
3,大商股份,全国零售,辽宁-大连,零售业务营收A股第二，为42亿,,,,,,,,ABCDEFGH,x19-零售业
4,中央商场,全国零售,江苏-南京,零售业务营收A股第四，21亿,,,,,,,,ABCDEFGH,x19-零售业
5,中国中免,免税店,北京-东城,国内免税业市占率第一，国内免税经营范围并列第一，拥有口岸免税、离岛免税、市内免税经营资质（全国全区域）,,,,,,,,ABCDEFGH,x19-零售业
6,王府井,免税店,北京-东城,国内免税业市占率第一，国内免税经营范围并列第一，拥有口岸免税、离岛免税、市内免税经营资质 （王府井百货商场）,,,,,,,,ABCDEFGH,x19-零售业
7,格力地产,免税店,广东-珠海,国内免税经营范围第二；持股珠海免税100%股权， 拥有口岸免税经营资质（珠海、天津）,,,,,,,,ABCDEFGH,x19-零售业
8,海南发展,免税店,深圳,国内免税经营范围第三，持股海南海控免税45%股权，拥有海南离岛免税经营资质（海南）,,,,,,,,ABCDEFGH,x19-零售业
9,海汽集团,免税店,海南-海口,国内免税经营范围第三；持股海南旅投免税100%股权，拥有海南离岸免税经营权（海南,,,,,,,,ABCDEFGH,x19-零售业
10,居然智家,免税店,湖北-武汉,居然之家海南三亚免税店已于2020年年底开业,,,,,,,,ABCDEFGH,x19-零售业
11,众信旅游,免税店,北京-朝阳,公司与中免集团在免税业务上深度合作,,,,,,,,ABCDEFGH,x19-零售业
12,东百集团,免税店,福建-福州,福建地区，正在申请免税资质,,,,,,,,ABCDEFGH,x19-零售业
13,友好集团,免税店,新疆-乌鲁木齐,新疆地区，正在申请免税资质,,,,,,,,ABCDEFGH,x19-零售业
14,友阿股份,免税店,湖南-长沙,湖南地区，正在申请免税资质,,,,,,,,ABCDEFGH,x19-零售业
15,中百集团,免税店,湖北-武汉,湖北地区，正在申请免税资质,,,,,,,,ABCDEFGH,x19-零售业
16,益民集团,上海,上海-黄埔,上海零售，营收4.86亿,,,,,,,,ABCDEFGH,x19-零售业
17,徐家汇,上海,上海-徐汇区,上海零售，营收4.8亿,,,,,,,,ABCDEFGH,x19-零售业
18,新世界,上海,上海-黄埔,上海零售，营收2.12亿,,,,,,,,ABCDEFGH,x19-零售业
19,上海九百,上海,上海-静安,上海零售，营收0.17亿,,,,,,,,ABCDEFGH,x19-零售业
20,三江购物,浙江,浙江-宁波,营收39亿,,,,,,,,ABCDEFGH,x19-零售业
21,杭州解百,浙江,浙江-杭州,营收16.44亿，杭州国资委,,,,,,,,ABCDEFGH,x19-零售业
22,宁波中百,浙江,浙江-宁波,营收9.7亿,,,,,,,,ABCDEFGH,x19-零售业
23,百大集团,浙江,浙江-杭州,营收2.17亿,,,,,,,,ABCDEFGH,x19-零售业
24,丽尚国潮,浙江,浙江-杭州,营收1.4亿，丽水国资委旗下，浙江省丽水市,丽尚国潮总部位于浙江省杭州市‌，同时在杭州、南京、兰州等城市拥有核心资产。丽尚国潮是一家综合性企业集团，主要从事商业资产运营管理，包括专业市场管理、商贸百货零售和新消费新零售业务。公司在杭州、南京、兰州等城市中心区域拥有四大核心资产，如杭州环北丝绸服装城、南京环北市场、兰州亚欧商厦等,,,,,,,ABCDEFGH,x19-零售业
25,海宁皮城,浙江,浙江-嘉兴,皮革专业市场的开发、租赁和服务营收12.2亿,,,,,,,,ABCDEFGH,x19-零售业
26,中百集团,湖北,,湖北商超龙头,,,,,,,,ABCDEFGH,x19-零售业
27,武商集团,湖北,,湖北最大的综合性商业零售,,,,,,,,ABCDEFGH,x19-零售业
28,汉商集团,湖北,武汉,在武汉拥有众多的商场,,,,,,,,ABCDEFGH,x19-零售业
29,家家悦,山东,山东-威海,营收167亿,,,,,,,,ABCDEFGH,x19-零售业
30,银座股份,山东,山东-济南,营收43亿,,,,,,,,ABCDEFGH,x19-零售业
31,通程控股,湖南,湖南-长沙,营收18亿,,,,,,,,ABCDEFGH,x19-零售业
32,友阿股份,湖南,湖南-长沙,营收14.6亿,,,,,,,,ABCDEFGH,x19-零售业
33,东百集团,福建,福建-福州,14.98亿,,,,,,,,ABCDEFGH,x19-零售业
34,新华都,福建,福建-厦门,深耕白酒电商服务，泸州老窖，水井坊，习酒等,阿里云AI助手接入预期,阿里增持股5.5%,,,,,,ABCDEFGH,x19-零售业
35,永辉超市,福建,福建-福州,,,,,,,,,ABCDEFGH,x19-零售业
36,国光连锁,江西,江西-吉安,营收20亿,,,,,,,,ABCDEFGH,x19-零售业
37,合百集团,安徽,安徽-合肥,营收59亿，合肥国资委,,,,,,,,ABCDEFGH,x19-零售业
38,翠微股份,北京,北京-海淀,北京零售，8.45亿,,,,,,,,ABCDEFGH,x19-零售业
39,重庆百货,重庆,重庆-渝中区,营收98亿,,,,,,,,ABCDEFGH,x19-零售业
40,广百股份,广东,广东-广州,营收44亿，广州国资委,,,,,,,,ABCDEFGH,x19-零售业
41,新华百货,宁夏,宁夏-银川,营收51亿,,,,,,,,ABCDEFGH,x19-零售业
42,大商股份,辽宁,辽宁-大连,营收42亿,,,,,,,,ABCDEFGH,x19-零售业
43,中兴商业,辽宁,辽宁-沈阳,营收5亿,,,,,,,,ABCDEFGH,x19-零售业
44,大连友谊,辽宁,辽宁-大连,营收1.44亿,,,,,,,,ABCDEFGH,x19-零售业
45,汇嘉时代,新疆,新疆-乌鲁木齐,营收6.28亿,,,,,,,,ABCDEFGH,x19-零售业
46,南宁百货,广西,广西-南宁,营收5.85亿,,,,,,,,ABCDEFGH,x19-零售业
47,红旗连锁,四川,四川-成都,营收100亿，成都市占率55%,,,,,,,,ABCDEFGH,x19-零售业
48,茂业商业,四川,四川-成都,营收21.9亿,,,,,,,,ABCDEFGH,x19-零售业
49,国芳集团,甘肃,甘肃-兰州,营收2.67亿,,,,,,,,ABCDEFGH,x19-零售业
50,文峰股份,江苏,江苏-南通,营收21亿,,,,,,,,ABCDEFGH,x19-零售业
