序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,三胎主要分为,日用（母婴零售，纸尿裤）,教育（早教，钢琴）,玩具,奶制品（奶粉，鲜奶，常温奶，奶酪，炼乳，乳饮品，进口奶）,辅助生殖,儿童用药,,,,1.0,ABCDEFGH,
2,金发拉比,日用-母婴零售,母婴门店数量A股第一，862家,广东汕头,,,,,,,,ABCDEFGH,
3,爱婴室,日用-母婴零售,母婴门店数量A股第二，526家,上海,,,,,,,,ABCDEFGH,
4,孩子王-300,日用-母婴零售,母婴门店数量A股第一，864家,江苏南京,,,,,,,,ABCDEFGH,
5,奥康国际,日用-母婴零售,经销童鞋,,,,,,,,,,
6,倍加洁,日用-母婴零售,儿童牙刷，牙膏，婴儿湿巾,,,,,,,,,,
7,豪悦护理,日用-纸尿裤,婴儿纸尿裤营收A股第一，20亿,杭州,,,,,,,,ABCDEFGH,
8,可靠股份-300,日用-纸尿裤,婴儿纸尿裤营收A股第二，5亿,杭州,,,,,,,,ABCDEFGH,
9,百亚股份,日用-纸尿裤,婴儿纸尿裤营收A股第三，1.23亿,重庆,,,,,,,,ABCDEFGH,
10,康芝药业-300,日用-纸尿裤,婴儿纸尿裤营收A股第四，0.8亿,海南-海口,,,,,,,,ABCDEFGH,
11,和晶科技-300,教育-早教,智慧树幼教云平台,江苏-无锡,,,,,,,,ABCDEFGH,
12,珠江钢琴,教育-钢琴,钢琴营收第一，15.76亿,广州,,,,,,,,ABCDEFGH,
13,海伦钢琴,教育-钢琴,钢琴营收第二，3.79亿,宁波,,,,,,,,ABCDEFGH,
14,奥飞娱乐,玩具,玩具营收A股第一，9.9亿，超级飞侠，火力少年王等IP 产品,广东汕头,,,,,,,,ABCDEFGH,
15,星辉娱乐-300,玩具,玩具 营收A股第二，3.35亿，各类静态车模,广东汕头,,,,,,,,ABCDEFGH,
16,实丰文化,玩具,玩具营收A股第三，3.03亿，电动遥控类玩具,广东汕头,AI玩具老龙头,,,,,,,ABCDEFGH,
17,高乐股份,玩具,玩具营收A股第四，2.15亿，IP产品：迪士尼， HelloKitty  ,广东揭阳市,,,,,,,,ABCDEFGH,
18,伊利股份,奶制品-奶粉,市占率A股第一，12.3%,内蒙-呼和浩特,,,,,,,,ABCDEFGH,
19,贝因美,奶制品-奶粉,市占率A股第二，1.3%,杭州,,,,,,,,ABCDEFGH,
20,三元股份,奶制品-奶粉,营收占比9.25%，拥有“爱力优 ”系列奶粉,北京大兴,,,,,,,,ABCDEFGH,
21,燕塘乳业,鲜奶,华南地区市占率第一,广州,,,,,,,,ABCDEFGH,
