序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,泛亚洲贸易主要分为,韩国（物流，贸易），日本（物流），东南亚（物流），俄罗斯（港口，班列）,,,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
2,青岛港,韩国-物流,青岛,山东本地第一大港口,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
3,日照港,韩国-物流,日照,山东本地第二大港口,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
4,中创物流,韩国-物流,青岛,山东第一大海运货物代理上市公司,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
5,海程邦达,韩国-物流,青岛,山东本地第二大海运货物代理上市公司,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
6,瑞茂通,韩国-物流,山东-烟台,山东本地第一大大宗商品供应链上市个公司,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
7,渤海轮渡,韩国-物流,山东-烟台,公司参股公司烟台渤海国际轮渡公司经营烟台至韩国平泽航线的国际客货运运输业务,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
8,青岛双星,韩国-贸易,山东-青岛,公司在韩国拥有生产基地,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
9,青岛金王,韩国-贸易,青岛,公司拥有韩国合作的研发中心和工厂,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
10,连云港,日本-物流,江苏-连云港,江苏本地第一大港口,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
11,南京港,日本-物流,江苏-南京,江苏本地第二大港口,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
12,飞力达-300,日本-物流,江苏-苏州,江苏本地第一大货物代理上市公司,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
13,保税科技,日本-物流,江苏-苏州,江苏本地第一大化工仓储上市公司,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
14,万林物流,日本-物流,江苏-泰州,旗下拥有木材码头,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
15,音飞储存,日本-物流,江苏-南京,主要从事物流装备业务,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
16,海晨股份,日本-物流,江苏-苏州,从事货运代理服务、仓储服务、自动化集成，江苏省十佳物流企业,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
17,长久物流,东南亚-物流,北京-顺义,海外营收占比21%，公司物流业务覆盖东南亚,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
18,顺丰控股,东南亚-物流,深圳,海外营收占比9%，通过收购嘉里物流（全球第10大货代）强化东南亚网络,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
19,锦江航运,东南亚-物流,上海,再东南亚区域具有“海防丝路快航” “泰越丝路快航” “泰越快线”,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
20,中国外运,东南亚-物流,北京-朝阳,泰国仓库二期完工，深化与船公司合作,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
21,连云港,俄罗斯-港口,江苏-连云港,江苏第一大港口，监理中哈物流中转，上合组织出海,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
22,飞力达-300,俄罗斯-班列,江苏-苏州,中俄班列，贵阳到莫斯科正式运营,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
23,长久物流,俄罗斯-班列,北京-顺义,中俄班列，主要业务涵盖二手车出口业务,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
24,中创物流,俄罗斯-班列,山东-青岛,中俄班列，为提供铁路运输服务,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
25,海程邦达,俄罗斯-班列,山东-青岛,中欧班列，铁运业务途径俄罗斯,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
26,小商品城,俄罗斯-班列,浙江-金华,中欧班列，已在俄罗斯布局海外仓,,,,,,,,ABCDEFGH,x20-泛亚洲贸易
