序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,世界共享大市场主要分,亚洲，欧洲，美洲，非洲,,,,,,,,,,ABCDEFGH,x21-世界共享大市场
2,青岛港,中-亚洲-港口,青岛,山东第一大港口，距离韩国较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
3,日照港,中-亚洲-港口,日照,山东本地第二大港口，距离韩国较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
4,连云港,中-亚洲-港口,江苏-连云港,江苏本地第一大港口； 江苏距离日本较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
5,南京港,中-亚洲-港口,江苏-南京,江苏本地第二大港口，江苏距离日本较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
6,北部湾港,中-亚洲-港口,广西-北海,持股40%马来西亚关丹港,,,,,,,,ABCDEFGH,x21-世界共享大市场
7,中创物流,中-亚洲-物流,山东青岛,山东本地第一大货物代理上市公司；山东距离韩国较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
8,海程邦达,中-亚洲-物流,山东-青岛,山东本地第二大货物代理上市公司；山东距离韩国较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
9,瑞茂通,中-亚洲-物流,山东-烟台,山东本地第一大大宗商品供应链上市公司；山东距离韩国较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
10,飞力达,中-亚洲-物流,江苏-苏州,江苏本地第一大货物代理上市公司；江苏距离日本较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
11,保税科技,中-亚洲-物流,江苏-苏州,江苏本地第一大化工仓储上市公司；江苏距离日本较近,,,,,,,,ABCDEFGH,x21-世界共享大市场
12,锦江航运,中-亚洲-物流,上海-浦东,在东南亚地区拥有海防思路快航、泰越丝路快航等,,,,,,,,ABCDEFGH,x21-世界共享大市场
13,宁波海运,中-亚洲-物流,浙江-宁波,拥有宁波到马来西亚海运转口贸易专线,,,,,,,,ABCDEFGH,x21-世界共享大市场
14,青岛双星,中-亚洲-贸易,青岛,公司在韩国拥有生产基地,,,,,,,,ABCDEFGH,x21-世界共享大市场
15,青岛金王,中-亚洲-贸易,青岛,公司在韩国拥有研发中心与工厂,,,,,,,,ABCDEFGH,x21-世界共享大市场
16,上港集团,中-欧洲-港口,上海-浦东,公司持股25%比利时泽布吕赫港,,,,,,,,ABCDEFGH,x21-世界共享大市场
