序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,影视主要分为：,动漫，影视院线（电影院），电影发行（制作电影）电视剧发行（制作电视剧）影视版权运营（），著名ip，艺人经纪,,,,,,,,,,ABCDEFGH,x23-影视
2,奥飞娱乐,动漫,广东-汕头,动漫制作第一。 超级飞侠，喜洋洋与灰太狼，萌鸡小队，贝肯熊，铠甲勇士，巴啦啦小魔仙，菲梦少女,,,,,,,,ABCDEFGH,x23-影视
3,上海电影,动漫,上海-徐汇,动漫制作第二， 中国奇谭，大闹天宫，葫芦兄弟，黑猫警长等,,,,,,,,ABCDEFGH,x23-影视
4,光线传媒-300,动漫,北京-东城,动漫制作第三， 大鱼海棠、娜扎之魔童降世等,,,,,,,,ABCDEFGH,x23-影视
5,祥源文旅,动漫,浙江-杭州,动漫制作第四，绿豆蛙，酷巴熊，萌萌熊，神秘世界历险记，西游记之再世妖王，摇摆神探等,,,,,,,,ABCDEFGH,x23-影视
6,恒信东方-300,动漫,北京-东城,动漫制作第五，太空学院，雷鸟特攻队，皮皮克恐龙大冒险等。,,,,,,,,ABCDEFGH,x23-影视
7,果麦文化-300,动漫,浙江-杭州,公司旗下漫画平台“爱漫阁”定位创作者服务工具,,,,,,,,ABCDEFGH,x23-影视
8,万达电影,影视院线,北京-朝阳, 影视院线市占率第一，票房65.36亿,,,,,,,,ABCDEFGH,x23-影视
9,中国电影,影视院线,北京-怀柔,影视院线市占率第二，47亿,,,,,,,,ABCDEFGH,x23-影视
10,上海电影,影视院线,上海-徐汇,市占率第三，33亿,,,,,,,,ABCDEFGH,x23-影视
11,金逸影视,影视院线,广州,市占率第四，18亿,,,,,,,,ABCDEFGH,x23-影视
12,横店影视,影视院线,浙江-金华,市占率第五，18亿,,,,,,,,ABCDEFGH,x23-影视
13,幸福蓝海-300,影视院线,江苏-南京,市占率第六，17亿,,,,,,,,ABCDEFGH,x23-影视
14,博纳影业,影视院线,新疆-乌鲁木齐,市占率第七，8亿,,,,,,,,ABCDEFGH,x23-影视
15,中国电影,电影发行,北京-怀柔,电影创作、发行营收第一，营收30亿；长津湖，我和我的父辈，独行月球，流浪地球2等,,,,,,,,ABCDEFGH,x23-影视
16,华谊兄弟-300,电影发行,浙江金华,电影创作、发行营收第二， 八佰，我和我的家乡等,,,,,,,,ABCDEFGH,x23-影视
17,博纳影业,电影发行,新疆-乌鲁木齐,电影创作、发行营收第三，营收10亿；中国机长，后会无期，湄公河行动，红海行动，烈火英雄,,,,,,,,ABCDEFGH,x23-影视
18,万达电影,电影发行,北京-朝阳,电影创作、发行营收第四，营收9亿；唐人街探案3，误杀2，我和我的父辈,,,,,,,,ABCDEFGH,x23-影视
19,光线传媒-300,电影发行,北京-东城,电影创作、发行营收第五，营收9亿；西游记之大圣归来，大鱼海棠，哪吒之魔童降世，姜子牙等,,,,,,,,ABCDEFGH,x23-影视
20,上海电影,电影发行,上海-徐汇,电影创作、发行营收第五，营收4.78亿，无名，长津湖（电影），中国奇谭（动漫）,电影《长津湖》是由博纳影业、八一电影制片厂、华夏电影发行有限责任公司、中国电影股份有限公司、上海电影有限公司、阿里巴巴影业集团、登峰联合出品,,,,,,,ABCDEFGH,x23-影视
21,北京文化,电影发行,北京-门头沟,电影创作、发行营收第七，流浪地球，长津湖，战狼,,,,,,,,ABCDEFGH,x23-影视
22,华策影视-300,电视剧发行,浙江-杭州,第1，微微一笑很倾城，何以笙箫默，三生三世十里桃花等,,,,,,,,ABCDEFGH,x23-影视
23,欢瑞世纪,电视剧发行,重庆-涪陵区（fu),"第2, 古剑奇谭，画皮2，盗墓笔记，青云志等",,,,,,,,ABCDEFGH,x23-影视
24,完美世界,电视剧发行,浙江-湖州,第3，老酒馆，九月与安生，神犬小七，灵魂摆渡等,,,,,,,,ABCDEFGH,x23-影视
25,万达电影,电视剧发行,北京-朝阳,第4，谢谢你医生等,,,,,,,,ABCDEFGH,x23-影视
26,光线传媒-300,电视剧发行,北京-东城,第5，怦然心动，火锅英雄，嫌疑人X的献身等,,,,,,,,ABCDEFGH,x23-影视
27,唐德影视-300,电视剧发行,浙江-金华,第6，雪狼，光荣大地等,,,,,,,,ABCDEFGH,x23-影视
28,慈文传媒,电视剧发行,江西-南昌,第7，花千骨，华胥引，老九门等,,,,,,,,ABCDEFGH,x23-影视
29,华谊兄弟-300,电视剧发行,浙江-金华,第8，我的团长我的团，情深深雨濛濛等,,,,,,,,ABCDEFGH,x23-影视
30,百纳千成-300,电视剧发行,北京-石景山,第9，火星孤儿，永不摩美得番号等,,,,,,,,ABCDEFGH,x23-影视
31,北京文化,电视剧发行,北京-门头沟,第10，觉醒年代，大江大河等,,,,,,,,ABCDEFGH,x23-影视
