序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,芯片大全主要分为,计算功能，存储功能，驱动功能，感知功能，链接功能，电源管理功能，起头,"计算功能分为（CPU，GPU,FPGA, AI芯片，","存储功能分为（DRAM，NAND FLASH ,NOR FLASH , EEPROM,模组，其他）",驱动功能分为：电机驱动芯片，LED驱动芯片，显示驱动芯片,感知能动分为：图像感光芯片，视频监视芯片，指纹芯片，惯性传感芯片，其他,连接功能分为： 物联网，以太网，WIFI，蓝牙音频，光通信芯片，5G射频芯片,"电源管理功能分为；IGBT,MOSFET,电源管理芯片",,,,ABCDEFGH,x24-芯片大全
2,中国长城,计算-CPU,深圳,CPU国内生态体系完善度第一，采用ARM架构，与华为建立合作关系，搭载子公司飞腾CPU的服务器在国内党政信创领域市占率第一,,,,,,,,ABCDEFGH,x24-芯片大全
3,海光信息-688,计算-CPU,天津-滨海新区,CPU国内生态体系完善度第二，兼容X86指令集，具有良好的生态优势且应用迁移转换成本呢低，但自主可控程度低,,,,,,,,ABCDEFGH,x24-芯片大全
4,龙芯中科-688,计算-CPU,北京海淀,CPU国内生态体系完善度第三，采用LOONGARCH指令集自主可控程度最高，但生态匮乏,,,,,,,,ABCDEFGH,x24-芯片大全
5,卓易信息-688,计算-CPU,江苏-无锡,CPU配套核心固件BIOS/BMC产品，适配华为、海光、兆新、飞腾等国产芯片,,,,,,,,ABCDEFGH,x24-芯片大全
6,景嘉微-300,计算-GPU,湖南-长沙,国产 GPU进度第一，拥有4款GPU产品； 目前GPU国际市场已被英伟达，AMD和英特尔三家企业垄断，公司层单着GPU国产替代的重要任务,,,,,,,,ABCDEFGH,x24-芯片大全
7,华东重机,计算-GPU,江苏-无锡,拟收购公司锐信图芯从事GPU芯片研发业务,,,,,,,,ABCDEFGH,x24-芯片大全
8,寒武纪-688,计算-AI芯片,北京-海淀,国产AI芯片进度A股第一，营收7亿,,,,,,,,ABCDEFGH,x24-芯片大全
9,澜起科技-688,计算-AI芯片,上海-徐汇,国产AI芯片进度A股第二，公司已开发第一代AI芯片工程样片,,,,,,,,ABCDEFGH,x24-芯片大全
10,复旦微电,计算-FPGA,上海-杨浦,民用FPGA芯片营收A股第一，11亿，国内最早成立FPGA企业,,,,,,,,ABCDEFGH,x24-芯片大全
11,安路科技-688,计算-FPGA,上海-虹口区,民用FPGA芯片营收A股第二，6亿,,,,,,,,ABCDEFGH,x24-芯片大全
12,紫光国微,计算-FPGA,河北-唐山,特种FPGA芯片营收A股第一，12亿；布局民用和特种两大领域,,,,,,,,ABCDEFGH,x24-芯片大全
13,兆易创新,存储-DRAM,北京-海淀,利基DRAM市占率A股第一,,,,,,,,ABCDEFGH,x24-芯片大全
14,北京君正-300,存储-DRAM,北京-海淀,车用DRAM市占率A股第一,,,,,,,,ABCDEFGH,x24-芯片大全
15,东芯股份-688,存储-DRAM,上海-青浦区,营收0.81亿，营收占比7%,,,,,,,,ABCDEFGH,x24-芯片大全
16,兆易创新,存储-NANDFLASH,北京-海淀,国内主要的SPI NAND FLASH 厂商,,,,,,,,ABCDEFGH,x24-芯片大全
17,东芯股份-688,存储-NANDFLASH,上海-青浦区,国内主要的SLC NAND FLASH 厂商,,,,,,,,ABCDEFGH,x24-芯片大全
18,兆易创新,存储-NOR FLASH,北京-海淀,NOR FLASH 市占率A股第一，全球市占率15.6%,,,,,,,,ABCDEFGH,x24-芯片大全
19,普冉股份-688,存储-NOR FLASH,上海-浦东新区,NOR FLASH 市占率A股第二，全球市占率4%,,,,,,,,ABCDEFGH,x24-芯片大全
20,恒烁股份-688,存储-NOR FLASH,安徽-合肥,NOR FLASH 市占率A股第三，全球市占率2.7%,,,,,,,,ABCDEFGH,x24-芯片大全
21,聚辰股份-688,存储-EEPROM,上海-浦东新区,EEPROM市占率A股第一,,,,,,,,ABCDEFGH,x24-芯片大全
22,普冉股份-688,存储-EEPROM,上海-浦东新区,EEPROM市占率A股第二,,,,,,,,ABCDEFGH,x24-芯片大全
23,复旦微电,存储-EEPROM,上海-杨浦,EEPROM市占率A股第三,,,,,,,,ABCDEFGH,x24-芯片大全
24,存储芯片模组,,,存储模组是计算机系统中用于存储数据的物理部分，也被称为存储器模块。主要包括主存储器（如RAM）和辅助存储器（如硬盘、SSD等）,,,,,,,,ABCDEFGH,x24-芯片大全
25,江波龙-300,存储-模组,深圳,存储芯片模组市占率A股第一,,,,,,,,ABCDEFGH,x24-芯片大全
26,佰维存储-688,存储-模组,深圳,存储芯片模组市占率A股第二,,,,,,,,ABCDEFGH,x24-芯片大全
27,德明利,存储-模组,深圳,存储芯片模组市占率A股第三,,,,,,,,ABCDEFGH,x24-芯片大全
28,澜起科技-688,存储-模组,上海-徐汇,公司内存接口芯片全球市占率并列第一，38%,,,,,,,,ABCDEFGH,x24-芯片大全
