序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,食品饮料-主要分为,食品，饮料，乳制品，调料，蔬菜,,,,,,,,,,ABCDEFGH,x29-食品饮料
2,万辰集团-300,食品-休闲零食,福建-漳州,量贩零食门店数A股第一，6200家；公司量贩零售门店数全国第二，食用菌生产,,,,,,,,ABCDEFGH,x29-食品饮料
3,量贩零食-科普,,,零食量贩是指去掉休闲食品经销商环节，直接从工厂采购或贴牌生产产品，主打低价和产品多样性的零售专卖店,,,,,,,,ABCDEFGH,x29-食品饮料
4,来伊份,食品-休闲零食,上海-松江,品牌门店数A股第一，3622家；,,,,,,,,ABCDEFGH,x29-食品饮料
5,良品铺子,食品-休闲零食,湖北-武汉,品牌门店数量A股第二，3184家，高端零食,,,,,,,,ABCDEFGH,x29-食品饮料
6,盐津铺子,食品-休闲零食,湖南-长沙,品牌么点A股第三，3180家，休闲零食，,,,,,,,,ABCDEFGH,x29-食品饮料
7,五芳斋,食品-休闲零食,浙江-嘉兴,品牌门店A股第四，443家，糯米零食,,,,,,,,ABCDEFGH,x29-食品饮料
8,好想你,食品-休闲零食,河南-郑州,品牌门店数A股第五，390家，枣类零食,,,,,,,,ABCDEFGH,x29-食品饮料
9,三只松鼠,食品-休闲零食,安徽-芜湖,品牌门店数A股第六，330家，坚果零食,,,,,,,,ABCDEFGH,x29-食品饮料
10,甘源食品,食品-休闲零食,江西-萍乡,品牌门店A股第七，果仁零食,,,,,,,,ABCDEFGH,x29-食品饮料
11,桂发祥,食品-休闲零食,天津-河西,品牌门店数A股第八，麻花零食,,,,,,,,ABCDEFGH,x29-食品饮料
12,洽洽食品,食品-休闲零食,安徽-合肥,国内主要的瓜子零食企业,,,,,,,,ABCDEFGH,x29-食品饮料
13,劲仔食品,食品-休闲零食,湖南-岳阳,国内主要的鱼类零食企业,,,,,,,,ABCDEFGH,x29-食品饮料
14,有友食品,食品-休闲零食,重庆,国内主要的泡脚凤爪零食企业,,,,,,,,ABCDEFGH,x29-食品饮料
15,广州酒家,食品-休闲零食,广州,国内主要的月饼零食企业,,,,,,,,ABCDEFGH,x29-食品饮料
16,金字火腿,食品-休闲零食,浙江-金华,国内主要的火腿肠生产企业,,,,,,,,ABCDEFGH,x29-食品饮料
17,青岛食品,食品-休闲零食,青岛,青岛主要的饼干零食企业,,,,,,,,ABCDEFGH,x29-食品饮料
18,绝味食品,食品-卤制品,湖南-长沙,休闲卤制品市占率A股第一，9%,,,,,,,,ABCDEFGH,x29-食品饮料
19,煌上煌,食品-卤制品,江西-南昌,休闲乳制品市占率A股第二，,,,,,,,,ABCDEFGH,x29-食品饮料
20,紫燕食品,食品-卤制品,上海,佐餐卤制品市占率A股第一，3%,"佐餐指在用餐过程中搭配主食或主菜食用的辅助性物质,其核心功能是提升食物的整体风味、口感层次或补充营养。常见的佐餐类型包括调味品、酱料、饮品等",,,,,,,ABCDEFGH,x29-食品饮料
21,桃李面包,食品-烘焙食品bei,辽宁-沈阳,烘焙食品营收第1,,,,,,,,ABCDEFGH,x29-食品饮料
22,立高食品-300,食品-烘焙食品bei,广州,烘焙食品营收第2，李杨：好利来，立高，黑天鹅,,,,,,,,ABCDEFGH,x29-食品饮料
23,元祖股份,食品-烘焙食品bei,上海,烘焙食品营收第3,,,,,,,,ABCDEFGH,x29-食品饮料
24,一鸣食品,食品-烘焙食品bei,浙江-温州,烘焙食品营收第4,,,,,,,,ABCDEFGH,x29-食品饮料
25,麦趣尔,食品-烘焙食品bei,新疆-昌吉,烘焙食品营收第5,,,,,,,,ABCDEFGH,x29-食品饮料
26,南侨食品,食品-烘焙食品bei,上海-徐汇,烘焙油脂（含奶油）营收第一，28亿,,,,,,,,ABCDEFGH,x29-食品饮料
27,海融科技-300,食品-烘焙食品bei,上海,烘焙油脂营收第二，7亿,,,,,,,,ABCDEFGH,x29-食品饮料
28,巴比食品,食品-烘焙食品bei,上海,公司中式面点营收14亿,,,,,,,,ABCDEFGH,x29-食品饮料
29,安井食品,速冻食品,福建-厦门,速冻视频营收A股第1，（安记食品做复合调料是福建泉州的）,安井食品的历史可以追溯到上世纪90年代，当时日本安井重隆作为日本安井食品株式会社的代表来到中国寻找合作机会，而刘鸣鸣则是当时中国冷冻食品行业的佼佼者。1993年，双方在福建厦门成立了安井食品(中国)有限公司，开启了中日冷冻食品合作的先河。尽管品牌名称中带有“安井”这一日本元素，但安井食品(中国)有限公司在实质上已经是一家中国企业‌3。,,,,,,,ABCDEFGH,x29-食品饮料
30,三全食品,速冻食品,河南-郑州,速冻视频营收A股第2,,,,,,,,ABCDEFGH,x29-食品饮料
31,惠发食品,速冻食品,山东-潍坊,速冻视频营收A股第3,,,,,,,,ABCDEFGH,x29-食品饮料
32,海欣食品,速冻食品,福建-福州,速冻视频营收A股第4,,,,,,,,ABCDEFGH,x29-食品饮料
33,,速冻食品,,,,,,,,,,ABCDEFGH,x29-食品饮料
34,香飘飘,饮料-冲调,浙江-湖州,杯装冲泡奶茶,,,,,,,,ABCDEFGH,x29-食品饮料
35,黑芝麻,饮料-冲调,广西-玉林,袋装冲泡芝麻糊,,,,,,,,ABCDEFGH,x29-食品饮料
36,维维股份,饮料-冲调,江苏-徐州,豆奶粉,,,,,,,,ABCDEFGH,x29-食品饮料
37,西麦食品,饮料-冲调,广西-桂林,麦片,,,,,,,,ABCDEFGH,x29-食品饮料
38,国投中鲁,饮料-果汁,北京-丰台,果汁营收A股第一,,,,,,,,ABCDEFGH,x29-食品饮料
39,安德利,饮料-果汁,山东-烟台,果汁营收A股第二,,,,,,,,ABCDEFGH,x29-食品饮料
40,国中水务,饮料-果汁,黑龙江-哈尔滨,拟收购汇源果汁部分股份，汇源果汁为国内果汁业龙头,,,,,,,,ABCDEFGH,x29-食品饮料
41,燕塘乳业,饮料-乳酸菌,广州,乳酸菌营收A股第一，7亿,,,,,,,,ABCDEFGH,x29-食品饮料
42,均瑶健康,饮料-乳酸菌,湖北-宜昌,乳酸菌营收A股第二，6亿,,,,,,,,ABCDEFGH,x29-食品饮料
43,东鹏饮料,功能饮料,深圳,功能饮料市占率A股第一,,,,,,,,ABCDEFGH,x29-食品饮料
44,养元饮品,植物蛋白,河北-衡水,植物蛋白饮料营收第1,,,,,,,,ABCDEFGH,x29-食品饮料
45,承德露露,植物蛋白,河北-承德,植物蛋白饮料营收第2,,,,,,,,ABCDEFGH,x29-食品饮料
46,欢乐家-300,植物蛋白,广东-湛江,植物蛋白饮料营收第3,,,,,,,,ABCDEFGH,x29-食品饮料
47,维维股份,植物蛋白,江苏-徐州,植物蛋白饮料营收第4,,,,,,,,ABCDEFGH,x29-食品饮料
48,祖名股份,植物蛋白,浙江-杭州,植物蛋白饮料营收第5,,,,,,,,ABCDEFGH,x29-食品饮料
49,海南椰岛,植物蛋白,海南-海口,植物蛋白饮料营收第6,,,,,,,,ABCDEFGH,x29-食品饮料
50,佳禾食品,咖啡,江苏-苏州,"公司拥有咖啡品牌“金毛咖啡 ” 和 “豪咖 HOCA ,具有咖啡全产品链",,,,,,,,ABCDEFGH,x29-食品饮料
