序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,港口：,基本上就分布在，山东，河北，浙江，江苏，辽宁，福建，浙江，广西，等沿海城市,内陆： 重庆,全国一个：招商港口,,,,,,,,ABCDEFGH,
2,招商港口,全国,国内最大的全球港口业务板块管理和资本运营平台,,,,,,,,,ABCDEFGH,
3,广州港,广东,货物吞吐量广东第一，为5.36亿吨,,,,,,,,,ABCDEFGH,
4,盐田港,广东, 货物吞吐量广东第二，0.41亿吨,,,,,,,,,ABCDEFGH,
5,珠海港,广东,货物吞吐量广东第三，0.16亿吨,,,,,,,,,ABCDEFGH,
6,日照港,山东,货物吞吐量山东第二,,,,,,,,,ABCDEFGH,
7,青岛港,山东,货物吞吐量山东第一,,中日韩，,,,,,,,ABCDEFGH,
8,秦港股份,河北,货物吞吐量河北第一,,,,,,,,,ABCDEFGH,
9,唐山港,河北,货物吞吐量河北第二,,,,,,,,,ABCDEFGH,
10,连云港,江苏,货物吞吐量江苏第一，,,一带一路,,,,,,,ABCDEFGH,
11,南京港,江苏,货物吞吐量江苏第二,,一带一路,,,,,,,ABCDEFGH,
12,天津港,天津,,,,,,,,,,ABCDEFGH,
13,北部湾港,广西,货物吞吐量广西第一，大西南向东盟国家最便捷跳板,,,,,,,,,ABCDEFGH,
14,上港集团,上海,,,,,,,,,,ABCDEFGH,
15,宁波港,浙江,,,,,,,,,,ABCDEFGH,
16,重庆港,重庆,,,,,,,,,,ABCDEFGH,
17,厦门港务,厦门,,,,,,,,,,ABCDEFGH,
