序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,电广传媒,参股,湖南-长沙,参股智谱华章比例A股第一，文化传媒,,,,,,,,ABCDEFGH,x30-清华质谱AI
2.0,凌云光-688,参股,北京海淀,参股智谱华章比例A股二，自动化设备,,,,,,,,ABCDEFGH,x30-清华质谱AI
3.0,三七互娱,参股,安徽-芜湖,参股智谱华章比例A股第三，游戏,,,,,,,,ABCDEFGH,x30-清华质谱AI
4.0,豆神教育-300,参股,北京-门头沟,教育，参股清华智谱子公司，公司与北京智谱华章、海南何尊共同成立合资公司专注于AI教育产品的技术研发与销售,,,,,,,,ABCDEFGH,x30-清华质谱AI
5.0,首都在线-300,算力,北京-朝阳,24年9月6日公司与智谱签订战略合作协议,,,,,,,,ABCDEFGH,x30-清华质谱AI
6.0,青云科技-688,算力,北京-朝阳,为清华智谱提供算力服务,,,,,,,,ABCDEFGH,x30-清华质谱AI
7.0,创业黑马-300,合作,北京,教育，战略合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
8.0,正和生态,合作,北京,环境治理，战略合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
9.0,平治信息-300,合作,浙江-杭州,文化传媒，战略合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
10.0,思美传媒,合作,浙江-杭州,文化传媒，战略合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
11.0,彩讯股份-300,合作,深圳,IT服务，战略合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
12.0,华策影视-300,合作,浙江杭州,电视剧制作，影视制作，与智谱公司在联合开发影视内容生成智能体,,,,,,,,ABCDEFGH,x30-清华质谱AI
13.0,汉得信息-300,合作,上海,IT服务，与智谱共同构建深度生态,,,,,,,,ABCDEFGH,x30-清华质谱AI
14.0,中科金财,合作,北京,IT服务，已接入智谱对话大模型,,,,,,,,ABCDEFGH,x30-清华质谱AI
15.0,盛通股份,合作,北京,包装印刷，调用智谱大模型,,,,,,,,ABCDEFGH,x30-清华质谱AI
16.0,新点软件-688,合作,江苏-苏州,是智谱AI认知大模型深度合作伙伴,,,,,,,,ABCDEFGH,x30-清华质谱AI
17.0,二六三,合作,北京-昌平,通信服务，公司智能呼叫中心对接清华智谱GLM大模型,,,,,,,,ABCDEFGH,x30-清华质谱AI
18.0,东华软件,合作,北京,公司与清华智谱合作，运用智谱大模型在产品中开发,,,,,,,,ABCDEFGH,x30-清华质谱AI
19.0,法本信息-300,合作,深圳,公司与其建立了生态合作,,,,,,,,ABCDEFGH,x30-清华质谱AI
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28.0,,,,,,,,,,,,,
