序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,旅游分为,旅游服务，酒店，酒楼饭店，景区运营 ，文旅颜艺，主题公园,,,,,,,,,,ABCDEFGH,x33-旅游
2,众信旅游,旅游服务,北京,旅游零售、旅游批法市占率第1，,,,,,,,,ABCDEFGH,x33-旅游
3,中青旅,旅游服务,北京,旅行社营收第一，4亿,,,,,,,,ABCDEFGH,x33-旅游
4,岭南控股,旅游服务,广州,旅行社营收第二，3亿,,,,,,,,ABCDEFGH,x33-旅游
5,南京商旅,旅游服务,南京,旅行社营收第三，2亿,,,,,,,,ABCDEFGH,x33-旅游
6,西安旅游,旅游服务,西安,旅行社营收第四，1.45亿,,,,,,,,ABCDEFGH,x33-旅游
7,锦江酒店,酒店,上海,"酒店运营与管理营收第1,107亿，连锁第一",,,,,,,,ABCDEFGH,x33-旅游
8,首旅酒店,酒店,北京,酒店运营与管理营收第二，49亿，连锁第二,,,,,,,,ABCDEFGH,x33-旅游
9,岭南控股,酒店,广州,酒店运营与管理营收第三，5亿,,,,,,,,ABCDEFGH,x33-旅游
10,金陵饭店,酒店,南京,酒店运营与管理营收第4，4亿，江苏首家五星级饭店,,,,,,,,ABCDEFGH,x33-旅游
11,华天酒店,酒店,长沙,酒店运营与管理营收第5，1.9亿,,,,,,,,ABCDEFGH,x33-旅游
12,君亭酒店-300,酒店,杭州,酒店运营与管理营收第六，1.4亿,,,,,,,,ABCDEFGH,x33-旅游
13,两面针,酒店,广西-柳州,年销旅游牙膏（单只）15亿,,,,,,,,ABCDEFGH,x33-旅游
14,全聚德,酒楼饭店,北京,,,,,,,,,ABCDEFGH,x33-旅游
15,西安饮食-西安饭店，同盛祥饭庄，老孙家饭庄,酒楼饭店,西安,西安餐饮老字号，旗下有：西安饭店，同盛祥饭庄，老孙家饭庄等,,,,,,,,ABCDEFGH,x33-旅游
16,同庆楼,酒楼饭店,安徽-合肥,安徽餐饮老字号，旗下有 同庆楼,,,,,,,,ABCDEFGH,x33-旅游
17,长白山,景区运营,吉林-延边,,,,,,,,,ABCDEFGH,x33-旅游
18,大连圣亚,景区运营,辽宁,大连圣亚海洋世界,,,,,,,,ABCDEFGH,x33-旅游
19,曲江文旅,景区运营,陕西,大唐不夜城旅游,西安曲江新,,,,,,,ABCDEFGH,x33-旅游
20,丽江文旅,景区运营,云南-丽江,,,,,,,,,ABCDEFGH,x33-旅游
21,天府文旅,景区运营,四川-成都,成都西岭雪山景区,,,,,,,,ABCDEFGH,x33-旅游
22,峨眉山,景区运营,四川-峨眉山,峨眉山旅游,,,,,,,,ABCDEFGH,x33-旅游
23,黄山旅游,景区运营,安徽-黄山,,,,,,,,,ABCDEFGH,x33-旅游
24,张家界,景区运营,湖南-张家界,,,,,,,,,ABCDEFGH,x33-旅游
25,祥源文旅,景区运营,浙江-杭州, 运营有： 湖南 百龙天梯，虹龙洞，凤凰古城等,,,,,,,,ABCDEFGH,x33-旅游
26,三峡旅游,景区运营,湖北-宜昌,,,,,,,,,ABCDEFGH,x33-旅游
27,西域旅游,景区运营,新疆-昌吉,天山景区旅游,,,,,,,,ABCDEFGH,x33-旅游
28,天目湖,景区运营,江苏-常州,天目湖旅游,,,,,,,,ABCDEFGH,x33-旅游
29,桂林旅游,景区运营,广西-桂林,,,,,,,,,ABCDEFGH,x33-旅游
30,西藏旅游,景区运营,西藏-拉塞,雅鲁藏布大峡谷景区,,,,,,,,ABCDEFGH,x33-旅游
31,三特索道,景区运营,湖北-武汉,景区索道运营,,,,,,,,ABCDEFGH,x33-旅游
32,曲江文旅,文旅演绎,西安,运营景点：大唐不夜城，大明宫遗址公园，旗下 有 皮卡晨，盛唐密盒等抖音IP,,,,,,,,ABCDEFGH,x33-旅游
33,宋城演艺,文旅演绎,杭州,旅游演艺市占率第一,,,,,,,,ABCDEFGH,x33-旅游
34,三湘印象,文旅演绎,上海,旅游演艺市占率第二， ,也做房地产,,,,,,,ABCDEFGH,x33-旅游
35,云南旅游,文旅演绎,云南-昆明,梦幻腾冲， 聂耳，阿诗玛，马帮丝路等,,,,,,,,ABCDEFGH,x33-旅游
36,华侨城,主题公园,深圳,"主题公园运营营收A股第一,313亿",,,,,,,,ABCDEFGH,x33-旅游
