序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,建材可以这样记忆,结构材料，装饰材料，专用材料，装修服务等,结构材料分为：板材，石膏板，五金，玻璃，管材,装饰材料分为：涂料，乳液，油漆，活性剂，瓷砖，吊顶，幕墙，饰边条，复合材料，装饰纸,专用材料分为：防水材料，遮阳材料，耐火材料，减水剂,,,,,,,ABCDEFGH,x35-建材
2,兔宝宝,结构材料-板材,浙江-湖州,板材营收A股第1,,,,,,,,ABCDEFGH,x35-建材
3,中旗新材,结构材料-板材,广东-佛山,板材营收A股第2,,,,,,,,ABCDEFGH,x35-建材
4,万里石,结构材料-板材,福建-厦门,建筑装饰石材营收9.8亿,,,,,,,,ABCDEFGH,x35-建材
5,银龙股份,结构材料-板材,天津-北辰,预应力混凝土用棺材相关营收27亿,,,,,,,,ABCDEFGH,x35-建材
6,北新建材,结构材料-石膏板,北京,产能A股第一，全球第一,,,,,,,,ABCDEFGH,x35-建材
7,巨星科技,五金,杭州,建筑五金营收A股第1,,,,,,,,ABCDEFGH,x35-建材
8,坚朗五金,五金,广东-东莞,建筑五金营收A股第2,,,,,,,,ABCDEFGH,x35-建材
9,康平科技-300,五金,江苏-苏州,公司电动工具营收9亿,,,,,,,,ABCDEFGH,x35-建材
10,旗滨集团,玻璃,湖南-株洲,建材玻璃市占率A股第1,,,,,,,,ABCDEFGH,x35-建材
11,南玻A,玻璃,深圳,建材玻璃市占率A股第2,南玻集团,主营1：节能玻璃,主营2：太阳能光伏，,主营3： 显示器件与电子玻璃,2026年5月22日涨停原因：近期市场对消费电子、柔性屏等科技题材关注度极高。南玻A在互动平台透露，其湖北南玻光学的UTG（超薄柔性玻璃）项目正在推进，主要定位消费电子及车载显示领域。,,,ABCDEFGH,x35-建材
12,金晶科技,玻璃,山东-淄博,建材玻璃市占率A股第3,,,,,,,,ABCDEFGH,x35-建材
13,耀皮玻璃,玻璃,上海,建材玻璃市占率A股第4,,,,,,,,ABCDEFGH,x35-建材
14,北玻股份,玻璃,河南-洛阳,玻璃钢化设备龙头,,,,,,,,ABCDEFGH,x35-建材
15,国际复材-300,玻璃,重庆,公司玻璃纤维及制品营收68亿,,,,,,,,ABCDEFGH,x35-建材
16,三星新材,玻璃,浙江-湖州,玻璃门体相关营收8亿,三星医疗-浙江-宁波,传统主业：低温储藏设备用玻璃门体（客户包括海尔、美的等,新业务：光伏玻璃（通过控股子公司国华金泰推进）,,,,,ABCDEFGH,x35-建材
17,公元股份,管材,浙江-台州,塑料管道营收A股第1,,,,,,,,ABCDEFGH,x35-建材
18,伟星新材,管材,浙江-台州,塑料管道营收A股第2,,,,,,,,ABCDEFGH,x35-建材
19,雄塑科技-300,管材,广东-佛山,塑料管道营收A股第3,,,,,,,,ABCDEFGH,x35-建材
20,沧州明珠,管材,河北-沧州,塑料管道营收A股第4,,,,,,,,ABCDEFGH,x35-建材
21,顾地科技,管材,湖北-鄂州,塑料管道营收A股第5,,,,,,,,ABCDEFGH,x35-建材
22,纳川股份-300,管材,福建-泉州,国内主要的HDPE缠绕增强管厂商,,,,,,,,ABCDEFGH,x35-建材
23,东宏股份,管材,山东-济宁,国内主要的复合管道厂商,,,,,,,,ABCDEFGH,x35-建材
24,国机通用,管材,安徽-合肥,国内主要的新型塑料管材厂商,,,,,,,,ABCDEFGH,x35-建材
25,海螺新材,管材,安徽-芜湖,公司塑料型材及板材营收18亿,,,,,,,,ABCDEFGH,x35-建材
26,三棵树,涂料,福建-莆田,外墙涂料市占率A股第1,,,,,,,,ABCDEFGH,x35-建材
27,亚士创能,涂料,上海,外墙涂料市占率A股2,探索机器人业务,,,,,,,ABCDEFGH,x35-建材
28,东方雨虹,涂料,北京-顺义,外墙涂料市占率A股第三,,,,,,,,ABCDEFGH,x35-建材
29,麦加芯彩,涂料,上海,集装箱涂料营收5.8亿,主营：涂料,公司主营业务为高性能涂料的研发、生产及销售，核心产品广泛应用于风电、集装箱、桥梁钢结构等领域,行业地位：国内风电防护涂料及风电叶片涂料的领导品牌，同时也是全球前列的集装箱涂料供应商,产品矩阵：主营风电叶片涂料、风电塔筒涂料、集装箱涂料、桥梁钢结构涂料等。,,风电出海+中东订单：受益于“中东战火”背景下中国风电设备出海加速，公司作为涂料供应商直接受益。公司已明确表示，其变压器涂料可用于油浸式变压器、箱式变电站及海上升压站等新能源场景，业务拓展至光伏、储能、船舶海工等领域,,ABCDEFGH,x35-建材
30,东鹏控股,瓷砖,广东-清远,"营收规模A股第1,61亿",,,,,,,,ABCDEFGH,x35-建材
31,蒙娜丽莎,瓷砖,广东-佛山,营收规模A股第，57亿,,"近期看到蒙娜丽莎股价大涨（如5月份走出三连板），市场传闻它与“英伟达产业链”、“半导体材料”有关。
市场炒作逻辑：因为公司名字里带有“陶瓷”，资本市场将其与高端芯片散热用的“陶瓷基板”概念强行关联，引发了资金的疯狂炒作。
官方明确辟谣：蒙娜丽莎官方已多次发布公告明确澄清：公司的主营业务依然是建筑陶瓷，半导体材料业务目前并未产生任何收入和利润。 建筑陶瓷（硅酸盐体系）与半导体陶瓷基板（氮化铝等先进材料）在技术和应用上有着根本性的区别。",,,,,,ABCDEFGH,x35-建材
32,帝欧家居,瓷砖,四川-成都,营收规模A股第三，32亿,,,,,,,,ABCDEFGH,x35-建材
33,保立佳-300,乳液,上海,建筑乳液，防水乳液核心公司,,,,,,,,ABCDEFGH,x35-建材
34,渝三峡A,油漆,重庆,油漆涂料营收占比98%,公司主导产品为“三峡牌”系列涂料，包括内墙乳胶漆、醇酸漆、硝基漆、聚酯漆等，在国内涂料市场具有较高品牌知名度和技术储备。作为行业龙头企业，,,,,,,,ABCDEFGH,x35-建材
35,光华股份,油漆,浙江-嘉兴,聚酯树脂营收12亿,,,,,,,,ABCDEFGH,x35-建材
36,皇马科技,活性剂,浙江-绍兴,皇马科技是目前国内生产规模最大、品类齐全、科技含量较高的特种表面活性剂企业之一，产品类别超过1600种,,,,,,,,ABCDEFGH,x35-建材
37,友邦吊顶,吊顶,浙江-嘉兴,吊顶营收A股第一，8亿,中国集成吊顶行业的缔造者,浙江友邦集成吊顶股份有限公司，总部位于浙江省嘉兴市海盐县,,,,,,ABCDEFGH,x35-建材
38,法狮龙,吊顶,浙江-嘉兴,吊顶营收A股第二，5亿,2025年10月23日公告设立子公司探索AI业务,测试E,测试f,测试g,测试h,解析,100.0,ABCDEFGH,x35-建材
39,奥普科技,吊顶,浙江-杭州,吊顶营收A股第三，4亿,,,,,,,,ABCDEFGH,x35-建材
40,江河集团,幕墙,北京-顺义,营收A股第1,,,,,,,,ABCDEFGH,x35-建材
41,亚厦股份,幕墙,浙江杭州,营收A股第2,,,,,,,,ABCDEFGH,x35-建材
42,方大集团,幕墙,深圳,营收A股第3,,,,,,,,ABCDEFGH,x35-建材
43,海南发展,幕墙,深圳,营收A股第4,,,,,,,,ABCDEFGH,x35-建材
44,恒尚节能,幕墙,江苏-无锡,营收A股第5,,,,,,,,ABCDEFGH,x35-建材
45,金螳螂,幕墙,江苏-苏州,营收A股第6,,,,,,,,ABCDEFGH,x35-建材
46,华立股份,饰边条,东莞,营收规模4亿,,,,,,,,ABCDEFGH,x35-建材
47,森泰股份-300,复合材料,安徽-宣城,木塑复合材料营收7亿,,,,,,,,ABCDEFGH,x35-建材
48,扬子新材,复合材料,江苏-苏州,有机图层板营收4亿,主营：彩钢板（高洁净板，抗静电板）,中芯国际概念/半导体洁净室：公司有多款产品可满足半导体洁净室的不同需求，主要包括高洁净彩涂板、抗静电彩涂板、HAS恒耐板等。公司客户名单中包含中芯国际、华为、三星等知名企业,芯片洁净室材料,,有机涂层板：作为传统主业，产品下游覆盖医疗场所（如武汉雷神山医院）、大型场馆（如上海世博园摩洛哥馆）、工业厂房及家用电器等领域,,,ABCDEFGH,x35-建材
49,聚力文化,装饰纸,杭州,装饰纸营收A股第一,,,,,,,,ABCDEFGH,x35-建材
50,东方雨虹,防水材料,北京,防水材料营收排名第1,,,,,,,,ABCDEFGH,x35-建材
51,科顺股份-300,防水材料,广东-佛山,防水材料营收排名第2,,,,,,,,ABCDEFGH,x35-建材
52,凯伦股份-300,防水材料,苏州,防水材料营收排名第3,,,,,,,,ABCDEFGH,x35-建材
53,玉马科技-300,遮阳材料,山东-潍坊,功能性遮阳材料量产A股第1,户外旅行,,,,,,,ABCDEFGH,x35-建材
54,西大门,遮阳材料,浙江-绍兴,功能性遮阳材料量产A股第2,,,,,,,,ABCDEFGH,x35-建材
55,濮耐股份,耐火材料,河南-濮阳,耐火材料营收A股第1,,,,,,,,ABCDEFGH,x35-建材
56,瑞泰科技,耐火材料,北京,耐火材料营收A股第2,,,,,,,,ABCDEFGH,x35-建材
57,北京利尔,耐火材料,北京,耐火材料营收A股第3,,,,,,,,ABCDEFGH,x35-建材
58,鲁阳节能,耐火材料,山东-淄博,陶瓷纤维耐火材料市占率A股第1,,,,,,,,ABCDEFGH,x35-建材
59,苏博特,减水剂,江苏-南京,减水剂营收A股第1,减水剂是一种在维持混凝土坍落度基本不变的条件下，能减少拌合用水量的混凝土外加剂。,,,,,,,ABCDEFGH,x35-建材
60,垒知集团,减水剂,福建-厦门,减水剂营收A股第2,,,,,,,,ABCDEFGH,x35-建材
61,红墙股份,减水剂,广东-惠州,减水剂营收A股第3,,,,,,,,ABCDEFGH,x35-建材
