序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,造纸可以分为： 原料，生活用纸，特种纸，设备等,,,,,,,,,,,ABCDEFGH,x36-造纸
2,太阳纸业,纸浆,山东-济宁,纸浆产量A股第1,,,,,,,,ABCDEFGH,x36-造纸
3,晨鸣纸业,纸浆,山东-潍坊,纸浆产量A股第2,,,,,,,,ABCDEFGH,x36-造纸
4,山鹰国际,纸浆,安徽-马鞍山,纸浆产量A股第3,,,,,,,,ABCDEFGH,x36-造纸
5,博汇纸业,纸浆,山东-淄博,纸浆产量A股第4,,,,,,,,ABCDEFGH,x36-造纸
6,宜宾纸业,纸浆,四川-宜宾,纸浆产量A股第5,,,,,,,,ABCDEFGH,x36-造纸
7,岳阳林纸,纸浆,湖南-岳阳,纸浆产量A股第6,,,,,,,,ABCDEFGH,x36-造纸
8,青山纸业,纸浆,福建-福州,纸浆产量A股第7,,,,,,,,ABCDEFGH,x36-造纸
9,景兴纸业,办公纸,浙江-嘉兴,造纸营收占比100%，62亿,,,,,,,,ABCDEFGH,x36-造纸
10,松炀资源（yang),办公纸,广州,9亿,,,,,,,,ABCDEFGH,x36-造纸
11,博汇纸业,办公纸,山东-淄博,177亿,,,,,,,,ABCDEFGH,x36-造纸
12,荣晟环保,办公纸,浙江-嘉兴,24亿,,,,,,,,ABCDEFGH,x36-造纸
13,仙鹤股份,办公纸,浙江-衢州,73亿,,,,,,,,ABCDEFGH,x36-造纸
14,美利云,办公纸,宁夏-中卫,8亿,,,,,,,,ABCDEFGH,x36-造纸
15,森林包装,办公纸,浙江-台州,19亿,,,,,,,,ABCDEFGH,x36-造纸
16,华泰股份,办公纸,山东-东营,94亿,,,,,,,,ABCDEFGH,x36-造纸
17,山鹰国际,办公纸,安徽-马鞍山,218亿,,,,,,,,ABCDEFGH,x36-造纸
18,中顺洁柔,生活纸,广东-中山,83亿，生活用纸,,,,,,,,ABCDEFGH,x36-造纸
19,洁雅股份-300,生活纸,安徽-铜陵,消毒湿巾营收占比88%，6亿,,,,,,,,ABCDEFGH,x36-造纸
20,博汇纸业,白卡纸,山东淄博,市占率A股第一,‌白卡纸‌： ‌核心用途‌：强调耐用性与质感，如名片、证书、请柬、台历、包装盒等。 ‌铜版纸‌： ‌核心用途‌：注重色彩表现，适用于画册、海报、书刊封面、商品广告等彩色印刷品。,,,,,,,ABCDEFGH,x36-造纸
21,五洲特纸,白卡纸,浙江-衢州,市占率A股第3,,,,,,,,ABCDEFGH,x36-造纸
22,晨鸣纸业,白卡纸,潍坊,市占率A股第1,,,,,,,,ABCDEFGH,x36-造纸
23,韶能股份,纸餐具,广东-韶关,生态纸餐具A股第一,,,,,,,,ABCDEFGH,x36-造纸
24,乐凯胶片,相纸,河北-保定,彩色相纸A股营收第一,,,,,,,,ABCDEFGH,x36-造纸
25,齐峰新材,装饰原纸,山东-淄博,市占率A股第1,,,,,,,,ABCDEFGH,x36-造纸
26,仙鹤股份,装饰原纸,浙江-衢州,市占率A股第2,,,,,,,,ABCDEFGH,x36-造纸
27,华旺科技,装饰原纸,浙江-杭州,市占率A股第3,,,,,,,,ABCDEFGH,x36-造纸
28,冠豪高新,印钞纸,广东-湛江,18亿,,,,,,,,ABCDEFGH,x36-造纸
29,安妮股份,印钞纸,福建-厦门,1.7亿,,,,,,,,ABCDEFGH,x36-造纸
30,恒丰纸业,卷烟纸,黑龙江-牡丹江,卷烟纸营收A股第一，17亿,,,,,,,,ABCDEFGH,x36-造纸
31,民丰特纸,卷烟纸,浙江-嘉兴,"卷烟纸营收A股第2, 4亿",,,,,,,,ABCDEFGH,x36-造纸
32,欧克科技,设备,江西-九江,唯一上市造纸设备,,,,,,,,ABCDEFGH,x36-造纸
