序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,宠物经济分为：,宠物食品,宠物常用品，,宠物家具,宠物医疗,其他,,,,,,ABCDEFGH,x38-宠物经济
2,乖宝宠物-300,宠物食品,山东-聊城,宠物食品营收A股第一，42亿,,,,,,,,ABCDEFGH,x38-宠物经济
3,中宠股份,宠物食品,山东-烟台,宠物食品营收A股第二，18亿,,,,,,,,ABCDEFGH,x38-宠物经济
4,天元宠物-300,宠物食品,杭州,宠物食品营收A股第3,,,,,,,,ABCDEFGH,x38-宠物经济
5,嘉必优-688,宠物食品,湖北-武汉,公司产品包括宠物营养品,,,,,,,,ABCDEFGH,x38-宠物经济
6,三只松鼠,宠物食品,安徽-芜湖,子公司毛孩宠物从事宠物食品业务,,,,,,,,ABCDEFGH,x38-宠物经济
7,青木科技-300,宠物食品,广州,公司为多个外国宠物食品品牌中国独家总代理公司,,,,,,,,ABCDEFGH,x38-宠物经济
8,海大集团,宠物食品,广州,子公司海大宠物食品产品包括宠物食品,,,,,,,,ABCDEFGH,x38-宠物经济
9,佩蒂股份-300,宠物常用品,浙江-温州,宠物咬胶 营收A股第一，8亿,"
狗咬胶是一种功能型宠物咀嚼食品。狗咬胶通常制作成结骨和条状的造型，是专门为宠物狗设计开发而成的一类零食，因形状适合犬类玩耍啃咬时的特点。",,,,,,,ABCDEFGH,x38-宠物经济
10,源飞宠物,宠物常用品,浙江-温州,宠物牵引用具营收A股第一，1.8亿,,,,,,,,ABCDEFGH,x38-宠物经济
11,依依股份,宠物常用品,天津,宠物卫生护理营收A股第一，12亿,,,,,,,,ABCDEFGH,x38-宠物经济
12,可靠股份-300,宠物常用品,杭州,宠物卫生护理营收A股第二，0.9亿,,,,,,,,ABCDEFGH,x38-宠物经济
13,洁雅股份-300,宠物常用品,安徽-铜陵,公司产品包括宠物清洁湿巾,,,,,,,,ABCDEFGH,x38-宠物经济
14,豪悦护理,宠物常用品,浙江-杭州,公司产品包括宠物护垫产品，,,,,,,,,ABCDEFGH,x38-宠物经济
15,致欧科技-300,宠物家具,郑州,猫爬架等家具营收A股第一，5亿,,,,,,,,ABCDEFGH,x38-宠物经济
16,天元宠物-300,宠物家具,杭州,猫爬架等家具营收A股第二，3.7亿,,,,,,,,ABCDEFGH,x38-宠物经济
17,浙江正特,宠物家具,浙江-台州,公司 产品包括宠物屋，宠物围栏，笼子,,,,,,,,ABCDEFGH,x38-宠物经济
18,瑞普生物-300,宠物医疗,天津-东丽,关联度第一，参股公司瑞派宠物医院拥有超过300家 门店,,,,,,,,ABCDEFGH,x38-宠物经济
19,禾丰股份,宠物医疗,辽宁-沈阳,关联度第二，参股公司拍美特拥有30家宠物医院,,,,,,,,ABCDEFGH,x38-宠物经济
20,豫园股份,宠物医疗,上海,关联度第三，公司控股国内宠物医院一站式服务平台 爱宠医生,,,,,,,,ABCDEFGH,x38-宠物经济
21,金河生物,宠物医疗,内蒙-呼和浩特,公司宠物药品包括狂犬疫苗,,,,,,,,ABCDEFGH,x38-宠物经济
22,回盛生物-300,宠物医疗,湖北-武汉,公司已取得马波沙星原料机制剂两项新兽药证书,,,,,,,,ABCDEFGH,x38-宠物经济
23,科前生物-688,宠物医疗,湖北-武汉,公司产品包括犬四联活苗、狂犬灭活疫苗、猫三联疫苗,,,,,,,,ABCDEFGH,x38-宠物经济
24,基蛋生物,宠物医疗,江苏-南京,公司业务包括动物诊断业务,,,,,,,,ABCDEFGH,x38-宠物经济
25,中牧股份,宠物医疗,北京,公司拥有两个宠物用疫苗产品批准文号,,,,,,,,ABCDEFGH,x38-宠物经济
26,生物股份,宠物医疗,内蒙-呼和浩特,公司产品包括狂犬病疫苗,,,,,,,,ABCDEFGH,x38-宠物经济
27,海正药业,宠物医疗,浙江-台州,子公司海正动保 为国内宠物药品第一品牌,,,,,,,,ABCDEFGH,x38-宠物经济
28,理邦仪器-300,宠物医疗,深圳,公司产品包括动物血气生化分析仪,,,,,,,,ABCDEFGH,x38-宠物经济
29,天康生物,宠物医疗,新疆-乌鲁木齐,公司产品包括宠物类检测试剂盒,,,,,,,,ABCDEFGH,x38-宠物经济
30,赛伦生物-688,宠物医疗,上海,公司产品包括狂犬病血清,,,,,,,,ABCDEFGH,x38-宠物经济
31,贝仕达克-300,其他,深圳,公司产品包括宠物AI摄影,,,,,,,,ABCDEFGH,x38-宠物经济
32,瑞德智能-300,其他,广东-佛山,公司产品包括宠物智能设备（宠物饮水机，猫砂盆，宠物喂食器等）,,,,,,,,ABCDEFGH,x38-宠物经济
33,奥尼电子-300,其他,深圳,公司产品包括宠物喂食器,,,,,,,,ABCDEFGH,x38-宠物经济
34,光弘科技-300,其他,广东-惠州,公司产品包括宠物训练器,,,,,,,,ABCDEFGH,x38-宠物经济
35,世纪恒通-300,其他,贵州-贵阳,子公司微宠医疗从事宠物服务资源整合,,,,,,,,ABCDEFGH,x38-宠物经济
36,祖名股份,其他,杭州,公司已经研究出大豆渣制成的猫砂料,,,,,,,,ABCDEFGH,x38-宠物经济
