序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,镁合金,用于-汽车，飞机，上的一体化压铸,,,,,,,,,,ABCDEFGH,x39-镁合金
2.0,万丰奥威,镁合金,浙江-绍兴,营收规模A股第一，134亿，产品用于汽车，飞机,,,,,,,,ABCDEFGH,x39-镁合金
3.0,宝武镁业,镁合金,江苏-南京,营收规模A股第二，25亿，产品主要用于汽车以及消费电子,,,,,,,,ABCDEFGH,x39-镁合金
4.0,宜安科技-300,镁合金,广东-东莞,营收规模A股第三，7亿，产品主要用于汽车以及医疗器械,,,,,,,,ABCDEFGH,x39-镁合金
5.0,星源卓镁-300,镁合金,浙江-宁波,产品主要用于汽车，机械,,,,,,,,ABCDEFGH,x39-镁合金
6.0,丰华股份,镁合金,重庆,产品主要用于汽车，消费电子,,,,,,,,ABCDEFGH,x39-镁合金
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28.0,,,,,,,,,,,,,
