序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,黄金分为：,门店,资源,,,,,,,,,ABCDEFGH,x4-黄金
2,老凤祥,门店,上海,门店数量A股第一，5631家，其中自营银楼194家，加盟店5437家,,,,,,,,ABCDEFGH,x4-黄金
3,周大生,门店,深圳,门店数A股第二，5106家，其中直营331家，加盟店4775家,,,,,,,,ABCDEFGH,x4-黄金
4,中国黄金,门店,北京,门店数A股第三，3978家，其中直营店112家，加盟3866家,,,,,,,,ABCDEFGH,x4-黄金
5,潮宏基,门店,广东-汕头,门店数A股第四，1482家，其中直营店246家，加盟1236家,潮汕地区位于广东省东南沿海，具体包括汕头市、潮州市、揭阳市三市，广义上还包括汕尾市,,,,,,,ABCDEFGH,x4-黄金
6,豫园股份,门店,上海,门店数A股第五，1402家，其中直营店184家，加盟1218家,,,,,,,,ABCDEFGH,x4-黄金
7,明牌珠宝,门店,浙江-绍兴,门店数A股第六，约1000家，其中直营店、加盟店数量未公开,,,,,,,,ABCDEFGH,x4-黄金
8,萃华珠宝,门店,辽宁-沈阳,门店数量A股第七，494家，其中直营店17家，加盟店477家,,,,,,,,ABCDEFGH,x4-黄金
9,莱绅通灵,门店,江苏-南京,门店数量A股第八，432家，其中直营店294家，加盟店138家,,,,,,,,ABCDEFGH,x4-黄金
10,迪阿股份-300,门店,深圳,门店数量A股第九，401家，其中直营店401家,,,,,,,,ABCDEFGH,x4-黄金
11,曼卡龙-300,门店,杭州,门店数量A股第十，183家，其中直营137家，加盟46家,,,,,,,,ABCDEFGH,x4-黄金
12,菜百股份,门店,北京,门店数A股第十一，87家，其中直营87家,,,,,,,,ABCDEFGH,x4-黄金
13,特力A,门店,深圳,门店数A股第十二，2家，其中直营店2家,深圳市特力(集团)股份有限公司成立于1986年，位于深圳市罗湖区水贝二路五十六号特力大厦三楼，是一家以从事主营业务是珠宝第三方服务、商业综合体运营及物业租赁业务为主的企业。,,,,,,,ABCDEFGH,x4-黄金
14,深中华A,门店,深圳,直接供货品牌珠宝商，无实体店,,,,,,,,ABCDEFGH,x4-黄金
15,紫金矿业,资源,福建-龙岩,黄金资源A股第一，1148吨,,,,,,,,ABCDEFGH,x4-黄金
16,山东黄金,资源,山东-济南,黄金资源A股第二，545吨,,,,,,,,ABCDEFGH,x4-黄金
17,中金黄金,资源,北京,黄金资源量A股第三，507吨,,,,,,,,ABCDEFGH,x4-黄金
18,赤峰黄金,资源,内蒙-赤峰,黄金资源量A股第四，424吨,,,,,,,,ABCDEFGH,x4-黄金
19,鹏欣资源,资源,上海,黄金资源量A股第五，401吨,,,,,,,,ABCDEFGH,x4-黄金
20,恒邦股份,资源,山东-烟台,黄金资源量A股第六，150吨,,,,,,,,ABCDEFGH,x4-黄金
21,山金国际,资源,内蒙-锡林郭勒,黄金资源量A股第七，146吨,,,,,,,,ABCDEFGH,x4-黄金
22,湖南黄金,资源,湖南-长沙,黄金资源量A股第八，141吨,,,,,,,,ABCDEFGH,x4-黄金
23,玉龙股份,资源,山东-济南,黄金资源A股第九，62吨,山东玉龙黄金股份有限公司(股票简称“玉龙股份”，股票代码：601028)为济高控股集团控股的沪市主板上市公司，注册地为济南高新区,山东玉龙黄金股份有限公司主要从事黄金贵金属采选及大宗商品贸易业务。公司的产品种类覆盖金属矿产品、煤炭等大宗商品类别,,,,,,ABCDEFGH,x4-黄金
24,晓程科技-300,资源,北京,黄金资源A股第十，50吨,,,,,,,,ABCDEFGH,x4-黄金
25,四川黄金,资源,四川-凉山,黄金资源量A股第十一，29吨,,,,,,,,ABCDEFGH,x4-黄金
26,招金黄金,资源,烟台-招远,,,,,,,,,,
27,西部黄金,资源,新疆-乌鲁木齐,黄金资源量A股第十一，31吨,,,,,,,,ABCDEFGH,x4-黄金
28,中润资源,资源,山东-济南,,,,,,,,,ABCDEFGH,x4-黄金
29,盛达资源,资源,北京-大兴,黄金资源量A股第十三，17吨,,,,,,,,ABCDEFGH,x4-黄金
30,白银有色,资源,甘肃-白银市,环境资源量A股第十四，14吨,,,,,,,,ABCDEFGH,x4-黄金
31,达刚控股-300,资源,陕西-西安,子公司产销黄金免征增值税,,,,,,,,ABCDEFGH,x4-黄金
32,登云股份,资源,广东-肇庆,子公司陕西汉阴黄龙金矿拥有汉阴县黄龙金矿的采矿许可证,谭启迪在肇庆,,,,,,,ABCDEFGH,x4-黄金
33,恒星科技,资源,北京,获得赤峰龙头山金矿采矿权,,,,,,,,ABCDEFGH,x4-黄金
34,中国瑞林,资源,江西-南昌,承接山东黄金新城金矿采选1万吨项目,,,,,,,,,
