序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,房地产主要分为：,营收前5， 央企，地方，园区开发，物业管理，房产经纪，房屋检测，管理设备，AMC不良资产处理，城投,,,,,,,,,,ABCDEFGH,x40-房地产
2,万科A,营收前5,深圳,房地产业务营收A股第1，4700亿,,,,,,,,ABCDEFGH,x40-房地产
3,保利发展,营收前5,广州,房地产业务营收A股第2，2500亿,,,,,,,,ABCDEFGH,x40-房地产
4,绿地控股,营收前5,上海,房地产业务营收A股第3，1900亿,,,,,,,,ABCDEFGH,x40-房地产
5,招商蛇口,营收前5,深圳,房地产业务营收A股第4，1600亿,,,,,,,,ABCDEFGH,x40-房地产
6,金地集团,营收前5,深圳,房地产业务营收A股第5，1000亿,,,,,,,,ABCDEFGH,x40-房地产
7,南国置业-央企,央企,湖北-武汉,中国电建集团,,,,,,,,ABCDEFGH,x40-房地产
8,光大嘉宝-央企,央企,上海-嘉定,中国光大集团,,,,,,,,ABCDEFGH,x40-房地产
9,保利发展-央企,央企,广州,中国保利集团,,,,,,,,ABCDEFGH,x40-房地产
10,华侨城A-央企,央企,深圳,华侨城集团，,,,,,,,,ABCDEFGH,x40-房地产
11,大悦城-央企,央企,深圳,中粮集团,,,,,,,,ABCDEFGH,x40-房地产
12,信达地产-央企,央企,北京,中国信达,,,,,,,,ABCDEFGH,x40-房地产
13,招商蛇口-央企,央企,深圳,招商局,,,,,,,,ABCDEFGH,x40-房地产
14,南山控股-央企,央企,深圳,招商局,,,,,,,,ABCDEFGH,x40-房地产
15,招商积余-央企,央企,深圳,招商局,,,,,,,,ABCDEFGH,x40-房地产
16,首开股份,北京,北京-东城,"北京地区营收第1,北京国资委，474亿，",,,,,,,,ABCDEFGH,x40-房地产
17,华夏幸福,北京,河北-廊坊,北京地区营收第2，-民企,,,,,,,,ABCDEFGH,x40-房地产
18,城建发展,北京,北京-海淀,北京地区营收第3，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
19,华远地产,北京,北京-西城,北京地区营收第4，北京西城区国资委,,,,,,,,ABCDEFGH,x40-房地产
20,北辰实业,北京,北京-朝阳,北京地区营收第5，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
21,京投发展,北京,,北京地区营收第6，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
22,金融街,北京,北京-西城,北京地区营收第7，北京西城区国资委,,,,,,,,ABCDEFGH,x40-房地产
23,京能置业,北京,北京-西城,北京地区营收第8，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
24,新黄浦,,北京,北京地区营收第9，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
25,电子城,北京,北京-朝阳,北京地区营收第10，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
26,盈新发展（新华联）,北京,北京-通州,北京地区营收第11，,存储芯片：拟收长兴半导体股份,,,,,,,ABCDEFGH,x40-房地产
27,万通发展,北京,北京-海淀,北京地区营收第12，北京国资委,,,,,,,,ABCDEFGH,x40-房地产
28,空港股份,北京,北京-顺义,北京地区营收第13，北京顺义区国资委,,,,,,,,ABCDEFGH,x40-房地产
29,大龙地产,北京,北京-顺义,北京地区营收第14，北京顺义区国资委,,,,,,,,ABCDEFGH,x40-房地产
30,中华企业,上海,上海-静安区,上海地区应收第1，上海国资委，1200亿,,,,,,,,ABCDEFGH,x40-房地产
31,大名城-民企,上海,上海-闽行区,上海地区应收第2，民企,,,,,,,,ABCDEFGH,x40-房地产
32,上实发展,上海,上海-浦东新区,上海地区应收第3，上海国资委,,,,,,,,ABCDEFGH,x40-房地产
33,光明地产,上海,上海-浦东新区,上海地区应收第4，上海国资委,,,,,,,,ABCDEFGH,x40-房地产
34,浦东金桥,上海,上海-浦东新区,上海地区应收第5，上海国资委,,,,,,,,ABCDEFGH,x40-房地产
35,陆家嘴,上海,上海-浦东新区,上海地区应收第6，上海国资委,,,,,,,,ABCDEFGH,x40-房地产
36,城投控股,上海,上海-浦东新区,上海地区应收第7，上海国资委,,,,,,,,ABCDEFGH,x40-房地产
37,三湘印象-民企,上海,上海-杨浦区,上海地区应收第8，民企,,,,,,,,ABCDEFGH,x40-房地产
38,新黄浦,上海,上海-黄埔,上海地区应收第9，国企,,,,,,,,ABCDEFGH,x40-房地产
39,亚通股份,上海,上海-崇明区,上海地区应收第10，上海崇明区国资委,,,,,,,,ABCDEFGH,x40-房地产
40,万业企业-民企,上海,上海-浦东新区,上海地区应收第11，民企,,,,,,,,ABCDEFGH,x40-房地产
41,天宸股份-民企,上海,上海-长宁区,上海地区应收第12,,,,,,,,ABCDEFGH,x40-房地产
42,华丽家族-民企,上海,上海-奉贤区,上海地区应收第13，民企,,,,,,,,ABCDEFGH,x40-房地产
