序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,大金融分为：,证券，银行，保险，多元金融，资本运营，金融软件，金融硬件,,,,,,,,,,ABCDEFGH,x42-大金融
2,东方财富-300,证券-互联网证券平台,上海,金融信息服务营收A股第1，46亿,,,,,,,,ABCDEFGH,x42-大金融
3,同花顺-300,证券-互联网证券平台,杭州,金融信息服务营收A股第2，,,,,,,,,ABCDEFGH,x42-大金融
4,指南针-300,证券-互联网证券平台,北京,金融信息服务营收A股第3，,,,,,,,,ABCDEFGH,x42-大金融
5,银之杰-300,证券-互联网证券平台,深圳,公司实控人向开盘啦APP实控人协议转让公司7%股份,,,,,,,,ABCDEFGH,x42-大金融
6,大智慧,证券-互联网证券平台,上海,金融信息服务营收A股第4，,,,,,,,,ABCDEFGH,x42-大金融
7,新华传媒,证券-互联网证券平台,上海,母公司上海报业集团拥有财联社APP,,,,,,,,ABCDEFGH,x42-大金融
8,财富趋势-688,证券-互联网证券平台,深圳,金融信息服务营收A股第5，,,,,,,,,ABCDEFGH,x42-大金融
9,中信证券,证券-千亿俱乐部,深圳,营收规模第1， 综合实力第一,,,,,,,,ABCDEFGH,x42-大金融
10,国泰海通,证券-千亿俱乐部,上海,营收规模第2，,,,,,,,,ABCDEFGH,x42-大金融
11,中国银河,证券-千亿俱乐部,北京,营收规模第3，,,,,,,,,ABCDEFGH,x42-大金融
12,华泰证券,证券-千亿俱乐部,南京,营收规模第4，,,,,,,,,ABCDEFGH,x42-大金融
13,中信建投,证券-千亿俱乐部,北京,营收规模第5，,,,,,,,,ABCDEFGH,x42-大金融
14,中金公司,证券-千亿俱乐部,北京,营收规模第6，,,,,,,,,ABCDEFGH,x42-大金融
15,广发证券,证券-千亿俱乐部,广州,营收规模第7，,,,,,,,,ABCDEFGH,x42-大金融
16,申万宏源,证券-千亿俱乐部,新疆-乌鲁木齐,营收规模第8，,,,,,,,,ABCDEFGH,x42-大金融
17,招商证券,证券-千亿俱乐部,深圳,营收规模第9，,,,,,,,,ABCDEFGH,x42-大金融
18,东方证券,证券-上海,,,,,,,,,,ABCDEFGH,x42-大金融
19,国投资本,证券-上海,,,,,,,,,,ABCDEFGH,x42-大金融
20,光大证券,证券-上海,,,,,,,,,,ABCDEFGH,x42-大金融
21,中银证券,证券-上海,,,,,,,,,,ABCDEFGH,x42-大金融
22,华鑫股份,证券-上海,,,,,,,,,,ABCDEFGH,x42-大金融
23,财通证券,证券-浙江,浙江-杭州,,,,,,,,,ABCDEFGH,x42-大金融
24,浙商证券,证券-浙江,浙江-杭州,,,,,,,,,ABCDEFGH,x42-大金融
25,长城证券,证券-广东,深圳,,,,,,,,,ABCDEFGH,x42-大金融
26,第一创业,证券-广东,深圳,,,,,,,,,ABCDEFGH,x42-大金融
27,锦龙股份,证券-广东,广东-东莞,,,,,,,,,ABCDEFGH,x42-大金融
28,长江证券,证券-湖北,武汉,,,,,,,,,ABCDEFGH,x42-大金融
29,天风证券,证券-湖北,武汉,,,,,,,,,ABCDEFGH,x42-大金融
30,太平洋,证券-云南,昆明,,,,,,,,,ABCDEFGH,x42-大金融
31,红塔证券,证券-云南,昆明,,,,,,,,,ABCDEFGH,x42-大金融
32,国金证券,证券-四川,成都,,,,,,,,,ABCDEFGH,x42-大金融
33,华西证券,证券-四川,成都,,,,,,,,,ABCDEFGH,x42-大金融
34,国元证券,证券-安徽,合肥,,,,,,,,,ABCDEFGH,x42-大金融
35,华安证券,证券-安徽,合肥,,,,,,,,,ABCDEFGH,x42-大金融
36,东吴证券,证券-江苏,苏州, 三国时期的东吴（孙吴） ：以江东六郡为基础，包括今江苏南部、浙江、安徽南部、江西、福建、湖南、广东等地。,,,,,,,,ABCDEFGH,x42-大金融
37,国联民生,证券-江苏,无锡,,,,,,,,,ABCDEFGH,x42-大金融
38,南京证券,证券-江苏,南京,,,,,,,,,ABCDEFGH,x42-大金融
39,国信证券,证券-深圳,深圳,,,,,,,,,ABCDEFGH,x42-大金融
40,方正证券,证券-湖南,长沙,,,,,,,,,ABCDEFGH,x42-大金融
41,信达证券,证券-北京,北京-西城,,,,,,,,,ABCDEFGH,x42-大金融
42,东兴证券,证券-北京,西城,,,,,,,,,ABCDEFGH,x42-大金融
43,首创证券,证券-北京,朝阳,,,,,,,,,ABCDEFGH,x42-大金融
44,国海证券,证券-广西,桂林,,,,,,,,,ABCDEFGH,x42-大金融
45,山西证券,证券-陕西,太原,,,,,,,,,ABCDEFGH,x42-大金融
46,中泰证券,证券-山东,济南,,,,,,,,,ABCDEFGH,x42-大金融
47,中原证券,证券-河南,郑州,,,,,,,,,ABCDEFGH,x42-大金融
48,财达证券,证券-河北,石家庄,,,,,,,,,ABCDEFGH,x42-大金融
49,湘财股份,证券-黑龙江,哈尔滨,,,,,,,,,ABCDEFGH,x42-大金融
50,哈投股份,证券-黑龙江,哈尔滨,,,,,,,,,ABCDEFGH,x42-大金融
51,东北证券,证券-吉林,长春,东北大学主校区位于辽宁省沈阳市,,,,,,,,ABCDEFGH,x42-大金融
52,国盛金控,证券-江西,南昌,,,,,,,,,ABCDEFGH,x42-大金融
53,西南证券,证券-重庆,重庆,‌西南财经大学位于四川省成都市‌，具体地址为柳林校区,,,,,,,,ABCDEFGH,x42-大金融
54,华创云信,证券,北京,华创云信的业务范围涵盖证券相关服务，并涉及数字经济等领域,,,,,,,,ABCDEFGH,x42-大金融
55,兴业证券,证券-福建,福州,兴业银行也在福州,,,,,,,,ABCDEFGH,x42-大金融
56,西部证券,证券-陕西,西安,,,,,,,,,ABCDEFGH,x42-大金融
57,华林证券,西藏,拉萨,,,,,,,,,ABCDEFGH,x42-大金融
58,工商银行,银行-万亿俱乐部-4大天王,北京,,,,,,,,,ABCDEFGH,x42-大金融
59,建设银行,银行-万亿俱乐部-4大天王,北京,,,,,,,,,ABCDEFGH,x42-大金融
60,农业银行,银行-万亿俱乐部-4大天王,北京,,,,,,,,,ABCDEFGH,x42-大金融
61,中国银行,银行-万亿俱乐部-4大天王,北京,,,,,,,,,ABCDEFGH,x42-大金融
62,招商银行,银行-千亿俱乐部,深圳,,,,,,,,,ABCDEFGH,x42-大金融
