序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,糖分为 白糖，代糖,代糖指所有可以赋予食物甜味的食品添加剂，其核心特点是‌低热量或不含热量‌，且对血糖影响较小。,,"代糖可分为三大类
‌天然代糖‌:如甜菊糖苷（甜度是蔗糖的200-300倍）、罗汉果甜苷（甜度约300倍），从植物中提取，几乎不影响血糖。
‌糖醇类‌：如赤藓糖醇（甜度0.7-0.8倍）、木糖醇（甜度与蔗糖相当），通过发酵或氢化制成，升糖指数低但可能引发腹泻。
‌人工合成代糖‌：如阿斯巴甜（甜度200倍）、安赛蜜（甜度高且稳定），化学合成但存在安全性争议。
。
",,,,,,,,ABCDEFGH,x44-糖
2,中粮糖业,白糖,新疆-昌吉,‌糖精是代糖的一种‌。糖精，化学名为邻苯甲酰磺酰亚胺，是一种热量为0的甜味剂，其甜度是蔗糖的300到500倍，回口有一点苦味‌12。糖精最早在1879年被合成，是目前使用最广泛的代糖之一‌,,,,,,,,ABCDEFGH,x44-糖
3,广农糖业,白糖,广西-南宁,,,,,,,,,ABCDEFGH,x44-糖
4,粤桂股份,白糖,广西-贵港市,,,,,,,,,ABCDEFGH,x44-糖
5,冠农股份,白糖,新疆,,,,,,,,,ABCDEFGH,x44-糖
6,华资实业,白糖,内蒙-包头,,,,,,,,,ABCDEFGH,x44-糖
7,保龄宝,代糖-阿洛酮糖,山东-德州-禹城,,,,,,,,,ABCDEFGH,x44-糖
8,百龙创园,代糖-阿洛酮糖,山东-德州-禹城,,,,,,,,,ABCDEFGH,x44-糖
9,三元生物-300,代糖-阿洛酮糖,滨州,,,,,,,,,ABCDEFGH,x44-糖
10,金禾实业,代糖-阿洛酮糖,安徽-滁州,,,,,,,,,ABCDEFGH,x44-糖
11,华康股份,代糖-阿洛酮糖,浙江-衢州,,,,,,,,,ABCDEFGH,x44-糖
12,三元生物-300,代糖-赤藓糖醇,滨州,,,,,,,,,ABCDEFGH,x44-糖
13,保龄宝,代糖-赤藓糖醇,禹城,,,,,,,,,ABCDEFGH,x44-糖
14,莱茵生物,代糖-甜菊糖苷,广西-桂林,,,,,,,,,ABCDEFGH,x44-糖
15,三元生物,代糖-甜菊糖苷,滨州,,,,,,,,,ABCDEFGH,x44-糖
16,晨光生物-300,代糖-甜菊糖苷,河北-邯郸,,,,,,,,,ABCDEFGH,x44-糖
17,金禾实业,代糖-三氯蔗糖,安徽-滁州,,,,,,,,,ABCDEFGH,x44-糖
18,凯盛新材-300,代糖-三氯蔗糖,山东-淄博,锂电池，3d打印 等概念,,,,,,,,ABCDEFGH,x44-糖
19,金禾实业,代糖-安赛蜜,安徽-滁州,,,,,,,,,ABCDEFGH,x44-糖
20,醋化股份,代糖-安赛蜜,江苏-南通,,,,,,,,,ABCDEFGH,x44-糖
