序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,纺织服装分为：,服装，马面裙，家纺，纺织面料，纺织机械,,,,,,,,,,ABCDEFGH,x45-纺织服装
2,海澜之家,商务男装,江苏-无锡,商务男装规模第一，,,,,,,,,ABCDEFGH,x45-纺织服装
3,雅戈尔,商务男装,浙江-宁波,,,,,,,,,ABCDEFGH,x45-纺织服装
4,报喜鸟,商务男装,浙江-温州,,,,,,,,,ABCDEFGH,x45-纺织服装
5,七匹狼,商务男装,福建-泉州,,,,,,,,,ABCDEFGH,x45-纺织服装
6,红豆股份,商务男装,江苏-无锡,,,,,,,,,ABCDEFGH,x45-纺织服装
7,九牧王,商务男装,福建-泉州,,,,,,,,,ABCDEFGH,x45-纺织服装
8,太平鸟 ,休闲男装,浙江-宁波,休闲男装营收规模第一，85亿,,,,,,,,ABCDEFGH,x45-纺织服装
9,森马服饰,休闲男装,浙江-温州,,,,,,,,,ABCDEFGH,x45-纺织服装
10,美邦服饰,休闲男装,上海,,,,,,,,,ABCDEFGH,x45-纺织服装
11,泰慕士,休闲男装,江苏-南通,,,,,,,,,ABCDEFGH,x45-纺织服装
12,锦泓集团,女装,南京,旗下有 VGRASS，,,,,,,,,ABCDEFGH,x45-纺织服装
13,地素时尚,女装,上海,"旗下有DA,DM,DZ",,,,,,,,ABCDEFGH,x45-纺织服装
14,歌力思,女装,深圳,,,,,,,,,ABCDEFGH,x45-纺织服装
15,欣贺股份,女装,厦门,"旗下有 JORYA,",,,,,,,,ABCDEFGH,x45-纺织服装
16,安正时尚,女装,浙江-嘉兴,旗下有JZ玖姿,,,,,,,,ABCDEFGH,x45-纺织服装
17,朗姿股份,女装,北京,旗下有LANCY FRO,,,,,,,,ABCDEFGH,x45-纺织服装
18,日播时尚,女装,上海,,,,,,,,,ABCDEFGH,x45-纺织服装
19,戎美股份-300,女装,苏州,,,,,,,,,ABCDEFGH,x45-纺织服装
20,爱慕股份,女装,北京,女士内衣市占率过你第一,,,,,,,,ABCDEFGH,x45-纺织服装
21,汇洁股份,女装,深圳,女士内衣，,,,,,,,,ABCDEFGH,x45-纺织服装
22,浪莎股份,女装,四川-宜宾,女士内衣，,,,,,,,,ABCDEFGH,x45-纺织服装
23,哈森股份,女装,江苏-苏州,女鞋，,,,,,,,,ABCDEFGH,x45-纺织服装
24,森马服饰,童装,温州,,,,,,,,,ABCDEFGH,x45-纺织服装
25,嘉曼服饰-300,童装,北京,,,,,,,,,ABCDEFGH,x45-纺织服装
26,安奈儿,童装,深圳,,,,,,,,,ABCDEFGH,x45-纺织服装
27,朗姿股份,童装,北京,,,,,,,,,ABCDEFGH,x45-纺织服装
28,锦泓集团,童装,南京,,,,,,,,,ABCDEFGH,x45-纺织服装
29,安正时尚,童装,浙江-嘉兴,,,,,,,,,ABCDEFGH,x45-纺织服装
30,泰慕士,童装,江苏-南通,,,,,,,,,ABCDEFGH,x45-纺织服装
31,中胤时尚（ying)-300,服装设计,温州,时尚设计营收A股第一,,,,,,,,ABCDEFGH,x45-纺织服装
32,酷特智能-300,服装设计,青岛,服装定制领先,,,,,,,,ABCDEFGH,x45-纺织服装
33,嘉麟杰,纺织贸易,上海,外销营收占比69%,,,,,,,,ABCDEFGH,x45-纺织服装
34,上海三毛,纺织贸易,上海,,,,,,,,,ABCDEFGH,x45-纺织服装
35,赫美集团,纺织贸易,深圳,主要从事国际服装品牌的零售业务,,,,,,,,ABCDEFGH,x45-纺织服装
36,奥康国际,皮具,温州,皮鞋,,,,,,,,ABCDEFGH,x45-纺织服装
37,红蜻蜓,皮具,温州,皮鞋，皮包,,,,,,,,ABCDEFGH,x45-纺织服装
38,万里马-300,皮具,东莞,皮包，皮带,,,,,,,,ABCDEFGH,x45-纺织服装
39,兴业科技,皮具,福建-泉州,牛皮革,,,,,,,,ABCDEFGH,x45-纺织服装
40,华斯股份,皮具,河北-沧州,裘皮制品,,,,,,,,ABCDEFGH,x45-纺织服装
41,康隆达,手套,浙江-绍兴,功能性手套（例如：手部康复训练‌）,,,,,,,,ABCDEFGH,x45-纺织服装
42,新乡化纤,马面裙-原材料,河南-新乡,粘胶长丝产能第一,,,,,,,,ABCDEFGH,x45-纺织服装
43,吉林化纤,马面裙-原材料,吉林-吉林,粘胶长丝产能第二,,,,,,,,ABCDEFGH,x45-纺织服装
44,锦泓集团,马面裙-产品,南京,旗下100%南京云锦研究所，生产汉服，马面裙,,,,,,,,ABCDEFGH,x45-纺织服装
45,罗莱生活,家纺,江苏-南通,家纺市占率第1，旗下：乐蜗家纺LOVO中国互联网床上用品第一品牌,,,,,,,,ABCDEFGH,x45-纺织服装
46,富安娜,家纺,深圳,家纺市占率第2,,,,,,,,ABCDEFGH,x45-纺织服装
47,水星家纺,家纺,上海,家纺市占率第3，旗下有： 水星，百丽丝等成熟家纺品牌,,,,,,,,ABCDEFGH,x45-纺织服装
48,梦洁股份,家纺,长沙,家纺市占率第4,,,,,,,,ABCDEFGH,x45-纺织服装
49,众望布艺,家纺,杭州,家居装饰面料龙头制造商,,,,,,,,ABCDEFGH,x45-纺织服装
50,盛泰集团,家纺,浙江-绍兴,成衣一体化制造,,,,,,,,ABCDEFGH,x45-纺织服装
51,真爱美家,家纺,浙江-金华,毛毯第一,,,,,,,,ABCDEFGH,x45-纺织服装
52,趣睡科技-300,家纺,四川-成都,家纺四件套,,,,,,,,ABCDEFGH,x45-纺织服装
53,孚日股份,家纺,潍坊,毛巾第一,,,,,,,,ABCDEFGH,x45-纺织服装
54,航民股份,纺织面料-印染,杭州,印染产量A股第1,,,,,,,,ABCDEFGH,x45-纺织服装
55,迎丰股份,纺织面料-印染,绍兴,印染产量A股第2,,,,,,,,ABCDEFGH,x45-纺织服装
56,蓝宇股份-300,纺织面料-印染,金华,数码喷印墨水 比较厉害,,,,,,,,ABCDEFGH,x45-纺织服装
57,富春染织,纺织面料-印染,安徽-芜湖,纱线印染茶能A股第一，深耕色纱行业19年,,,,,,,,ABCDEFGH,x45-纺织服装
58,华纺股份,纺织面料-印染,滨州,出口占比77%,,,,,,,,ABCDEFGH,x45-纺织服装
59,皇马科技,纺织面料-印染,绍兴,染料比较好,,,,,,,,ABCDEFGH,x45-纺织服装
60,华孚时尚,纺织面料-印染,安徽-淮北,全球最大的色纺纱供应商和制造商之一,,,,,,,,ABCDEFGH,x45-纺织服装
61,百隆东方,纺织面料-印染,宁波,高端色纺纱,,,,,,,,ABCDEFGH,x45-纺织服装
62,润禾材料-300,纺织面料-印染,宁波,染色印花助剂,,,,,,,,ABCDEFGH,x45-纺织服装
63,联发股份,纺织面料-印染,江苏-南通,年产色织布1亿米，销往全国20多个省市,,,,,,,,ABCDEFGH,x45-纺织服装
64,嘉欣丝绸,丝绸,嘉兴,丝绸第一,,,,,,,,ABCDEFGH,x45-纺织服装
65,万事利-300,丝绸,杭州,,,,,,,,,ABCDEFGH,x45-纺织服装
66,华孚时尚,棉纺,安徽-淮北,,,,,,,,,ABCDEFGH,x45-纺织服装
67,百隆东方,棉纺,宁波,,,,,,,,,ABCDEFGH,x45-纺织服装
68,鲁泰A,棉纺,淄博,,,,,,,,,ABCDEFGH,x45-纺织服装
69,联发股份,棉纺,南通,,,,,,,,,ABCDEFGH,x45-纺织服装
70,华茂股份,棉纺,安徽-安庆,,,,,,,,,ABCDEFGH,x45-纺织服装
71,常山北明,棉纺,石家庄,棉纺营收规模A股第六，华为概念,,,,,,,,ABCDEFGH,x45-纺织服装
72,宏达高科,棉纺,浙江-嘉兴,,,,,,,,,ABCDEFGH,x45-纺织服装
73,华峰超纤-300,超细纤维,上海,,,,,,,,,ABCDEFGH,x45-纺织服装
74,聚杰微纤-300,超细纤维,江苏-苏州,,,,,,,,,ABCDEFGH,x45-纺织服装
75,桐昆股份,涤纶长丝,嘉兴,国内长丝产能占比排名第1，,,,,,,,,ABCDEFGH,x45-纺织服装
76,新凤鸣,涤纶长丝,嘉兴,国内长丝产能占比排名第2，,,,,,,,,ABCDEFGH,x45-纺织服装
77,恒逸石化,涤纶长丝,广西-钦州,国内长丝产能占比排名第3，,,,,,,,,ABCDEFGH,x45-纺织服装
78,东方盛虹,涤纶长丝,苏州,国内长丝产能占比排名第4，,,,,,,,,ABCDEFGH,x45-纺织服装
79,恒力石化,涤纶长丝,大连,国内长丝产能占比排名第5，,,,,,,,,ABCDEFGH,x45-纺织服装
80,荣盛石化,涤纶长丝,杭州,国内长丝产能占比排名第6，,,,,,,,,ABCDEFGH,x45-纺织服装
81,尤夫股份,涤纶长丝,浙江-湖州,涤纶长丝,,,,,,,,ABCDEFGH,x45-纺织服装
82,彩蝶实业,涤纶长丝,浙江-湖州,涤纶面料营收3亿,,,,,,,,ABCDEFGH,x45-纺织服装
83,苏州龙杰,涤纶长丝,苏州,涤纶长丝营收2.9亿,,,,,,,,ABCDEFGH,x45-纺织服装
84,恒逸石化,尼龙6,广西-钦州,尼龙6市占率第1,,,,,,,,ABCDEFGH,x45-纺织服装
85,鲁西化工,尼龙6,聊城,尼龙6市占率第2,,,,,,,,ABCDEFGH,x45-纺织服装
86,恒申新材,尼龙6,广东-江门,尼龙6市占率第3,军工,,,,,,,ABCDEFGH,x45-纺织服装
87,聚合顺,尼龙6,杭州,尼龙6市占率第4,,,,,,,,ABCDEFGH,x45-纺织服装
88,神马股份,尼龙66,河南-平顶山,尼纶66产能第1,,,,,,,,ABCDEFGH,x45-纺织服装
89,华峰化学,尼龙66,浙江-温州,尼纶66产能第2,,,,,,,,ABCDEFGH,x45-纺织服装
90,台华新材,尼龙66,浙江-嘉兴,尼纶66产能第3,,,,,,,,ABCDEFGH,x45-纺织服装
91,华生科技,气密材料,浙江-嘉兴,拉丝气垫材料， 篷盖材料，灯箱广告材料，充气游艇材料,,,,,,,,ABCDEFGH,x45-纺织服装
92,华升股份,麻纺,长沙,知名麻纺供应商,,,,,,,,ABCDEFGH,x45-纺织服装
93,如意集团,呢绒,山东-济宁,精纺呢绒 ,,,,,,,,ABCDEFGH,x45-纺织服装
94,浔兴股份,拉链,福建-泉州,跨境电商，拉链第一,,,,,,,,ABCDEFGH,x45-纺织服装
95,大豪科技,纺织机械,北京,缝制设备电控,,,,,,,,ABCDEFGH,x45-纺织服装
96,卓郎智能,纺织机械,新疆,纺纱机械 ,,,,,,,,ABCDEFGH,x45-纺织服装
97,越剑智能,纺织机械,浙江-绍兴,纺织机械,,,,,,,,ABCDEFGH,x45-纺织服装
98,精工科技,纺织机械,浙江-绍兴,纺织机械,,,,,,,,ABCDEFGH,x45-纺织服装
99,金鹰股份,纺织机械,浙江-舟山,金鹰麻，绢纺机械 ， 中俄贸易,,,,,,,,ABCDEFGH,x45-纺织服装
100,泰坦股份,纺织机械,浙江-绍兴,纺织机械,,,,,,,,ABCDEFGH,x45-纺织服装
101,标准股份,纺织机械,陕西-西安,缝制机械,,,,,,,,ABCDEFGH,x45-纺织服装
102,杰克股份,纺织机械,浙江-台州,工业缝纫机,,,,,,,,ABCDEFGH,x45-纺织服装
103,宏华数科-688,纺织机械,浙江-杭州,纺织机械,,,,,,,,ABCDEFGH,x45-纺织服装
104,凤竹纺织,纺织面料,河南-安阳,纺织面料， 外销欧美,,,,,,,,ABCDEFGH,x45-纺织服装
