序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,磁悬浮压缩机 分为,产品， 零部件,,,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
2,磁谷科技-688, 产品,江苏-南京,磁悬浮空气产品营收第一,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
3,开山股份-300, 产品,上海,空气压缩机市占率第一,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
4,汉钟精机, 产品,上海,空气压缩机市占率第二,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
5,东亚机械-300, 产品,福建-厦门,空气压缩机市占率第三,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
6,鑫磊股份-300, 产品,浙江-台州,公司基于磁悬浮鼓风机技术延伸至磁悬浮,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
7,佳力图, 产品,江苏-南京,自主研发磁悬浮压缩机,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
8,格力电器, 产品,广东-珠海,格力磁悬浮离心机组被应用于冬奥村,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
9,银河电子, 产品,江苏-苏州,参股嘉盛电控主营磁悬浮压缩机,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
10,金通灵-300, 产品,江苏南通,磁悬浮应用于污水处理,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
11,雪人股份, 产品,福建-福州,磁悬浮离心压缩机,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
12,冰轮环境, 产品,烟台,制冷系统,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
13,山东章鼓, 产品,济南,有磁悬浮压缩机专利,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
14,百达精工,零部件,浙江-台州,公司压缩机零部件营收 8亿,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
15,联合精密,零部件,广东-清远,7亿,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
16,联德股份,零部件,浙江-杭州,6亿,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
17,华翔股份,零部件,山西-临汾,公司全资子公司主营包括压缩机零部件,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
18,盈峰环境,零部件,浙江-绍兴,公司为压缩机供货漆包线,,,,,,,,ABCDEFGH,x46-磁悬浮压缩机
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
