序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,,,,,,,,,,,,ABCDEFGH,x47-军工
2,,,,,,,,,,,,ABCDEFGH,x47-军工
3,,,,,,,,,,,,ABCDEFGH,x47-军工
4,,,,,,,,,,,,ABCDEFGH,x47-军工
5,,,,,,,,,,,,ABCDEFGH,
6,,,,,,,,,,,,ABCDEFGH,
7,,,,,,,,,,,,ABCDEFGH,
8,,,,,,,,,,,,ABCDEFGH,
9,,,,,,,,,,,,ABCDEFGH,
10,,,,,,,,,,,,ABCDEFGH,
11,,,,,,,,,,,,ABCDEFGH,
12,,,,,,,,,,,,ABCDEFGH,
13,,,,,,,,,,,,ABCDEFGH,
14,,,,,,,,,,,,ABCDEFGH,
15,,,,,,,,,,,,ABCDEFGH,
16,,,,,,,,,,,,ABCDEFGH,
17,,,,,,,,,,,,ABCDEFGH,
18,,,,,,,,,,,,ABCDEFGH,
19,,,,,,,,,,,,ABCDEFGH,
20,,,,,,,,,,,,ABCDEFGH,
21,,,,,,,,,,,,ABCDEFGH,
22,,,,,,,,,,,,ABCDEFGH,
23,,,,,,,,,,,,ABCDEFGH,
24,,,,,,,,,,,,ABCDEFGH,
25,,,,,,,,,,,,ABCDEFGH,
26,,,,,,,,,,,,ABCDEFGH,
27,,,,,,,,,,,,ABCDEFGH,
28,,,,,,,,,,,,,
