序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,军工有9大集团分为：海， 陆， 空， 核,海： 中国船舶集团,陆：中国兵器工业集团，中国兵器装备集团,空（天，空） 天：中国航天科技集团，中国航天科工集团， 空：中国航空科集团，中国航空动力集团,,军工数据链-软件系统（2大集团）：电子信息集团，电子科技集团,,,,,,ABCDEFGH,x47-军工9大集团
2,中船科技,中国船舶集团-行业转型,上海,船舶长涉及建设，风电资产注入,,,,,,,,ABCDEFGH,x47-军工9大集团
3,中国船舶,中国船舶集团-船舶制造,上海,国内最大的综合性造船厂,,,,,,,,ABCDEFGH,x47-军工9大集团
4,中国重工,中国船舶集团-船舶制造,北京,海军舰艇制造， 航母，驱逐舰，潜艇,,,,,,,,ABCDEFGH,x47-军工9大集团
5,中船防务,中国船舶集团-船舶制造,广州,商用船舶制造为主,,,,,,,,ABCDEFGH,x47-军工9大集团
6,中国动力,中国船舶集团-船舶设备,河北-保定,船舶动力设备,,,,,,,,ABCDEFGH,x47-军工9大集团
7,久之洋-300,中国船舶集团-船舶设备,湖北-武汉,船舶光电设备,,,,,,,,ABCDEFGH,x47-军工9大集团
8,中国海防,中国船舶集团-信息系统,北京,水下信息装备核心供应商,,,,,,,,ABCDEFGH,x47-军工9大集团
9,中船汉光-300,中国船舶集团-打印设备,河北-邯郸,打印复印静电成像耗材主要生产商,,,,,,,,ABCDEFGH,x47-军工9大集团
10,昆船智能-300,中国船舶集团-智能制造,云南-昆明,智能制造，物流设备，主要服务于烟草行业,,,,,,,,ABCDEFGH,x47-军工9大集团
11,中船应急-300,中国船舶集团-应急行业,湖北-武汉,核心军用应急装备： ,,,,,,,,ABCDEFGH,x47-军工9大集团
12,北方导航,陆-中国兵器工业集团-陆军装备,北京,国内主要的制导控制企业,,,,,,,,ABCDEFGH,x47-军工9大集团
13,中兵红箭,陆-中国兵器工业集团-陆军装备,湖南-湘潭,智能弹药厂商,,,,,,,,ABCDEFGH,x47-军工9大集团
14,内蒙一机,陆-中国兵器工业集团-陆军装备,内蒙-包头,主战坦克研制基地,,,,,,,,ABCDEFGH,x47-军工9大集团
15,光电股份,陆-中国兵器工业集团-陆军装备,湖北-襄阳,光电防务产品,,,,,,,,ABCDEFGH,x47-军工9大集团
16,北方股份,陆-中国兵器工业集团-矿车,内蒙-包头,专用矿车研制基地,,,,,,,,ABCDEFGH,x47-军工9大集团
17,长春一东,陆-中国兵器工业集团-汽车零部件,吉林-长春,离合器,,,,,,,,ABCDEFGH,x47-军工9大集团
