序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,空军分为：,军机整机，军机系统，军机雷达，军机部件，维修保障,,,,,,,,,,ABCDEFGH,x48-空军
2,中航西飞,军机整机,西安,西飞集团，主营轰炸机，运输机，加油机，代表机型：运20，轰6,,,,,,,,ABCDEFGH,x48-空军
3,中航沈飞,军机整机,山东-威海,沈飞集团，主营歼击机，代表机型：歼15，歼16，歼35,,,,,,,,ABCDEFGH,x48-空军
4,中直股份,军机整机,哈尔滨,军用直升机第一，代表机型：武直10,,,,,,,,ABCDEFGH,x48-空军
5,洪都航空,军机整机,江西-南昌,军用教练机第一,,,,,,,,ABCDEFGH,x48-空军
6,航天彩虹,军机整机,浙江-台州,军用无人机第一,,,,,,,,ABCDEFGH,x48-空军
7,中无人机-688,军机整机,四川-成都,军用无人机第二。翼龙系列,,,,,,,,ABCDEFGH,x48-空军
8,航发动力,动力系统,陕西-西安,军机发动机第一,,,,,,,,ABCDEFGH,x48-空军
9,航发科技,动力系统,四川-成都,军机发动机零部件第一,,,,,,,,ABCDEFGH,x48-空军
10,应流股份,动力系统,安徽-合肥,有军工资质，交付某国产航空发动机叶片,,,,,,,,ABCDEFGH,x48-空军
11,航发控制,控制系统,江苏-无锡,航发控制系统第一,,,,,,,,ABCDEFGH,x48-空军
12,晨曦航空-300,控制系统,陕西-西安,公司产品包括航空发动机参数采集器,,,,,,,,ABCDEFGH,x48-空军
13,中航机载,电子系统,北京,航电系统市占率第一,,,,,,,,ABCDEFGH,x48-空军
14,中航光电,电子系统,河南-洛阳,中高端连接器市占率第一,,,,,,,,ABCDEFGH,x48-空军
15,新兴装备,电子系统,北京,机载武器随动系统,,,,,,,,ABCDEFGH,x48-空军
16,军机雷达,分为相控阵雷达和 空管雷达,,与常规雷达相比，相控阵雷达凭借其更快的扫描速度、更高的探测精度和可靠性，以及更强的探测能力，,,,,,,,,ABCDEFGH,x48-空军
17,雷电微力-300,相控阵雷达,四川-成都,精确制导营收第一,,,,,,,,ABCDEFGH,x48-空军
18,雷科防务,相控阵雷达,北京,雷达系统营收占比34%,,,,,,,,ABCDEFGH,x48-空军
19,国博电子-688,相控阵雷达,江苏-南京,,,,,,,,,ABCDEFGH,x48-空军
20,纳睿雷达-688,相控阵雷达,广东-珠海,,,,,,,,,ABCDEFGH,x48-空军
21,和而泰,相控阵雷达,深圳,,,,,,,,,ABCDEFGH,x48-空军
22,霍莱沃-688,相控阵雷达,上海,相控阵校准测系统业务营收占比63%,,,,,,,,ABCDEFGH,x48-空军
23,四川九洲,空管雷达,四川-绵阳,空管产品,,,,,,,,ABCDEFGH,x48-空军
24,国睿科技,空管雷达,江苏-南京,全面布局雷达整机产业链,,,,,,,,ABCDEFGH,x48-空军
25,四创电子,空管雷达,安徽-合肥,雷达及雷达配套业务营收28%,,,,,,,,ABCDEFGH,x48-空军
26,军机部件分为,隐身材料，航空锻件，其他部件，碳纤维,,,,,,,,,,ABCDEFGH,x48-空军
27,光启技术,隐身材料,深圳,隐身材料营收第1，,,,,,,,,ABCDEFGH,x48-空军
28,佳驰科技-688,隐身材料,四川-成都,隐身材料营收第2，,,,,,,,,ABCDEFGH,x48-空军
29,华秦科技-688,隐身材料,西安,隐身材料营收第3，,,,,,,,,ABCDEFGH,x48-空军
30,悦安新材-688,隐身材料,江西-赣州,研发的吸波材料磁导率高,,,,,,,,ABCDEFGH,x48-空军
31,航天发展,隐身材料,福建-福州,提供数字蓝军与蓝军装备,,,,,,,,ABCDEFGH,x48-空军
32,新劲刚-300,隐身材料,广东-佛山,子公司康泰威  有吸波隐身功能材料,,,,,,,,ABCDEFGH,x48-空军
33,中航重机,航空锻件,贵州-贵阳,航空锻造产能A股第1，,,,,,,,,ABCDEFGH,x48-空军
34,派克新材,航空锻件,江苏-无锡,航空锻造产能A股第2，,,,,,,,,ABCDEFGH,x48-空军
35,航宇科技-688,航空锻件,贵州-贵阳,航空锻造产能A股第3，,,,,,,,,ABCDEFGH,x48-空军
36,三角防务-300,航空锻件,西安,航空锻造产能A股第4，,,,,,,,,ABCDEFGH,x48-空军
37,成飞集成,其它部件,四川-成都,,,,,,,,,ABCDEFGH,x48-空军
38,通达股份,其它部件,河南-洛阳,子公司所在地成都： 子公司成都航飞从事飞机结构零部件及大型关键结构件的制造,,,,,,,,ABCDEFGH,x48-空军
39,利君股份,其它部件,四川-成都,子公司所在地成都；子公司 成都德坤航空主营航空航天零部件制造业务,,,,,,,,ABCDEFGH,x48-空军
40,爱乐达-300,其它部件,四川-成都,公司所在地为成都； 为军用飞机、民用客机提供航空零部件,,,,,,,,ABCDEFGH,x48-空军
41,中航高科,碳纤维,江苏-南通,预浸料进度A股第一,,,,,,,,ABCDEFGH,x48-空军
42,光威复材-300,碳纤维,威海,军用航空航天碳纤维第一,,,,,,,,ABCDEFGH,x48-空军
43,中简科技-300,碳纤维,江苏-常州,军用航空航天碳纤维产能第二,,,,,,,,ABCDEFGH,x48-空军
44,中复神鹰-688,碳纤维,江苏-连云港,民用航空碳纤维为主,,,,,,,,ABCDEFGH,x48-空军
45,航新科技-300,维修保障,广州,飞机维修服务营收第1，,,,,,,,,ABCDEFGH,x48-空军
46,海特高新,维修保障,四川-成都,飞机维修服务营收第2，,,,,,,,,ABCDEFGH,x48-空军
47,安达维尔-300,维修保障,北京,飞机维修服务营收第3，,,,,,,,,ABCDEFGH,x48-空军
48,超卓航科-688,维修保障,湖北-襄阳,飞机维修服务营收第4，,,,,,,,,ABCDEFGH,x48-空军
