序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,印巴冲突分为： ,海，陆，空，防空,,,,,,,,,,ABCDEFGH,x49-印巴冲突
2,中国船舶,海,上海,公司向巴基斯坦出口 潜艇,,,,,,,,ABCDEFGH,x49-印巴冲突
3,国睿科技,海,南京,公司舰载雷达,,,,,,,,ABCDEFGH,x49-印巴冲突
4,内蒙一机,陆,内蒙-包头,出口巴基斯坦 坦克,,,,,,,,ABCDEFGH,x49-印巴冲突
5,中兵红箭,陆,湖南-湘潭,为巴基斯坦采购坦克弹药供应商,,,,,,,,ABCDEFGH,x49-印巴冲突
6,北方导航,陆,北京,反坦克导弹技术转移至巴基斯坦,,,,,,,,ABCDEFGH,x49-印巴冲突
7,华伍股份-300,陆,江西-宜春,工业制动器 应用于 军用车辆，舰船,,,,,,,,ABCDEFGH,x49-印巴冲突
8,建设工业,陆,云南-昆明,公司机器狼 产品有望出口巴基斯坦,,,,,,,,ABCDEFGH,x49-印巴冲突
9,中航成飞-300,空,陕西-汉中,出口巴基斯坦J-10c,,,,,,,,ABCDEFGH,x49-印巴冲突
10,中航西飞,空,陕西-西安,出口巴基斯坦 预警机,,,,,,,,ABCDEFGH,x49-印巴冲突
11,中无人机-688,空,四川-成都,出口巴基斯坦翼龙-2,,,,,,,,ABCDEFGH,x49-印巴冲突
12,航天彩虹,空,浙江-台州,出口无人机,,,,,,,,ABCDEFGH,x49-印巴冲突
13,中直股份,空,黑龙江-哈尔滨,武装直升机,,,,,,,,ABCDEFGH,x49-印巴冲突
14,中航光电,空,河南-洛阳,军用连接器,,,,,,,,ABCDEFGH,x49-印巴冲突
15,洪都航空,空,江西-南昌,教练机,,,,,,,,ABCDEFGH,x49-印巴冲突
16,晨曦航空-300,空,陕西-西安,子公司南京晨曦动力科技为巴基斯直升机,,,,,,,,ABCDEFGH,x49-印巴冲突
17,佳力奇,空,安徽-苏州,碳纤维机身结构件,,,,,,,,ABCDEFGH,x49-印巴冲突
18,成飞集成,空,四川-成都,中航成飞的供货商,,,,,,,,ABCDEFGH,x49-印巴冲突
19,利君股份,空,四川-成都,中航成飞的供货商,,,,,,,,ABCDEFGH,x49-印巴冲突
20,爱乐达-300,空,四川-成都,中航成飞的供货商,,,,,,,,ABCDEFGH,x49-印巴冲突
21,豪能股份,空,四川-成都,中航成飞的供货商,,,,,,,,ABCDEFGH,x49-印巴冲突
22,甘化科工,空,广东-江门,子公司沈阳含能是国内钨合金预制破片重要供应商,,,,,,,,ABCDEFGH,x49-印巴冲突
23,贵航股份,空,贵州-贵阳,,,,,,,,,ABCDEFGH,x49-印巴冲突
24,航天长峰,防空,北京,防空武器,,,,,,,,ABCDEFGH,x49-印巴冲突
25,航天南湖-688,防空,湖北-荆州,防空系统及配套雷达,,,,,,,,ABCDEFGH,x49-印巴冲突
26,新光光电-688,防空,黑龙江-哈尔滨,光学制导系统,,,,,,,,ABCDEFGH,x49-印巴冲突
27,天箭科技,防空,四川-成都,导弹固态发射机,,,,,,,,ABCDEFGH,x49-印巴冲突
28,洪都航空,防空,江西-南昌,公司业务包含导弹总装业务,,,,,,,,ABCDEFGH,x49-印巴冲突
29,广东宏大,防空,广州,公司业务包含导弹总装业务,,,,,,,,ABCDEFGH,x49-印巴冲突
30,长城军工,防空,安徽-合肥,公司业务包含导弹总装业务,,,,,,,,ABCDEFGH,x49-印巴冲突
