序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,大型央企 可以这样记忆：,4个板块：电力，军工，矿业，粮油,电力16集团，军工10大集团，矿业9大集团，粮油5大分支,其他的 ：中信集团，招商局集团，中国保利集团,其他国字号： 国家开发投资集团，中国旅游集团，中国检验认证集团，中国冶金地质总局，中国物流集团,,,,,,,ABCDEFGH,x5-大型央企
2,电力16集团,国家电网，南方电网，国家电力投资集团，中国电力建设集团，中国能源建设集团，,电气装备集团，哈尔滨电气集团，东方电气集团，,华能集团，华电集团，大唐集团，三峡集团,开发集团，国能投集团，中核集团，中广核集团,,,,,,,ABCDEFGH,x5-大型央企
3,军工10大集团,兵器装备集团，兵器工业集团，,航空发动机集团，航天科工集团，航天科技（星空），航空工业集团（天空）,中国船舶集团，核工业集团，电子科技集团，电子信息集团,,,,,,,,ABCDEFGH,x5-大型央企
4,矿产 9大集团,中国五矿，中国中煤，中国中钢，中国钢研，中国有色，中国黄金，中国稀土,资源循环集团，煤炭科工,,,,,,,,,ABCDEFGH,x5-大型央企
5,粮油,中粮集团，番茄类，粮油加工，制糖业，乳制品,,,,,,,,,,ABCDEFGH,x5-大型央企
6,中信集团，招商局集团，中国保利集团,其他国字号：国家开发投资集团 ，中国旅游集团，中国检验认证集团，中国冶金地质总局，中国物流集团,,,,,,,,,,ABCDEFGH,x5-大型央企
7,国网信通,国家电网,四川-阿坝藏族羌族自治州,电网调度类硬件,,,,,,,,ABCDEFGH,x5-大型央企
8,山东的电网还没上市？,,,山东电网由国网山东省电力公司运营，该公司是国家电网公司的全资子公司。,,,,,,,,ABCDEFGH,x5-大型央企
9,远光软件,国家电网,广东-珠海,电力财务类软件,,,,,,,,ABCDEFGH,x5-大型央企
10,国电南瑞,国家电网,江苏-南京,电网自动化软硬件,,,,,,,,ABCDEFGH,x5-大型央企
11,国网英大,国家电网,上海-浦东新区,调度类硬件+资本运营双主业,,,,,,,,ABCDEFGH,x5-大型央企
12,涪陵电力（pou),国家电网,重庆-涪陵地区,重庆涪陵地区电力运营企业,,,,,,,,ABCDEFGH,x5-大型央企
13,明星电力,国家电网,四川-遂宁,四川遂宁地区电力运营企业,,,,,,,,ABCDEFGH,x5-大型央企
14,西昌电力,国家电网,四川-凉山,四川西昌地区电力运营企业,西昌市是四川省凉山彝族自治州的辖县级市，同时也是凉山州的首府。它位于四川省西南部，是攀西地区的政治、经济、文化和交通中心,,,,,,,ABCDEFGH,x5-大型央企
15,中绿电,国家电网,天津,风电、光伏投资开发与运营,,,,,,,,ABCDEFGH,x5-大型央企
16,南网能源,南方电网,广州,电力节能服务,,,,,,,,ABCDEFGH,x5-大型央企
17,南网储能,南方电网,云南-文山壮族苗族自治州,抽水储能服务,,,,,,,,ABCDEFGH,x5-大型央企
18,南网科技,南方电网,广州,储能技术服务,,,,,,,,ABCDEFGH,x5-大型央企
19,电投产融,国家电力投资集团,河北-石家庄,国家电力投资集团持股第一， 54%，电力营收51亿,,,,,,,,ABCDEFGH,x5-大型央企
20,上海电力,国家电力投资集团,上海-浦东新区,国家电力投资集团持股第二，48%， 电力营收424亿,,,,,,,,ABCDEFGH,x5-大型央企
21,远达环保,国家电力投资集团,重庆-渝北,国家电力投资集团持股第三，43%，环保营收42亿,,,,,,,,ABCDEFGH,x5-大型央企
22,电投能源（煤炭）,国家电力投资集团,内蒙-通辽,国家电力投资集团持股第四，36%，煤炭营收268亿,,,,,,,,ABCDEFGH,x5-大型央企
23,吉电股份,国家电力投资集团,吉林-长春,国家电力投资集团持股第五，33%，电力营收144亿,,,,,,,,ABCDEFGH,x5-大型央企
24,中国电建,中国电力-建设集团,北京-海淀,中国电建集团持股第一，53%，建筑营收6080亿,,,,,,,,ABCDEFGH,x5-大型央企
25,南国置业(房地产）,中国电力-建设集团,湖北-武汉,中国电建集团持股第二，40%，房地产 营收10亿,,,,,,,,ABCDEFGH,x5-大型央企
26,中国能建,中国能源建设集团,北京-朝阳,中国能建集团旗下唯一A股上市公司，持股比例45%，建筑营收4060亿,,,,,,,,ABCDEFGH,x5-大型央企
27,保变电气,电气装备集团,河北-保定,公司控股股东拟变为 中国电气装备集团,,,,,,,,ABCDEFGH,x5-大型央企
28,宏盛华源,电气装备集团,山东-济南,输电线路铁塔龙头企业,,,,,,,,ABCDEFGH,x5-大型央企
29,中国西电,电气装备集团,陕西-西安,国内输变电龙头企业,,,,,,,,ABCDEFGH,x5-大型央企
30,平高电气,电气装备集团,河南-平顶山,高压开关设备龙头企业,,,,,,,,ABCDEFGH,x5-大型央企
31,许继电气,电气装备集团,河南-许昌,变配电龙头企业,,,,,,,,ABCDEFGH,x5-大型央企
32,宝光股份-西电集团,电气装备集团,陕西-西安,灭弧室设备龙头企业,2025年5月22日其股东变更为西电集团,https://www.tgb.cn/a/2ie7xPr2zrC,,,,,,ABCDEFGH,x5-大型央企
33,西高院-688,电气装备集团,陕西-西安,电气检测龙头企业,,,,,,,,ABCDEFGH,x5-大型央企
34,佳电股份,哈尔滨电气集团,黑龙江-佳木斯,主营各类电动机与核电装备,,,,,,,,ABCDEFGH,x5-大型央企
35,东方电气,东方电气集团,四川-成都,各类发电装备产品,,,,,,,,ABCDEFGH,x5-大型央企
36,华能水电,华能集团,云南-昆明,水电平台，装机A股第三,,,,,,,,ABCDEFGH,x5-大型央企
37,华能国际,华能集团,北京-西城,火电平台，装机A股第一,,,,,,,,ABCDEFGH,x5-大型央企
38,华电辽能,华电集团,辽宁-沈阳,综合平台，火电为主风电为辅,,,,,,,,ABCDEFGH,x5-大型央企
39,华电国际,华电集团,山东-济南,火电平台，装机A股第二,,,,,,,,ABCDEFGH,x5-大型央企
40,黔源电力,华电集团,贵州-贵阳,水电平台，贵州水电第一,,,,,,,,ABCDEFGH,x5-大型央企
41,大唐发电,大唐集团,北京-西城,综合电力，火电装机A股第三,,,,,,,,ABCDEFGH,x5-大型央企
42,桂冠电力,大唐集团,广西-南京,水电平台，水电装机A股第五,,,,,,,,ABCDEFGH,x5-大型央企
43,湖北能源,三峡集团,湖北-武汉,湖北新能源开发平台,,,,,,,,ABCDEFGH,x5-大型央企
44,三峡水利,三峡集团,重庆-万州,三峡集团配售电平台,,,,,,,,ABCDEFGH,x5-大型央企
45,长江电力,三峡集团,北京-海淀,水电平台，装机A股第一,,,,,,,,ABCDEFGH,x5-大型央企
46,国投电力,开发集团,北京-西城,开发集团唯一平台，水电装机A股第四,,,,,,,,ABCDEFGH,x5-大型央企
47,国电电力,国能投集团,辽宁-大连,火电平台，火电装机A股第五,,,,,,,,ABCDEFGH,x5-大型央企
48,龙源电力,国能投集团,北京-西城,风电平台，风电装机A股第一,,,,,,,,ABCDEFGH,x5-大型央企
49,长源电力,国能投集团,湖北-武汉,湖北火电，兼顾热力、煤炭,,,,,,,,ABCDEFGH,x5-大型央企
50,中国核电,中核集团,北京-海淀,核电平台，核电机组市占率A股第一，占比42%,,,,,,,,ABCDEFGH,x5-大型央企
51,中国广核,中广核集团,广东-深圳,核电平台，核电机组组市占率A股第二，占比30%,,,,,,,,ABCDEFGH,x5-大型央企
52,湖南天雁,军工-兵器装备集团,湖南-衡阳,涡轮增压器营收占比64%,,,,,,,,ABCDEFGH,x5-大型央企
53,东安动力,军工-兵器装备集团,黑龙江-哈尔滨,国内主要的微型发动机厂商,,,,,,,,ABCDEFGH,x5-大型央企
54,建设工业,军工-兵器装备集团,云南-昆明,汽车胀断连杆,,,,,,,,ABCDEFGH,x5-大型央企
55,长安汽车,军工-兵器装备集团,重庆-江北,国内销量第四的新能源乘用车商,,,,,,,,ABCDEFGH,x5-大型央企
56,保变电气,军工-兵器装备集团,河北-保定,国内市占率第三的变压器厂商,,,,,,,,ABCDEFGH,x5-大型央企
57,长城军工,军工-兵器装备集团,安徽-合肥,国内主要的陆军弹药攻击厂商,,,,,,,,ABCDEFGH,x5-大型央企
58,中光学,军工-兵器装备集团,河南-南阳,光学仪器营收占比100%,,,,,,,,ABCDEFGH,x5-大型央企
59,长春一东,军工-兵器工业集团,吉林-长春,离合器营收占比69%,,,,,,,,ABCDEFGH,x5-大型央企
60,凌云股份,军工-兵器工业集团,河北-保定,汽车零部件营收占比87%,,,,,,,,ABCDEFGH,x5-大型央企
61,晋西车轴,军工-兵器工业集团,山西-太原,国内主要的铁路车轴厂商,,,,,,,,ABCDEFGH,x5-大型央企
62,北化股份,军工-兵器工业集团,四川-泸州,国内主要的硝化棉生产厂商,,,,,,,,ABCDEFGH,x5-大型央企
63,华锦股份,军工-兵器工业集团,辽宁-盘锦,石油化工营收占比86%,,,,,,,,ABCDEFGH,x5-大型央企
64,内蒙一机,军工-兵器工业集团,内蒙-包头,国内主要的主站坦克研制基地,,,,,,,,ABCDEFGH,x5-大型央企
65,中兵红箭,军工-兵器工业集团,湖南-湘潭,国内主要的智能弹药厂商,,,,,,,,ABCDEFGH,x5-大型央企
66,北方导航,军工-兵器工业集团,北京-通州,国内主要的专用矿车研制基地,,,,,,,,ABCDEFGH,x5-大型央企
67,航发科技,军工-航空发动机集团,四川-成都,航空发动机和燃气轮机零部件,,,,,,,,ABCDEFGH,x5-大型央企
68,航发控制,军工-航空发动机集团,江苏-无锡,航空发动机控制系统,,,,,,,,ABCDEFGH,x5-大型央企
69,航材股份,军工-航空发动机集团,北京-海淀,航空航天材料,,,,,,,,ABCDEFGH,x5-大型央企
70,航天晨光,军工-航天科工集团,江苏-南京,核工装备营收36%,,,,,,,,ABCDEFGH,x5-大型央企
71,航天电器,军工-航天科工集团,贵州-贵阳,A股主要的航天连接器厂商,,,,,,,,ABCDEFGH,x5-大型央企
72,锐科激光-300,军工-航天科工集团,湖北-武汉,A股主要的光纤连接器厂商,,,,,,,,ABCDEFGH,x5-大型央企
73,航天长峰,军工-航天科工集团,北京-海淀,A股市占率第三的军用特种电源厂商,,,,,,,,ABCDEFGH,x5-大型央企
74,航天科技,军工-航天科工集团,黑龙江-哈尔滨,汽车电子营收占比71%,,,,,,,,ABCDEFGH,x5-大型央企
75,航天信息,军工-航天科工集团,北京-海淀,A股市占率第四的ERP 企业,,,,,,,,ABCDEFGH,x5-大型央企
76,航天发展,军工-航天科工集团,福建-福州,数字蓝军 营收占比41%,"

数字蓝军是指在军事演习中，通过数字化技术模拟假想敌部队，用于实战化训练和作战能力提升的军事技术",,,,,,,ABCDEFGH,x5-大型央企
77,中国卫通,军工-航天科技（星空）,北京-海淀,A股主要的通信卫星商,,,,,,,,ABCDEFGH,x5-大型央企
78,中国卫星,军工-航天科技（星空）,北京-海淀,A股主要的卫星研制企业,,,,,,,,ABCDEFGH,x5-大型央企
79,航天动力,军工-航天科技（星空）,陕西-先,A股主要的航天液体动力厂商,,,,,,,,ABCDEFGH,x5-大型央企
80,中天火箭,军工-航天科技（星空）,陕西-西安,A股主要的固体火箭厂商,,,,,,,,ABCDEFGH,x5-大型央企
81,航天电子,军工-航天科技（星空）,湖北-武汉,A股主要的航天电子厂商,,,,,,,,ABCDEFGH,x5-大型央企
82,航天智装-300,军工-航天科技（星空）,北京-海淀,A股主要的航天控制系统厂商,,,,,,,,ABCDEFGH,x5-大型央企
83,航天彩虹,军工-航天科技（星空）,浙江-台州,A股主要的军用无人机厂商,,,,,,,,ABCDEFGH,x5-大型央企
84,乐凯胶片 -光伏背板,军工-航天科技（星空）,河北-保定,A股产量第五的光伏背板场上,,,,,,,,ABCDEFGH,x5-大型央企
85,航天机电,军工-航天科技（星空）,上海-浦东新区,光伏组件营收占比53%,,,,,,,,ABCDEFGH,x5-大型央企
86,航天工程,军工-航天科技（星空）,北京-通州,煤气化领先企业,,,,,,,,ABCDEFGH,x5-大型央企
87,中航沈飞,军工-航空工业集团（天空）,山东-威海,歼击机15，歼16,,,,,,,,ABCDEFGH,x5-大型央企
88,洪都航空,军工-航空工业集团（天空）,江西-南昌,"教练机L15,K8",“豫章故郡，洪都新府”，其中的“洪都”指的是唐代的洪州都督府，位于今天的南昌市。“豫章”是古代对南昌的称呼，因为滕王阁位于江西省南昌市，所以被称为豫章故郡。唐代时，豫章郡被升级为洪州都督府，简称“洪都”。这里的“洪都新府”是指洪州都督府的新府邸。,,,,,,,ABCDEFGH,x5-大型央企
89,中直股份,军工-航空工业集团（天空）,黑龙江-哈尔滨,直升机武直 10，直19,,,,,,,,ABCDEFGH,x5-大型央企
90,中航西飞,军工-航空工业集团（天空）,陕西-西安,运输机，轰炸机,,,,,,,,ABCDEFGH,x5-大型央企
91,中航机载,军工-航空工业集团（天空）,北京-大兴,军机航空电子系统厂商,,,,,,,,ABCDEFGH,x5-大型央企
92,江航装备-688,军工-航空工业集团（天空）,安徽-合肥,军机氧气系统厂商,,,,,,,,ABCDEFGH,x5-大型央企
93,中航光电,军工-航空工业集团（天空）,河南-洛阳,军用连接器,,,,,,,,ABCDEFGH,x5-大型央企
94,中航重机,军工-航空工业集团（天空）,贵州-贵阳,军机铸件厂商,,,,,,,,ABCDEFGH,x5-大型央企
95,中航高科,军工-航空工业集团（天空）,江苏-南通,军机碳纤维厂商,,,,,,,,ABCDEFGH,x5-大型央企
96,贵航股份,军工-航空工业集团（天空）,贵州-贵阳,军标微动开关,,,,,,,,ABCDEFGH,x5-大型央企
97,成飞集成,军工-航空工业集团（天空）,四川-成都,军机零部件,,,,,,,,ABCDEFGH,x5-大型央企
98,中航产融,军工-航空工业集团（天空）,黑龙江-哈尔滨,航空工业集团 唯一资本运营企业,,,,,,,,ABCDEFGH,x5-大型央企
99,宝胜股份,军工-航空工业集团（天空）,江苏-扬州,电线电缆,,,,,,,,ABCDEFGH,x5-大型央企
100,深南电路,军工-航空工业集团（天空）,深圳,IC载板,IC载板主要用于集成电路芯片的连接和临时存储，适用于一些需要高性能和定制化的电子设备。而PCB适用于大多数电子设备，用于连接和支持各种电子元件，是电子设备中最常见的电路载体,,,,,,,ABCDEFGH,x5-大型央企
101,深天马A,军工-航空工业集团（天空）,深圳,柔性OLED厂商,,,,,,,,ABCDEFGH,x5-大型央企
102,飞亚达,军工-航空工业集团（天空）,深圳,手表服务企业,,,,,,,,ABCDEFGH,x5-大型央企
103,天虹股份,军工-航空工业集团（天空）,深圳,超市,,,,,,,,ABCDEFGH,x5-大型央企
104,中船科技,军工-中国船舶集团,上海-杨浦区,船舶厂设计建设,,,,,,,,ABCDEFGH,x5-大型央企
105,中国船舶,军工-中国船舶集团,上海-浦东新区,国内最大的综合性造船厂,,,,,,,,ABCDEFGH,x5-大型央企
106,中国重工,军工-中国船舶集团,北京-海淀,海军舰艇制造，以航母、驱逐舰、潜艇为主,,,,,,,,ABCDEFGH,x5-大型央企
107,中船防务,军工-中国船舶集团,广州,商用船舶制造为主，唯一A+H 上市企业船舶动力设备,,,,,,,,ABCDEFGH,x5-大型央企
108,中国动力,军工-中国船舶集团,河北-保定,商用船舶制造为主，唯一A+H 上市企业船舶动力设备,,,,,,,,ABCDEFGH,x5-大型央企
109,久之洋-300,军工-中国船舶集团,湖北-武汉,船舶光电设备,,,,,,,,ABCDEFGH,x5-大型央企
110,中国海防,军工-中国船舶集团,北京-海淀,水下信息化装备核心供应商,,,,,,,,ABCDEFGH,x5-大型央企
111,中船汉光-300,军工-中国船舶集团,河北-邯郸,打印复印静电成像耗材 主要生产厂商,,,,,,,,ABCDEFGH,x5-大型央企
112,昆船智能-300,军工-中国船舶集团,云南-昆明,智能制造、物流设备，主要服务于烟草行业,,,,,,,,ABCDEFGH,x5-大型央企
113,中船应急-300,军工-中国船舶集团,湖北-武汉,核心军用应急装备，第一家应急行业上市公司,,,,,,,,ABCDEFGH,x5-大型央企
114,中核科技,军工-核工业集团,江苏-苏州,核电阀门,,,,,,,,ABCDEFGH,x5-大型央企
115,中国核建,军工-核工业集团,上海-青浦,核电工程建设企业,,,,,,,,ABCDEFGH,x5-大型央企
116,同方股份,军工-核工业集团,北京-海淀,学术数据库厂商,,,,,,,,ABCDEFGH,x5-大型央企
117,东信和平,军工-电子科技集团,广东-珠海,智能卡,,,,,,,,ABCDEFGH,x5-大型央企
118,普天科技,军工-电子科技集团,广东-广州,轨道交通专网通信,,,,,,,,ABCDEFGH,x5-大型央企
119,东方通信,军工-电子科技集团,浙江-杭州,信息通信,,,,,,,,ABCDEFGH,x5-大型央企
120,四创电子,军工-电子科技集团,安徽-合肥,卫星导航厂商,,,,,,,,ABCDEFGH,x5-大型央企
121,国睿科技,军工-电子科技集团,江苏-南京,防务雷达,,,,,,,,ABCDEFGH,x5-大型央企
122,凤凰光学,军工-电子科技集团,江西-上饶,光学组件,,,,,,,,ABCDEFGH,x5-大型央企
123,海康威视,军工-电子科技集团,浙江-杭州,安防视频监控,,,,,,,,ABCDEFGH,x5-大型央企
124,电科网安,军工-电子科技集团,四川-成都,密码安全厂商,,,,,,,,ABCDEFGH,x5-大型央企
125,太极股份,军工-电子科技集团,北京-海淀,国产数据库厂商（人大金仓）,,,,,,,,ABCDEFGH,x5-大型央企
126,电科数字,军工-电子科技集团,上海-嘉定,行业数字化营收占比86%,智弈大模型 ,,,,,,,ABCDEFGH,x5-大型央企
127,深科技,军工-电子信息集团,深圳,存储芯片封测厂商,,,,,,,,ABCDEFGH,x5-大型央企
128,中国长城,军工-电子信息集团,深圳,国产替代CPU厂商,中国长城cpu是自己造的。长城是全自主，没有所谓的代工厂，长城这个自主出来就是为了应对国外制裁的。中国长城：基于飞腾CPU+麒麟操作系统+安全的技术体系，研发制造的台式机、笔记本、一体机、服务器具有完全自主知识产权，已经形成国内谱系最全、实力最强的产品线，具备整机和服务器从设计、研发、验证到生产的能力，子公司天津飞腾主营国产高性能、低功耗集成电路芯片的设计与服务。,,,,,,,ABCDEFGH,x5-大型央企
129,上海贝岭,军工-电子信息集团,上海-徐汇区,电网计量芯片厂商,,,,,,,,ABCDEFGH,x5-大型央企
130,中国软件,军工-电子信息集团,北京-昌平,国产替代操作系统厂商,,,,,,,,ABCDEFGH,x5-大型央企
131,冠捷科技,军工-电子信息集团,江苏-南京,显示屏,,,,,,,,ABCDEFGH,x5-大型央企
132,南京熊猫,军工-电子科技集团,江苏-南京,电子制造,,,,,,,,ABCDEFGH,x5-大型央企
133,振华科技,军工-电子科技集团,贵州-贵阳,军用特种电源厂商,,,,,,,,ABCDEFGH,x5-大型央企
134,新雷能-300,军工-电子科技集团,北京-昌平,军用特种电源,,,,,,,,ABCDEFGH,x5-大型央企
135,矿业 9大集团,,,,,,,,,,,ABCDEFGH,x5-大型央企
136,五矿新能,矿业-中国五矿,湖南-长沙,三元正极材料市占率第三,,,,,,,,ABCDEFGH,x5-大型央企
137,中国中冶,矿业-中国五矿,北京-朝阳,专业工程营收A股第二，,,,,,,,,ABCDEFGH,x5-大型央企
138,五矿资本,矿业-中国五矿,湖南-长沙,信托营收A股第二,,,,,,,,ABCDEFGH,x5-大型央企
139,中钨高新,矿业-中国五矿,海南-海口,钨丝,,,,,,,,ABCDEFGH,x5-大型央企
140,株冶集团,矿业-中国五矿,湖南-株洲,铟产能A股第一，锌产量A股第一,,,,,,,,ABCDEFGH,x5-大型央企
141,五矿发展,矿业-中国五矿,北京-海淀,主营资源，金属贸易,,,,,,,,ABCDEFGH,x5-大型央企
