序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,家用电器可以分为：,客厅家电，厨房家电，其他家电，家电代工，家电部件,,,,,,,,,,ABCDEFGH,x50-家用电器
2.0,ODM 原始设计制造商 （既设计又生产）,OEM 原始设备制造商 （不设计只生产）,,,,,,,,,,ABCDEFGH,x50-家用电器
3.0,海信视像,客厅家电-电视机,青岛,电视机零售第1，,,,,,,,,ABCDEFGH,x50-家用电器
4.0,海尔智家,客厅家电-电视机,青岛,电视机零售第2，,,,,,,,,ABCDEFGH,x50-家用电器
5.0,四川长虹,客厅家电-电视机,四川-绵阳,电视机零售第3，,,,,,,,,ABCDEFGH,x50-家用电器
6.0,深康佳A,客厅家电-电视机,深圳,电视机零售第4，,,,,,,,,ABCDEFGH,x50-家用电器
7.0,创维数字,客厅家电-电视机,四川-绵阳,电视机机顶盒第1，,,,,,,,,ABCDEFGH,x50-家用电器
8.0,极米科技,客厅家电-电视机,四川-成都,智能投影设备第1，,,,,,,,,ABCDEFGH,x50-家用电器
9.0,格力电器,客厅家电-空调,广东-珠海,家用空调市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
10.0,美的集团,客厅家电-空调,广东-佛山,家用空调市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
11.0,海尔智家,客厅家电-空调,青岛,家用空调市占率第3，,,,,,,,,ABCDEFGH,x50-家用电器
12.0,海信家电,客厅家电-空调,青岛,家用空调市占率第4，,,,,,,,,ABCDEFGH,x50-家用电器
13.0,春兰股份,客厅家电-空调,江苏-泰州,老牌空调知名厂商,,,,,,,,ABCDEFGH,x50-家用电器
14.0,亿利达,客厅家电-空调,浙江-台州,中央空调风机市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
15.0,朗迪集团,客厅家电-空调,浙江-宁波,生产家用空调风叶，,,,,,,,,ABCDEFGH,x50-家用电器
16.0,科沃斯,客厅家电-扫地机器人,江苏-苏州,扫地机器人市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
17.0,石头科技,客厅家电-扫地机器人,北京,扫地机器人市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
18.0,莱克电气,客厅家电-吸尘器,江苏-苏州,吸尘器营收A股第1，,,,,,,,,ABCDEFGH,x50-家用电器
19.0,德昌股份,客厅家电-吸尘器,浙江-宁波,吸尘器营收A股第2，,,,,,,,,ABCDEFGH,x50-家用电器
20.0,欧圣电气-300,客厅家电-吸尘器,江苏-苏州,吸尘器营收A股第3，,,,,,,,,ABCDEFGH,x50-家用电器
21.0,春光科技,客厅家电-吸尘器,浙江-金华,吸尘器软管营收第一，,,,,,,,,ABCDEFGH,x50-家用电器
22.0,星德胜,客厅家电-吸尘器,江苏-苏州,微特电机产品用于吸尘器，供货，小米，石头，科沃斯,,,,,,,,ABCDEFGH,x50-家用电器
23.0,万和电气,厨房家电-燃气壁挂炉,广东-佛山,燃气壁挂炉市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
24.0,海尔智家,厨房家电-燃气壁挂炉,青岛,燃气壁挂炉市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
25.0,惠而浦,厨房家电-洗碗机,安徽-合肥,洗碗机市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
26.0,海尔智家,厨房家电-洗碗机,青岛,洗碗机市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
27.0,苏泊尔,厨房家电-电饭煲,浙江-台州,市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
28.0,美的集团,厨房家电-电饭煲,广州-佛山,市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
29.0,九阳股份,厨房家电-电饭煲,济南,市占率第3，,,,,,,,,ABCDEFGH,x50-家用电器
30.0,TCL智家,厨房家电-冰箱,广东-中山,冰箱冰柜出口国内第一，,,,,,,,,ABCDEFGH,x50-家用电器
31.0,海尔智家,厨房家电-冰箱,青岛,冰箱市占率第一，,,,,,,,,ABCDEFGH,x50-家用电器
32.0,美的集团,厨房家电-冰箱,佛山,冰箱市占率第二，,,,,,,,,ABCDEFGH,x50-家用电器
33.0,海信家电,厨房家电-冰箱,青岛,冰箱市占率第3，,,,,,,,,ABCDEFGH,x50-家用电器
34.0,长虹美菱,厨房家电-冰箱,安徽-合肥,冰箱市占率第4，,,,,,,,,ABCDEFGH,x50-家用电器
35.0,澳柯玛,厨房家电-冰箱,青岛,冰柜市占率第一，,,,,,,,,ABCDEFGH,x50-家用电器
36.0,长虹华意-压缩机,厨房家电-冰箱,江西-景德镇,冰箱压缩机 市占率第一，,,,,,,,,ABCDEFGH,x50-家用电器
37.0,比依股份,厨房家电-空气炸锅,浙江-宁波,空气炸锅 OEM 龙头,,,,,,,,ABCDEFGH,x50-家用电器
38.0,苏泊尔,厨房家电-空气炸锅,浙江-台州,空气炸锅市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
39.0,九阳股份,厨房家电-空气炸锅,济南,空气炸锅市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
40.0,美的集团,厨房家电-空气炸锅,佛山,空气炸锅市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
41.0,小熊电器,厨房家电-空气炸锅,佛山,空气炸锅市占率第3，,,,,,,,,ABCDEFGH,x50-家用电器
42.0,利仁科技,厨房家电-空气炸锅,北京,空气炸锅市占率第4，,,,,,,,,ABCDEFGH,x50-家用电器
43.0,长虹美菱,厨房家电-空气炸锅,安徽-合肥,空气炸锅市占率第5，,,,,,,,,ABCDEFGH,x50-家用电器
44.0,火星人-300,厨房家电-集成灶,浙江-嘉兴,集成灶营收规模第1，23亿,,,,,,,,ABCDEFGH,x50-家用电器
45.0,浙江美大,厨房家电-集成灶,浙江-嘉兴,集成灶营收规模第2，,,,,,,,,ABCDEFGH,x50-家用电器
46.0,亿田智能-300,厨房家电-集成灶,浙江-绍兴,集成灶营收规模第3，,,,,,,,,ABCDEFGH,x50-家用电器
47.0,帅丰电器,厨房家电-集成灶,浙江-绍兴,集成灶营收规模第4，,,,,,,,,ABCDEFGH,x50-家用电器
48.0,老板电器,厨房家电-油烟机,浙江-杭州,油烟机市占率第1，,,,,,,,,ABCDEFGH,x50-家用电器
49.0,美的集团,厨房家电-油烟机,佛山,油烟机市占率第2，,,,,,,,,ABCDEFGH,x50-家用电器
50.0,华帝股份,厨房家电-油烟机,广东-中山,公司烟机营收25亿,,,,,,,,ABCDEFGH,x50-家用电器
51.0,九阳股份,厨房家电-豆浆机,济南,豆浆机市占率第一,,,,,,,,ABCDEFGH,x50-家用电器
52.0,日出东方,厨房家电-热水器,江苏-连云港,太阳能热水器市占率第一，代表产品： 太阳雨，四季沐歌,,,,,,,,ABCDEFGH,x50-家用电器
53.0,万和电气,厨房家电-热水器,广东-佛山,燃气热水器市占率第一,,,,,,,,ABCDEFGH,x50-家用电器
54.0,苏泊尔,厨房家电-炊具,浙江-台州,炊具外贸龙头,,,,,,,,ABCDEFGH,x50-家用电器
55.0,爱仕达,厨房家电-炊具,浙江-台州,炊具龙头， 也做人形机器人,,,,,,,,ABCDEFGH,x50-家用电器
