序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,云服务分为：,基础设施IaaS,平台PAAS,软件SAAS， 云通信， 企业，国资云,,,,,,,,ABCDEFGH,x51-云服务
2,光环新网-300,基础设施IaaS,北京,硬件IAAS营收A股第1，,,,,,,,,ABCDEFGH,x51-云服务
3,神州数码,基础设施IaaS,深圳,硬件IAAS营收A股第2，,,,,,,,,ABCDEFGH,x51-云服务
4,网宿科技-300,基础设施IaaS,上海,硬件IAAS营收A股第3，,,,,,,,,ABCDEFGH,x51-云服务
5,润泽科技-300,基础设施IaaS,河北-廊坊,硬件IAAS营收A股第4，,,,,,,,,ABCDEFGH,x51-云服务
6,云赛智联,基础设施IaaS,上海,硬件IAAS营收A股第5，,,,,,,,,ABCDEFGH,x51-云服务
7,数据港,基础设施IaaS,上海,硬件IAAS营收A股第6，,,,,,,,,ABCDEFGH,x51-云服务
8,首都在线-300,基础设施IaaS,北京,硬件IAAS营收A股第7，,,,,,,,,ABCDEFGH,x51-云服务
9,奥飞数据-300,基础设施IaaS,广州,硬件IAAS营收A股第8，,,,,,,,,ABCDEFGH,x51-云服务
10,拓维信息,基础设施IaaS,湖南-长沙,硬件IAAS营收A股第9，,,,,,,,,ABCDEFGH,x51-云服务
11,铜牛信息-300,基础设施IaaS,北京,硬件IAAS营收A股第10，,,,,,,,,ABCDEFGH,x51-云服务
12,青云科技-688,平台PAAS,北京,平台PAAS 营收第1，,,,,,,,,ABCDEFGH,x51-云服务
13,优刻得-688,平台PAAS,上海,平台PAAS 营收第2，,,,,,,,,ABCDEFGH,x51-云服务
14,品高股份-688,平台PAAS,广州,平台PAAS 营收第3，,,,,,,,,ABCDEFGH,x51-云服务
15,华胜天成,平台PAAS,北京,平台PAAS 营收第4，,,,,,,,,ABCDEFGH,x51-云服务
16,用友网络,软件SAAS,北京,软件SAAS营收第1，,,,,,,,,ABCDEFGH,x51-云服务
17,广联达,软件SAAS,北京,软件SAAS营收第2，,,,,,,,,ABCDEFGH,x51-云服务
18,金山办公,软件SAAS,北京,软件SAAS营收第3，,,,,,,,,ABCDEFGH,x51-云服务
19,石基信息,软件SAAS,北京,软件SAAS营收第4，,,,,,,,,ABCDEFGH,x51-云服务
20,税友股份,软件SAAS,杭州,软件SAAS营收第5，,,,,,,,,ABCDEFGH,x51-云服务
21,普元信息-688,软件SAAS,上海,软件SAAS营收第6，,,,,,,,,ABCDEFGH,x51-云服务
22,光云科技-688,软件SAAS,杭州,软件SAAS营收第7，,,,,,,,,ABCDEFGH,x51-云服务
23,赛意信息-300,软件SAAS,广州,凡ERP营收12亿,,,,,,,,ABCDEFGH,x51-云服务
24,汉得信息-300,软件SAAS,上海,ERP营收10亿,,,,,,,,ABCDEFGH,x51-云服务
25,梦网科技,云通信,辽宁-鞍山,云通信营收第一，48亿,企业短信， 语音验证码等,,,,,,,ABCDEFGH,x51-云服务
26,软通动力,华为云,北京,,,,,,,,,ABCDEFGH,x51-云服务
27,神州数码,华为云,深圳,,,,,,,,,ABCDEFGH,x51-云服务
28,拓维信息,华为云,长沙,,,,,,,,,ABCDEFGH,x51-云服务
29,赛意信息-300,华为云,广州,,,,,,,,,ABCDEFGH,x51-云服务
30,常山北明,华为云,河北-石家庄,,,,,,,,,ABCDEFGH,x51-云服务
