序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,海运主要分为：,集装箱运输,细分产品运输,载客，中间商，船舶租赁,,,,,,,,ABCDEFGH,x52-海运
2,中远集团下边有：,中远海控，中远海能，中远海发，中远海特,,,,,,,,,,ABCDEFGH,x52-海运
3,招商集团下边： ,招商轮船， 招商南油，,,,,,,,,,,ABCDEFGH,x52-海运
4,中远海控,集装箱运输-全球,天津,集装箱海运业务规模全球第3， 内贸航运第一,,,,,,,,ABCDEFGH,x52-海运
5,宁波远洋,集装箱运输-区域海运,宁波,,,,,,,,,ABCDEFGH,x52-海运
6,锦江航运,集装箱运输-区域海运,上海,,,,,,,,,ABCDEFGH,x52-海运
7,海航科技,集装箱运输-区域海运,天津,,,,,,,,,ABCDEFGH,x52-海运
8,安通控股,集装箱运输-区域海运,哈尔滨,,,,,,,,,ABCDEFGH,x52-海运
9,凤凰航运,集装箱运输-区域海运,武汉,,,,,,,,,ABCDEFGH,x52-海运
10,中集集团,集装箱运输-集装箱制造,深圳,集装箱制造营收第1，,,,,,,,,ABCDEFGH,x52-海运
11,中远海发,集装箱运输-集装箱制造,上海,集装箱制造营收第2，,,,,,,,,ABCDEFGH,x52-海运
12,中集环科-300,集装箱运输-集装箱制造,江苏-南通,集装箱制造营收第3，,专注化工环保装备与循环经济,,,,,,,ABCDEFGH,x52-海运
13,四方科技,集装箱运输-集装箱制造,江苏-南通,集装箱制造营收第4，,,,,,,,,ABCDEFGH,x52-海运
14,中远海能,油品运输,上海,油品航运营收第1，,,,,,,,,ABCDEFGH,x52-海运
15,招商轮船,油品运输,深圳,油品航运营收第2，,,,,,,,,ABCDEFGH,x52-海运
16,招商南油,油品运输,南京,油品航运营收第3，,,,,,,,,ABCDEFGH,x52-海运
17,兴通股份,化工运输,福建-泉州,化工运输第1，,,,,,,,,ABCDEFGH,x52-海运
18,盛航股份,化工运输,南京,化工运输第2，,,,,,,,,ABCDEFGH,x52-海运
19,宁波海运,煤炭运输,宁波,煤炭航运营收16亿,,,,,,,,ABCDEFGH,x52-海运
20,招商轮船,汽车,深圳,汽车船运力第1， 共12艘,,,,,,,,ABCDEFGH,x52-海运
21,中远海特,汽车,广州,汽车船运力第2，共5艘,,,,,,,,ABCDEFGH,x52-海运
22,长久物流,汽车,北京,汽车船总1艘,,,,,,,,ABCDEFGH,x52-海运
23,炬申股份,有色,广东-佛山,,,,,,,,,ABCDEFGH,x52-海运
24,渤海轮渡,旅客载运,烟台,渤海地区客运营收第1，,,,,,,,,ABCDEFGH,x52-海运
25,海峡股份,旅客载运,海南-海口,海南海上客运，,,,,,,,,ABCDEFGH,x52-海运
26,中国外运,中间商-国企,北京,海运代理，空运代理,,,,,,,,ABCDEFGH,x52-海运
27,华贸物流,中间商-国企,上海,海运代理，空运代理,,,,,,,,ABCDEFGH,x52-海运
28,中创物流,中间商-国企,山东-青岛,民营货代第1，,,,,,,,,ABCDEFGH,x52-海运
29,海程邦达,中间商-国企,山东-青岛,民营货代第2,,,,,,,,ABCDEFGH,x52-海运
30,海通发展,船舶租赁,福建-福州,船舶租赁营收20亿,,,,,,,,ABCDEFGH,x52-海运
