序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,豫园股份,化妆品,上海,"旗下有用 AHAVA ， WEI, XWAY 三个换装品牌，",,,,,,,,ABCDEFGH,x53-化妆品
2,德展健康,化妆品,新疆-乌鲁木齐,积极探索新业务，布局化妆品领域，产品有： 汉惠 牌玻尿酸,,,,,,,,ABCDEFGH,x53-化妆品
3,天佑德酒,化妆品,青海,公司通过青稞酒糟 提取液 自主研发了青稞酒糟面膜，护手霜等产品,,,,,,,,ABCDEFGH,x53-化妆品
4,华熙生物-688,化妆品,济南,旗下化妆品： 润百颜， 夸迪，米蓓尔等 ,,,,,,,,ABCDEFGH,x53-化妆品
5,福瑞达,化妆品,淄博,旗下产品： 颐莲， 瑷尔博士，伊帕尔汗，善颜。,,,,,,,,ABCDEFGH,x53-化妆品
6,仁和药业,化妆品,江西-宜春,功能性护肤品,,,,,,,,ABCDEFGH,x53-化妆品
7,青松股份-300,化妆品,福建-南平,化妆品代加工产能A股第一，,,,,,,,,ABCDEFGH,x53-化妆品
8,青岛金王,化妆品,青岛,化妆品业务营收占比49%。拥有 蓝秀， LC 等品牌， 与 安华生物合资 ,,,,,,,,ABCDEFGH,x53-化妆品
9,水羊股份,化妆品,湖南-长沙,品牌：御泥坊， 小迷糊。,,,,,,,,ABCDEFGH,x53-化妆品
10,上海家化,化妆品,上海,品牌：六神， 佰草集，高夫，美加净，启初，家安， 玉泽，双妹，汤美星等。,,,,,,,,ABCDEFGH,x53-化妆品
11,拉芳家化,化妆品,广东-汕头,洗护产品，  洗头膏，沐浴露,,,,,,,,ABCDEFGH,x53-化妆品
12,珀莱雅,化妆品,浙江-杭州,主打补水护肤， ,,,,,,,,ABCDEFGH,x53-化妆品
13,贝泰妮-300,化妆品,云南-昆明,主打敏感肌肤， 皮肤学级护肤品市占率A股第一,,,,,,,,ABCDEFGH,x53-化妆品
14,丸美生物,化妆品,广州,主打眼部护理。品牌：丸美（中高端），春纪（大众护肤），恋火（大众彩妆）,,,,,,,,ABCDEFGH,x53-化妆品
15,科思股份-300,化妆品,江苏-南京,防晒剂原料市占率第一。,,,,,,,,,
