序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,农业： ,这里感觉分的不全，只包含 养殖业，饲料，农药,,,,,,,,,,ABCDEFGH,x55-农业
2,益客食品-300,养殖业-肉鸡养殖,江苏-宿迁,肉禽食品龙头,,,,,,,,ABCDEFGH,x55-农业
3,广弘控股,养殖业-肉鸡养殖,广东-广州,种鸡，商品鸡，,,,,,,,,ABCDEFGH,x55-农业
4,益生股份,养殖业-肉鸡养殖,烟台,祖代白羽肉鸡产销规模A股第1，,,,,,,,,ABCDEFGH,x55-农业
5,民和股份,养殖业-肉鸡养殖,烟台,带肉鸡 的龙头,,,,,,,,ABCDEFGH,x55-农业
6,天马科技,养殖业-肉鸡养殖,福建-福州,子公司：畜禽养殖业务,,,,,,,,ABCDEFGH,x55-农业
7,圣农发展,养殖业-肉鸡养殖,福建-南平,白羽鸡市占率A股第1，,,,,,,,,ABCDEFGH,x55-农业
8,新希望,养殖业-肉鸡养殖,四川-绵阳,白羽鸡市占率A股第2，,,,,,,,,ABCDEFGH,x55-农业
9,禾丰股份,养殖业-肉鸡养殖,辽宁-沈阳,白羽鸡市占率A股第3，,,,,,,,,ABCDEFGH,x55-农业
10,仙坛股份,养殖业-肉鸡养殖,烟台,白羽鸡市占率A股第4，,,,,,,,,ABCDEFGH,x55-农业
11,温氏股份-300,养殖业-肉鸡养殖,广东-云浮,黄羽鸡第一,,,,,,,,ABCDEFGH,x55-农业
12,立华股份-300,养殖业-肉鸡养殖,江苏-常州,黄羽鸡市占率A股第2，,,,,,,,,ABCDEFGH,x55-农业
13,湘佳股份,养殖业-肉鸡养殖,湖南-常德,黄羽鸡市占率A股第3，,,,,,,,,ABCDEFGH,x55-农业
14,晓鸣股份,养殖业-肉鸡养殖,宁夏银川,蛋鸡产量A股第一，,,,,,,,,ABCDEFGH,x55-农业
15,康华生物,养殖业-动保,四川-成都,兽药，宠物食品， 等,动物保健学科,"动保产品指用于动物疾病预防、治疗及健康维护的各类商品,包括兽药、消毒剂、诊断试剂等。例如,猪用口蹄疫疫苗、宠物驱虫药均属于典型动保产品",,,,,,ABCDEFGH,x55-农业
