序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,固态电池分为,硫化物电解质，氧化物电解质，聚合物电解质,,负极，正极，,铜箔，封装，和产品,,,,,,,ABCDEFGH,x58-固态电池
2,粤桂股份,硫化物电解质-硫铁矿,广西-贵港,硫铁矿产能A股第1，,,,,,,,,ABCDEFGH,x58-固态电池
3,大中矿业,硫化物电解质-硫铁矿,内蒙古-巴彦卓尔,硫铁矿产能A股第2，,,,,,,,,ABCDEFGH,x58-固态电池
4,驰宏锌锗,硫化物电解质-硫铁矿,云南-曲靖,硫铁矿产能A股第3，,,,,,,,,ABCDEFGH,x58-固态电池
5,司尔特,硫化物电解质-硫铁矿,安徽-宣城,硫铁矿产能A股第4，,,,,,,,,ABCDEFGH,x58-固态电池
6,六国化工,硫化物电解质-硫铁矿,安徽-铜陵,控股股东旗下新桥矿业已探明硫铁矿8700万吨。,,,,,,,,ABCDEFGH,x58-固态电池
7,广晟有色,硫化物电解质-硫铁矿,海南-海口,参股大宝山公司40%股权,,,,,,,,ABCDEFGH,x58-固态电池
8,辉隆股份,硫化物电解质-硫铁矿,安徽-合肥,,,,,,,,,ABCDEFGH,x58-固态电池
9,蠡湖股份-300,硫化物电解质-硫铁矿,江苏-无锡,,蠡湖(在江苏无锡市东南),,,,,,,ABCDEFGH,x58-固态电池
10,光华科技,硫化物电解质-硫铁矿,广东-汕头,,,,,,,,,ABCDEFGH,x58-固态电池
11,兴发集团,硫化物电解质-硫铁矿,湖北-宜昌,,,,,,,,,ABCDEFGH,x58-固态电池
12,国城矿业,硫化物电解质-硫铁矿,四川-阿坝,,,,,,,,,ABCDEFGH,x58-固态电池
13,赣锋锂业,硫化物电解质-硫化锂,江西-新余,,,,,,,,,ABCDEFGH,x58-固态电池
14,光华科技,硫化物电解质-硫化锂,广东-汕头,,,,,,,,,ABCDEFGH,x58-固态电池
15,有研新材,硫化物电解质-硫化锂,北京,,,,,,,,,ABCDEFGH,x58-固态电池
16,恩捷股份,硫化物电解质-硫化锂,云南-玉溪,,,,,,,,,ABCDEFGH,x58-固态电池
17,海辰药业,硫化物电解质-硫化锂,江苏-南京,猴痘药物-2025年6月20日新增,,,,,,,,ABCDEFGH,x58-固态电池
18,紫金矿业,硫化物电解质-硫化锂,福建-龙岩,,,,,,,,,ABCDEFGH,x58-固态电池
19,泰和科技-300,硫化物电解质-硫化锂,山东-枣庄,,,,,,,,,ABCDEFGH,x58-固态电池
20,钒钛股份,氧化物电解质-钛金属,四川-攀枝花,产能A股第1，,,,,,,,,ABCDEFGH,x58-固态电池
