序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,智能座舱分为：,座舱软件， 中控屏，HUD，座舱域控，液晶仪表，电子后视镜，驾驶员监控系统,,,,,,,,,,ABCDEFGH,x59-智能座舱
2,德赛西威,集成商,广东-惠州,智能座舱营收A股第一，117亿，供货比亚迪,,,,,,,,ABCDEFGH,x59-智能座舱
3,中科创达-300,座舱软件,北京,操作系统，智能座舱OS，智能驾驶OS,,,,,,,,ABCDEFGH,x59-智能座舱
4,经纬恒润-688,座舱软件,北京,驾驶算法，公司自主开发了高级别智能驾驶,,,,,,,,ABCDEFGH,x59-智能座舱
5,四维图新,座舱软件,北京,驾驶算法，,,,,,,,,ABCDEFGH,x59-智能座舱
6,中原内配,座舱软件,河南-焦作,座舱算法,,,,,,,,ABCDEFGH,x59-智能座舱
7,华安鑫创-300,座舱软件,北京,座舱算法，,,,,,,,,ABCDEFGH,x59-智能座舱
8,软通动力-300,座舱软件,北京,座舱算法，,,,,,,,,ABCDEFGH,x59-智能座舱
9,光庭信息-300,座舱软件,湖北-武汉,座舱算法,,,,,,,,ABCDEFGH,x59-智能座舱
10,德赛西威,中控屏,广东-惠州,中控屏市占率A股第1，,,,,,,,,ABCDEFGH,x59-智能座舱
11,比亚迪,中控屏,深圳,中控屏市占率A股第2，,,,,,,,,ABCDEFGH,x59-智能座舱
12,华阳集团,中控屏,广东-惠州,中控屏市占率A股第3，,,,,,,,,ABCDEFGH,x59-智能座舱
13,通达电气,中控屏,广东-广州,公司针对公交车智能座舱升级，成功开发智能中控屏X12s,,,,,,,,ABCDEFGH,x59-智能座舱
14,华阳集团,HUD抬头显示,广东-惠州,HUD市占率国内第一，,,,,,,,,ABCDEFGH,x59-智能座舱
15,联合光电-300,HUD抬头显示,广东-中山,公司产品包括AR-HUD相关产品,,,,,,,,ABCDEFGH,x59-智能座舱
16,宇瞳光学-300,HUD抬头显示,广东-东莞,,,,,,,,,ABCDEFGH,x59-智能座舱
17,光峰科技-688,HUD抬头显示,广东-深圳,,,,,,,,,ABCDEFGH,x59-智能座舱
18,水晶光电,HUD抬头显示,浙江-台州,产品用于车载摄像头,,,,,,,,ABCDEFGH,x59-智能座舱
19,德赛西威,座舱域控,广东-惠州,座舱域控市占率A股第1，,座舱域控主要负责管理车内的各种电子设备和系统，包括中控屏幕、音响系统、空调系统等。,,,,,,,ABCDEFGH,x59-智能座舱
20,华阳集团,座舱域控,广东-惠州,座舱域控市占率A股第2，,,,,,,,,ABCDEFGH,x59-智能座舱
21,科博达,座舱域控,上海,车身域控制器，底盘域控制器 ,,,,,,,,ABCDEFGH,x59-智能座舱
22,经纬恒润-688,座舱域控,北京,,,,,,,,,ABCDEFGH,x59-智能座舱
23,天有为,液晶仪表,黑龙江-绥化市,液晶仪表市占率A股第1，,,,,,,,,ABCDEFGH,x59-智能座舱
24,德赛西威,液晶仪表,广东-惠州,液晶仪表市占率A股第2，,,,,,,,,ABCDEFGH,x59-智能座舱
25,华阳集团,液晶仪表,广东-惠州,液晶仪表市占率A股第3，,,,,,,,,ABCDEFGH,x59-智能座舱
26,华阳集团,电子后视镜,广东-惠州,,,,,,,,,ABCDEFGH,x59-智能座舱
27,欧菲光,电子后视镜,深圳,,,,,,,,,ABCDEFGH,x59-智能座舱
28,金溢科技,电子后视镜,深圳,,,,,,,,,ABCDEFGH,x59-智能座舱
29,锐明技术,电子后视镜,深圳,,,,,,,,,ABCDEFGH,x59-智能座舱
30,豪恩汽电,驾驶员监控系统,胡别-武汉,舱内驾驶员状态监控系统,,,,,,,,ABCDEFGH,x59-智能座舱
31,虹软科技-688,驾驶员监控系统,浙江-杭州,舱内驾驶员状态监控系统,,,,,,,,ABCDEFGH,x59-智能座舱
32,隆盛科技-300,其他,江苏-无锡,子公司微研精工智能座舱精密冲压零部件,,,,,,,,ABCDEFGH,x59-智能座舱
33,共进股份,其他,广东-深圳,公司产品包括智能座舱域的汽车零部件,,,,,,,,ABCDEFGH,x59-智能座舱
34,汇成真空-300,其他,广东-东莞,公司产品， 汽车抬头显示，中控屏幕，电子后视镜,,,,,,,,ABCDEFGH,x59-智能座舱
