序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,可控核聚变包含,超导磁体56%,真空室14%,偏滤器 11% + 第一壁5%,配套设备,项目单位,,,,,,ABCDEFGH,x6-可控核聚变
2,ITER 名词解释,国际热核聚变实验堆,,“国际热核聚变实验堆（ITER）计划”是全球规模最大、影响最深远的国际科研合作项目之一，建造约需10年，耗资50亿美元（1998年值）。ITER装置是一个能产生大规模核聚变反应的超导托卡马克，俗称“人造太阳”。2003年1月，国务院批准我国参加ITER计划谈判，2006年5月，经国务院批准，中国ITER谈判联合小组代表我国政府与欧盟、印度、日本、韩国、俄罗斯和美国共同草签了ITER计划协定。,,,,,,,,ABCDEFGH,x6-可控核聚变
3,永鼎股份,超导体-高温超导体,江苏-苏州,高温超导国内第一梯队，国内首条千米级第二代钇系高温超导带材生产线投产,,,,,,,,ABCDEFGH,x6-可控核聚变
4,精达股份,超导体-高温超导体,安徽-铜陵,高温超导国内第一梯队，参股上海超导18.28%股份,,,,,,,,ABCDEFGH,x6-可控核聚变
5,西部超导-688,超导体-高温超导体,陕西-西安,高温超导国内第一梯队，产品包括 MgB2,,,,,,,,ABCDEFGH,x6-可控核聚变
6,联创光电,超导体-高温超导体,江西-南昌,高温超导加热设备进度A股第一，订单超60台,,,,,,,,ABCDEFGH,x6-可控核聚变
7,百利电气,超导体-高温超导体,天津-西青区,子公司应纳超导专注铋系高温超导线材,,,,,,,,ABCDEFGH,x6-可控核聚变
8,西部超导-688,超导体-低温超导体,陕西-西安,低温超导线材进度A股第一，国内唯一实现低温超导线材商业化生产的企业； 供货ITER项目超导线材,,,,,,,,ABCDEFGH,x6-可控核聚变
9,百利电气,超导体-低温超导体,天津-西青区,低温超导磁体应用于ITER项目环向场线圈,,,,,,,,ABCDEFGH,x6-可控核聚变
10,宝胜股份,超导体-低温超导体,江苏扬州,完成ITER项目低温超导电缆交付,,,,,,,,ABCDEFGH,x6-可控核聚变
11,国光电气-688,真空室,四川-成都,真空室进度A股第一，国际热核聚变实验堆（ITER) 真空室模块唯一供应商,,,,,,,,ABCDEFGH,x6-可控核聚变
12,合锻智能,真空室,安徽-合肥,可控核聚变真空室构件,,,,,,,,ABCDEFGH,x6-可控核聚变
13,上海电气,真空室,上海-长宁,2023年完成全球首台EXL-50u紧凑型聚变装置真空室整体交付,,,,,,,,ABCDEFGH,x6-可控核聚变
14,海陆重工,真空室,江苏-苏州,间接参与真空室制造环节,,,,,,,,ABCDEFGH,x6-可控核聚变
15,中核科技,真空室,江苏-苏州,核电高端阀门,,,,,,,,ABCDEFGH,x6-可控核聚变
16,纽威股份,真空室,江苏-苏州,ITER项目核级阀门,,,,,,,,ABCDEFGH,x6-可控核聚变
17,江苏神通,真空室,江苏-南通,核级阀门市占率A股第一，,,,,,,,,ABCDEFGH,x6-可控核聚变
18,安泰科技,偏滤器与第一壁-产品,北京-海淀,ITER项目偏滤器全钨复合部件、独家为ITER项目提供包层第一壁,,,,,,,,ABCDEFGH,x6-可控核聚变
19,国光电气-688,偏滤器与第一壁-产品,四川-成都,CFETR项目偏滤器，第一壁,,,,,,,,ABCDEFGH,x6-可控核聚变
20,中钨高新,偏滤器与第一壁-材料,海南-海口,钨产能A股第一，年产钨精矿约2.5万标吨，APT年产能达2.3万吨,,,,,,,,ABCDEFGH,x6-可控核聚变
21,厦门钨业,偏滤器与第一壁-材料,福建-厦门,钨产能A股第二，,,,,,,,,ABCDEFGH,x6-可控核聚变
22,章源钨业,偏滤器与第一壁-材料,江西-赣州,钨产能A股第三，2020年公司钨精矿核锡精矿合计产量为4890吨,,,,,,,,ABCDEFGH,x6-可控核聚变
23,洛阳钼业,偏滤器与第一壁-材料,河南-洛阳,2025年产量指引钨0.65-0.75万吨,,,,,,,,ABCDEFGH,x6-可控核聚变
24,翔鹭钨业,偏滤器与第一壁-材料,广东-潮州,2020年底全资子公司江西翔鹭已具备年产500吨钨精矿生产能力,,,,,,,,ABCDEFGH,x6-可控核聚变
25,中金岭南,偏滤器与第一壁-材料,广东-深圳,截止24H1期末公司保有金属资源量钨 0.63万,,,,,,,,ABCDEFGH,x6-可控核聚变
26,富煌钢构,配套设备,安徽-巢湖,BEST项目钢结构,富煌钢构是国内较早成立的集钢结构设计、制作、安装与总承包为一体的A股上市企业,,,,,,,ABCDEFGH,x6-可控核聚变
27,天沃科技,配套设备,苏州-张家港,ITER项目 蒸汽冷凝设备,"天沃科技公司的全称是苏州天沃科技股份有限公司,该公司于2001年3月正式成立,公司总部位于江苏省张家港市",,,,,,,ABCDEFGH,x6-可控核聚变
28,航天晨光,配套设备,江苏-南京,ITER项目膨胀节,,,,,,,,ABCDEFGH,x6-可控核聚变
29,融发核电,配套设备,四川-眉山,ITER项目承制部分部件,,,,,,,,ABCDEFGH,x6-可控核聚变
30,国机重装,配套设备,四川-德阳,公司已研制完成聚变堆主机关键系统综合研究设施（CRAFT）TF线圈盒制造项目并交付用户,,,,,,,,ABCDEFGH,x6-可控核聚变
31,炬光科技-688,配套设备,陕西-西安,CFETR项目高功率半导体激光产品,,,,,,,,ABCDEFGH,x6-可控核聚变
32,弘讯科技,配套设备,浙江-宁波,F4E项目电源系统,,,,,,,,ABCDEFGH,x6-可控核聚变
33,利柏特,配套设备,江苏-苏州,热核聚变实验堆辅助装备核电气体分离装置,,,,,,,,ABCDEFGH,x6-可控核聚变
34,南方路机,配套设备,福建-泉州,核电专用搅拌站,,,,,,,,ABCDEFGH,x6-可控核聚变
35,尚纬股份,配套设备,四川-乐山,第3代核电站K1类和K3类电缆,,,,,,,,ABCDEFGH,x6-可控核聚变
36,旭光电子,配套设备,四川-成都,公司承接可控核聚变工程配套研制的兆瓦级电子管产品,,,,,,,,ABCDEFGH,x6-可控核聚变
37,东方精工,配套设备,广东-佛山,磁体支撑、包层,,,,,,,,ABCDEFGH,x6-可控核聚变
38,久盛电气-300,配套设备,浙江-湖州,与核聚变有关科研所有合作，提供电缆产品,,,,,,,,ABCDEFGH,x6-可控核聚变
39,中洲特材-300,配套设备,上海-嘉定,公司生产阀门，焊材等产品，供货核电企业,,,,,,,,ABCDEFGH,x6-可控核聚变
40,大西洋,配套设备,四川-子宫,公司和国内三大核电公司（中国广核，中国核电，中国核建）合作研发出碳钢低合金钢、不锈钢,,,,,,,,ABCDEFGH,x6-可控核聚变
41,兰石重装,配套设备,甘肃-兰州,公司在板式换热器以用于核电企业,,,,,,,,ABCDEFGH,x6-可控核聚变
42,雪人股份,配套设备,福建-福州,公司已为中科院合肥物质研究所、理化所等多所研究院提供氦气螺杆压缩机,,,,,,,,ABCDEFGH,x6-可控核聚变
43,王子新材,配套设备,广东-深圳,电容器产品 能应用到可控核聚变中的磁体电源项目,"‌王子新材的总部设在广东省深圳市龙华区龙华街道奋进路4号王子工业园‌‌
1
2。公司成立于1997年，主要从事塑料包装材料及产品的研发、设计、生产和销售‌
",,,,,,,ABCDEFGH,x6-可控核聚变
44,哈焊华通,配套设备,江苏-常州,为核聚变项目及设备提供高质量焊材,,,,,,,,ABCDEFGH,x6-可控核聚变
45,中国核电,项目单位-中国聚变能源公司,北京-海淀,拟斥资10亿元以增资方式参股中国聚变能源有限公司,,,,,,,,ABCDEFGH,x6-可控核聚变
46,浙能电力,项目单位-中国聚变能源公司,浙江-杭州,拟投资7.5亿 增资方式 参股 中国聚变能源有限公司,,,,,,,,ABCDEFGH,x6-可控核聚变
47,上海电气,项目单位-上海未来聚变能源公司,上海,持股比例A股第一，31%,,,,,,,,ABCDEFGH,x6-可控核聚变
48,申能股份,项目单位-上海未来聚变能源公司,上海,控股股东申能集团持股未来聚变19%,,,,,,,,ABCDEFGH,x6-可控核聚变
49,中国石油,项目单位-安徽聚变新能公司,北京-东城,持股比例A股第一，5.8%,,,,,,,,ABCDEFGH,x6-可控核聚变
50,中油资本,项目单位-安徽聚变新能公司,新疆-克拉玛依,持股比例A股第二，4%,,,,,,,,ABCDEFGH,x6-可控核聚变
51,皖能电力,项目单位-安徽聚变新能公司,安徽-合肥,持股比例A股第三，3.44%,,,,,,,,ABCDEFGH,x6-可控核聚变
52,中国广核,建设运营,深圳,核电运营国内市占率第一，54%,,,,,,,,ABCDEFGH,x6-可控核聚变
53,中国核电,建设运营,北京,核电运营国内市占率第二，42%,,,,,,,,ABCDEFGH,x6-可控核聚变
54,中国核建,建设运营,上海-青浦,国内主要的核电工程建设建设企业,,,,,,,,ABCDEFGH,x6-可控核聚变
55,电投产融,建设运营,北京,公司拟置入电投核能100%股权，置出国家电投集团资本控股有限公司100%股权,"A股证券简称“电投产融”,证券代码“000958”,前身为国家电投集团东方新能源股份有限公",,,,,,,ABCDEFGH,x6-可控核聚变
