序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,著名IP 分为,IP版权，衍生品，销售,,互联网界的“IP”可以理解为所有成名文创(文学、影视、动漫、游戏等)作品的统称。也就是说此时的IP更多的只是代表智力创造的著作版权，比如发明、文学和艺术作品一类。,进一步引申来说，能够仅凭自身的吸引力，挣脱单一平台的束缚，在多个平台上获得流量，进行分发的内容，就是一个IP，它是能带来效应的“梗“或者“现象”，这个“梗”可以在各种平台发挥效应，因此IP也可以说是一款产品，能带来效应的产品,,,,,,,ABCDEFGH,x60-著名IP 
2,奥飞娱乐,动漫IP ,广东-汕头,喜洋洋与灰太狼，铠甲勇士，巴啦啦小魔仙,,,,,,,,ABCDEFGH,x60-著名IP 
3,上海电影,动漫IP ,上海,中国奇谭，大闹天空，黑猫警长，葫芦娃,,,,,,,,ABCDEFGH,x60-著名IP 
4,光线传媒-300,动漫IP ,北京,娜扎之魔童降世，姜子牙，大鱼海棠,,,,,,,,ABCDEFGH,x60-著名IP 
5,汤姆猫-300,动漫IP ,浙江-绍兴,汤姆猫,,,,,,,,ABCDEFGH,x60-著名IP 
6,完美世界,动漫IP ,浙江-湖州,二次元游戏《异环》,,,,,,,,ABCDEFGH,x60-著名IP 
7,郑中设计,动漫IP ,广东-深圳,艺术形象IP ,,,,,,,,ABCDEFGH,x60-著名IP 
8,欢瑞世纪,艺人IP ,重庆,艺人经济营收占比A股第一,,,,,,,,ABCDEFGH,x60-著名IP 
9,遥望科技,艺人IP ,广东-佛山,直播带货签约明星数量第一，,,,,,,,,ABCDEFGH,x60-著名IP 
10,天下秀,艺人IP ,广西-北海,红人经济平台营收规模A股第一，,,,,,,,,ABCDEFGH,x60-著名IP 
11,天娱数科,艺人IP ,辽宁-大连,虚拟人IP粉丝量第一， 天妤（yu),,,,,,,,ABCDEFGH,x60-著名IP 
12,曲江文旅,景区IP ,西安,网红景区知名度第一，大唐不夜城,,,,,,,,ABCDEFGH,x60-著名IP 
13,晨光股份,文具,上海,文具营收A股第1， ,与《原神》合作,,,,,,,ABCDEFGH,x60-著名IP 
14,齐心集团,文具,深圳,文具营收A股第2， ,与米团， 孔子爷爷合作,,,,,,,ABCDEFGH,x60-著名IP 
15,广博股份-文具,文具,浙江-宁波,文具营收A股第3， ,与王者荣耀等ip 合作,,,,,,,ABCDEFGH,x60-著名IP 
16,创源股份-300,文具,浙江-宁波,文具营收A股第4， ,与敦煌博物馆，知乎等IP达人合作,,,,,,,ABCDEFGH,x60-著名IP 
17,奥飞娱乐,玩具,广东-汕头,玩具营收A股第1，,超级飞侠，火力少年王,,,,,,,ABCDEFGH,x60-著名IP 
18,星辉娱乐,玩具,广东-汕头,玩具营收A股第2，,静态车模,,,,,,,ABCDEFGH,x60-著名IP 
19,实丰文化,玩具,广东-汕头,玩具营收A股第3，,电动遥控玩具,,,,,,,ABCDEFGH,x60-著名IP 
20,高乐股份,玩具,广东-揭阳,玩具营收A股第4，,迪士尼周边,,,,,,,ABCDEFGH,x60-著名IP 
21,汤姆猫-300,玩具,浙江-绍兴,玩具营收A股第5，,汤姆猫系列玩具,,,,,,,ABCDEFGH,x60-著名IP 
22,元隆雅图,盲盒,北京,盲盒产品冰墩墩,,,,,,,,ABCDEFGH,x60-著名IP 
23,德艺文创-300,盲盒,福建-福州,盲盒产品： 森晴,,,,,,,,ABCDEFGH,x60-著名IP 
24,天舟文化-300,盲盒,湖南-长沙,盲盒产品：线上数字版盲盒,,,,,,,,ABCDEFGH,x60-著名IP 
25,沐邦高科,盲盒,江西-南昌,盲盒产品：樱桃小丸子,,,,,,,,ABCDEFGH,x60-著名IP 
26,姚记科技,卡牌,上海,国内扑克牌龙头企业,,,,,,,,ABCDEFGH,x60-著名IP 
27,华立科技-300,卡牌,广东-广州,宝可梦与奥特曼卡牌,,,,,,,,ABCDEFGH,x60-著名IP 
28,曼卡龙-300,首饰,浙江-杭州,与《甄嬛传》联名推出黄金产品,,,,,,,,ABCDEFGH,x60-著名IP 
29,京华激光,防伪,浙江-绍兴,激光防伪营收第一,公司为小马宝莉卡牌，泡泡玛特手办提供激光管防伪,,,,,,,ABCDEFGH,x60-著名IP 
30,顺灏股份-hao-,防伪,上海,公司防伪产品主要应用于香烟领域,,,,,,,,ABCDEFGH,x60-著名IP 
31,陕西金叶,防伪,西安,公司防伪产品主要应用于香烟领域,,,,,,,,ABCDEFGH,x60-著名IP 
32,大悦城,门店,深圳,二次元产品零售店进度A股第1，,静安大悦城被称为二次元的快乐老家,,,,,,,ABCDEFGH,x60-著名IP 
33,新世界,门店,上海,二次元产品零售店进度A股第2，,上海新世界城 4楼打造FUN 肆街区,,,,,,,ABCDEFGH,x60-著名IP 
34,横店影视,门店,浙江-金华,公司要争取与知名品牌达成衍生品快闪电的开设合作,,,,,,,,ABCDEFGH,x60-著名IP 
35,星辉娱乐,门店,广东-汕头,与酷乐潮玩开展线下渠道合作,,,,,,,,ABCDEFGH,x60-著名IP 
36,华立科技-300,设备,广东-广州,提供卡牌销售机,,,,,,,,ABCDEFGH,x60-著名IP 
37,金运激光-300,运营,湖北-武汉,收购下游渠道商玩偶一号 完成了运营从设备制造，IP设计、生产销售及粉丝运营的产业全链整合,,,,,,,,ABCDEFGH,x60-著名IP 
38,德力股份,运营,安徽-滁州,公司参股工商武汉唯道主营IP版权的运营,,,,,,,,ABCDEFGH,x60-著名IP 
