序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,上海机电,电梯,上海,国产电梯市占率第1， ,,,,,,,,ABCDEFGH,x61-电梯
2,康力电梯,电梯,江苏-苏州,国产电梯市占率第2， ,,,,,,,,ABCDEFGH,x61-电梯
3,广日股份,电梯,广东-广州,国产电梯市占率第3， ,,,,,,,,ABCDEFGH,x61-电梯
4,梅轮电梯,电梯,浙江-绍兴,国产电梯市占率第4， ,,,,,,,,ABCDEFGH,x61-电梯
5,快意电梯,电梯,广东-东莞,国产电梯市占率第5， ,,,,,,,,ABCDEFGH,x61-电梯
6,森赫股份-300,电梯,浙江-湖州,国产电梯市占率第6， ,,,,,,,,ABCDEFGH,x61-电梯
7,远大智能,电梯,辽宁-沈阳,国产电梯市占率第7， ,,,,,,,,ABCDEFGH,x61-电梯
8,同力日升,电梯,江苏-镇江,电梯零部件 营收21亿,,,,,,,,ABCDEFGH,x61-电梯
9,华菱精工,电梯,安徽-宣城,电梯零部件,,,,,,,,ABCDEFGH,x61-电梯
10,展鹏科技,电梯,江苏-无锡,电梯门 ,,,,,,,,ABCDEFGH,x61-电梯
11,通用电梯-300,电梯,江苏-苏州,电梯业务营收4亿。,,,,,,,,ABCDEFGH,x61-电梯
12,沪宁股份-300,电梯,浙江-杭州,电梯、自动扶梯及升降机营收3.7亿,,,,,,,,ABCDEFGH,x61-电梯
