序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,AI伴侣,据报道，OpenAl首席执行官山姆·奥特曼当地时间5月21日向员工们展示了他与前苹果公司首席设计师乔纳森·伊夫合作开发的设备，并提出了生产1亿个人工智能“伴侣”的计划，他希望这些“伴侣”能成为人们日常生活的一部分。,,,,,,,,,,ABCDEFGH,x62-AI伴侣
2,国光电器,国外,广东-广州,为微软\openai 代工AI眼镜，智能音响，搭载CHATGPT 双大模型,,,,,,,,ABCDEFGH,x62-AI伴侣
3,世纪瑞尔-300,国外,北京-海淀,公司全息AI音响Holobox 在CES上爆火，推出AI3D，2D 数字人系列产品，已接入CHATGPT,国际消费类电子产品展览会（International Consumer Electronics Show，简称CES）,,,,,,,ABCDEFGH,x62-AI伴侣
4,奥飞娱乐,国内,广东-汕头,玩具 营收A股第1，,,,,,,,,ABCDEFGH,x62-AI伴侣
5,星辉娱乐-300,国内,广东-汕头,玩具 营收A股第2，,,,,,,,,ABCDEFGH,x62-AI伴侣
6,实丰文化,国内,广东-汕头,玩具 营收A股第3，,,,,,,,,ABCDEFGH,x62-AI伴侣
7,高乐股份,国内,广东-揭阳,玩具 营收A股第4，,,,,,,,,ABCDEFGH,x62-AI伴侣
8,润欣科技-300,国内,上海,目前开发的多款AI玩具已接入豆包大模型,,,,,,,,ABCDEFGH,x62-AI伴侣
9,苏豪弘业,国内,江苏-南京,与华麦机器人共同研发的AI陪伴玩偶粉红猪搭载豆包大模型,,,,,,,,ABCDEFGH,x62-AI伴侣
10,洲明科技-300,国内,深圳,公司在京东发布了端侧硬件产品AI陪伴助手,,,,,,,,ABCDEFGH,x62-AI伴侣
