序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,AI游戏分为：,全产业链， 游戏平台，开发平台，游戏产品， 智能NPC ,,,,,,,,,,ABCDEFGH,x64-AI游戏
2,掌趣科技-300,全产业链,北京-海淀,平台+工具+技术+游戏产权 ,,,,,,,,ABCDEFGH,x64-AI游戏
3,昆仑万维-300,全产业链,北京-东城,AI大模型+ AI 游戏（Club  Koala),,,,,,,,ABCDEFGH,x64-AI游戏
4,盛天网络-300,游戏平台,湖北-武汉,游戏平台市占率第一，,,,,,,,,ABCDEFGH,x64-AI游戏
5,神州泰岳-300,开发平台,北京,拥有自主研发的NLP开发凭条,,,,,,,,ABCDEFGH,x64-AI游戏
6,游族网络,开发平台,福建-泉州,与商汤科技 签订战略合作协议,,,,,,,,ABCDEFGH,x64-AI游戏
7,宝通科技-300,开发平台,江苏-无锡,打造广告AI 投放平台，以及AIGC绘画系统,,,,,,,,ABCDEFGH,x64-AI游戏
8,汤姆猫-300,开发平台,浙江-绍兴,VertexAI 平台接入GOOGLE大模型,,,,,,,,ABCDEFGH,x64-AI游戏
9,星辉娱乐-300,开发平台,广东-汕头,公司AI 应用在游戏研发上实现常态化，应用于AI绘图,,,,,,,,ABCDEFGH,x64-AI游戏
10,名臣健康,游戏产品,广东-汕头,《境界* 刀鸣》,,,,,,,,ABCDEFGH,x64-AI游戏
11,恒信东方-300,游戏产品,北京,《山海之道》,,,,,,,,ABCDEFGH,x64-AI游戏
12,恺英网络,智能NPC,福建-泉州,子公司智能NPC算法获批备案,"NPC的中文翻译是“非玩家角色”,通常指游戏中由人工智能控制的角色",,,,,,,ABCDEFGH,x64-AI游戏
13,完美世界,智能NPC,浙江-潮州,公司已将AI相关技术应用于游戏中的智能NPC,,,,,,,,ABCDEFGH,x64-AI游戏
14,巨人网络,智能NPC,重庆,公司利用GIANT gpt 打造陪伴型智能,,,,,,,,ABCDEFGH,x64-AI游戏
15,电魂网络,智能NPC,浙江-杭州,公司与网易成立“游戏人工智能联合实验室”,,,,,,,,ABCDEFGH,x64-AI游戏
16,冰川网络-300,智能NPC,深圳,智能NPC,,,,,,,,ABCDEFGH,x64-AI游戏
17,星辉娱乐-300,智能NPC,广东-汕头 ,智能NPC,,,,,,,,ABCDEFGH,x64-AI游戏
