序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,锂电池分为：,锂矿，钴矿，,正极材料，负极材料，电解液，隔膜,,铜箔，铝箔,电池结构件，设备，电池管理系统，产品,,,,,,ABCDEFGH,x65-锂电池
2,锂矿分为：,锂辉石提锂，盐湖提锂，云母提锂,,,,,,,,,,ABCDEFGH,x65-锂电池
3,赣锋锂业,锂矿-锂辉石提锂,江西-新余,锂辉石提锂碳酸锂权益当量第1，,,,,,,,,ABCDEFGH,x65-锂电池
4,天齐锂业,锂矿-锂辉石提锂,四川-遂宁,锂辉石提锂碳酸锂权益当量第2，,,,,,,,,ABCDEFGH,x65-锂电池
5,中矿资源,锂矿-锂辉石提锂,北京,锂辉石提锂碳酸锂权益当量第3，,,,,,,,,ABCDEFGH,x65-锂电池
6,天华新能-300,锂矿-锂辉石提锂,江苏-苏州,锂辉石提锂碳酸锂权益当量第4，,,,,,,,,ABCDEFGH,x65-锂电池
7,雅化集团,锂矿-锂辉石提锂,四川-雅安,锂辉石提锂碳酸锂权益当量第5，,,,,,,,,ABCDEFGH,x65-锂电池
8,融捷股份,锂矿-锂辉石提锂,广州,锂辉石提锂碳酸锂权益当量第6，,,,,,,,,ABCDEFGH,x65-锂电池
9,川能动力,锂矿-锂辉石提锂,四川-成都,锂辉石提锂碳酸锂权益当量第7，,,,,,,,,ABCDEFGH,x65-锂电池
10,盛新锂能,锂矿-锂辉石提锂,四川-成都,锂辉石提锂碳酸锂权益当量第8，,,,,,,,,ABCDEFGH,x65-锂电池
11,永杉锂业,锂矿-锂辉石提锂,辽宁-锦州,外采锂辉石提锂，,,,,,,,,ABCDEFGH,x65-锂电池
12,西藏矿业,锂矿-盐湖提锂,西藏-拉萨,盐湖提锂营收占比第1，,,,,,,,,ABCDEFGH,x65-锂电池
13,藏格矿业,锂矿-盐湖提锂,青海-海西蒙古族,盐湖提锂营收占比第2，,,,,,,,,ABCDEFGH,x65-锂电池
14,盐湖股份,锂矿-盐湖提锂,青海-海西蒙古族,盐湖提锂营收占比第3，,,,,,,,,ABCDEFGH,x65-锂电池
15,西藏城投,锂矿-盐湖提锂,西藏-拉萨,锂盐规划产能4万吨/年,,,,,,,,ABCDEFGH,x65-锂电池
16,西藏珠峰,锂矿-盐湖提锂,西藏-拉塞,锂盐规划产能5万吨/年,,,,,,,,ABCDEFGH,x65-锂电池
17,科达制造,锂矿-盐湖提锂,广东-佛山,锂盐产能3万吨/年,,,,,,,,ABCDEFGH,x65-锂电池
18,久吾高科-300,锂矿-盐湖提锂,江苏-南京,公司拥有盐湖提锂相关的专利技术,,,,,,,,ABCDEFGH,x65-锂电池
