序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1,飞行汽车分为：,整车制造，整车材料，整车部件，管理运营,,,,,,,,,,ABCDEFGH,x66-飞行汽车
2,万丰奥威,整车制造,浙江-绍兴,商业化进度第1，,,,,,,,,ABCDEFGH,x66-飞行汽车
3,商络电子-300,整车制造,江苏-南京,商业化进度第2，,,,,,,,,ABCDEFGH,x66-飞行汽车
4,山河智能,整车制造,湖南-长沙,商业化进度第3，,,,,,,,,ABCDEFGH,x66-飞行汽车
5,海特高新,整车制造,四川-成都,商业化进度第4，,,,,,,,,ABCDEFGH,x66-飞行汽车
6,上工申贝,整车制造,上海,参股上海飞人科技股权,,,,,,,,ABCDEFGH,x66-飞行汽车
7,建新股份,整车制造,河北-沧州,参股河北建新飞行汽车,,,,,,,,ABCDEFGH,x66-飞行汽车
8,中直股份,整车制造,黑龙江-哈尔滨,联合中国航空研究院，中航科工研发飞行汽车,,,,,,,,ABCDEFGH,x66-飞行汽车
9,创世纪-300,整车制造,广东-东莞,亿航智能云浮生产基地台群加工中心为 公司产品,,,,,,,,ABCDEFGH,x66-飞行汽车
10,泰和新材,整车材料-芳纶纸,山东-烟台,芳纶很耐高温，不怕火，也不怕电，还不怕酸碱和辐射，所以可以用来做安全防护、高温过滤、电气绝缘、结构材料等方面的东西,,,,,,,,ABCDEFGH,x66-飞行汽车
11,荣晟环保,整车材料-芳纶纸,浙江-嘉兴,,,,,,,,,ABCDEFGH,x66-飞行汽车
12,吉林化纤,整车材料-碳纤维,吉林-吉林,产能A股第1，,,,,,,,,ABCDEFGH,x66-飞行汽车
13,中复神鹰-688,整车材料-碳纤维,江苏-连云港,产能A股第2，,,,,,,,,ABCDEFGH,x66-飞行汽车
14,光威复材-300,整车材料-碳纤维,山东-威海,产能A股第3，,,,,,,,,ABCDEFGH,x66-飞行汽车
15,中简科技-300,整车材料-碳纤维,江苏-常州,产能A股第4，,,,,,,,,ABCDEFGH,x66-飞行汽车
16,宗申动力,整车部件-动力,重庆,摩托车发动机市占率第一，航空飞行器提供动力,,,,,,,,ABCDEFGH,x66-飞行汽车
17,维科技术,整车部件-动力,浙江-宁波,高倍率电池进度第1，,,,,,,,,ABCDEFGH,x66-飞行汽车
18,蔚蓝锂芯,整车部件-动力,江苏-苏州,高倍率电池进度第2，,,,,,,,,ABCDEFGH,x66-飞行汽车
19,豪鹏科技,整车部件-动力,深圳,高倍率电池进度第3，,,,,,,,,ABCDEFGH,x66-飞行汽车
20,紫建电子-300,整车部件-动力,重庆,高倍率电池进度第4，,,,,,,,,ABCDEFGH,x66-飞行汽车
21,广信材料-300,整车部件-动力,江苏-无锡,高贝利电池电解液取得突破,,,,,,,,ABCDEFGH,x66-飞行汽车
22,沧州明珠,整车部件-动力,河北-沧州,高贝利涂覆膜项目处于研发,,,,,,,,ABCDEFGH,x66-飞行汽车
23,百川股份,整车部件-动力,江苏-无锡,拥有高倍率电池迎客，隔膜等专利,,,,,,,,ABCDEFGH,x66-飞行汽车
24,蓝海华腾-300,整车部件-动力,深圳,组建团队开展电动飞行器电机控制器项目,,,,,,,,ABCDEFGH,x66-飞行汽车
25,北斗星通,整车部件-导航,北京,高精度导航芯片国内市占率第1，,,,,,,,,ABCDEFGH,x66-飞行汽车
26,中海达-300,整车部件-导航,广州,高精度GNSS市占率国内第1，,,,,,,,,ABCDEFGH,x66-飞行汽车
27,华测导航-300,整车部件-导航,上海,高精度GNSS市占率国内第2，,,,,,,,,ABCDEFGH,x66-飞行汽车
28,合众思壮,整车部件-导航,北京,高精度GNSS市占率国内第3，,,,,,,,,ABCDEFGH,x66-飞行汽车
29,司南导航-688,整车部件-导航,上海,高精度GNSS市占率国内第4，,,,,,,,,ABCDEFGH,x66-飞行汽车
30,龙洲股份,整车部件-导航,福建-龙岩,子公司从事卫星定位监控服务,,,,,,,,ABCDEFGH,x66-飞行汽车
31,新大洲A,整车部件-零部件,海南-海口,参股子公司生产LEAP发动机零部件,,,,,,,,ABCDEFGH,x66-飞行汽车
32,金盾股份-300,整车部件-零部件,浙江-绍兴,叶轮样机通过性能测试,,,,,,,,ABCDEFGH,x66-飞行汽车
33,安达维尔-300,整车部件-零部件,北京,低空飞行器抗坠毁座椅,,,,,,,,ABCDEFGH,x66-飞行汽车
34,孚能科技-688,整车部件-零部件,江西-赣州,供货航空电池,,,,,,,,ABCDEFGH,x66-飞行汽车
35,万安科技,整车部件-零部件,浙江-绍兴,红火前副车架总成,,,,,,,,ABCDEFGH,x66-飞行汽车
36,长源东谷,整车部件-零部件,湖北-襄阳,供货电驱壳体部件,,,,,,,,ABCDEFGH,x66-飞行汽车
37,卧龙电驱,整车部件-零部件,浙江-绍兴,供货电机，商飞合作,,,,,,,,ABCDEFGH,x66-飞行汽车
38,王子新材,整车部件-零部件,深圳,供货薄膜电容器。,,,,,,,,ABCDEFGH,x66-飞行汽车
39,圣龙股份,整车部件-零部件,浙江-宁波,提供智能执行器的定点开发项目，,,,,,,,,ABCDEFGH,x66-飞行汽车
40,光洋股份,小鹏,江苏-常州,小鹏飞行汽车合作进度第1，,小鹏汽车的总部位于广东省广州市天河区,,,,,,,ABCDEFGH,x66-飞行汽车
41,天成自控,小鹏,浙江-台州,小鹏飞行汽车合作进度第2，,,,,,,,,ABCDEFGH,x66-飞行汽车
42,森麒麟,小鹏,山东-青岛,小鹏飞行汽车合作进度第3，,,,,,,,,ABCDEFGH,x66-飞行汽车
43,铭科精技,小鹏,广东-东莞,小鹏飞行汽车合作进度第4，,,,,,,,,ABCDEFGH,x66-飞行汽车
44,星源卓镁-300,小鹏,浙江-宁波,小鹏飞行汽车合作进度第5，,,,,,,,,ABCDEFGH,x66-飞行汽车
45,设计总院,管理运营-规划,安徽-合肥,组建民航设计院，中标两个机场建设项目,,,,,,,,ABCDEFGH,x66-飞行汽车
46,华设集团,管理运营-规划,江苏-南京,提供低空政策咨询，空域规划，标准制定等咨询业务。,,,,,,,,ABCDEFGH,x66-飞行汽车
47,深城交-300,管理运营-管理,深圳,开发建设深圳低空经济智能融合系统软件平台,,,,,,,,ABCDEFGH,x66-飞行汽车
48,莱斯信息-688,管理运营-管理,南京,空管自动化系统国内市占率第一,,,,,,,,ABCDEFGH,x66-飞行汽车
49,四川九州,管理运营-管理,四川-绵阳,公司空管产品已在四川低空试点开展应用,,,,,,,,ABCDEFGH,x66-飞行汽车
50,北纬科技,管理运营-管理,北京,公司拥有御空低空智能联管控平台,,,,,,,,ABCDEFGH,x66-飞行汽车
51,四创电子,管理运营-管理,安徽-合肥,公司已开展低空经济论证，打造低空飞行管理服务平台,,,,,,,,ABCDEFGH,x66-飞行汽车
52,新晨科技-300,管理运营-管理,北京,布局一体化低空空域使用计划申报服务平台,,,,,,,,ABCDEFGH,x66-飞行汽车
53,中化岩土,管理运营-驾照,北京,可提供私用驾驶员执照培训业务,,,,,,,,ABCDEFGH,x66-飞行汽车
