序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,氯虫苯甲酰胺 ,（山东高密友道化学有限公司一车间发生爆炸事故）,,据悉山东友道化学占据国内氯虫苯甲酰胺重要产能。,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
2,联化科技,上游K胺,浙江-台州,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
3,广康生化-300,上游K胺,广东-清远,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
4,辉隆股份,上游K胺,安徽-合肥,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
5,雅本化学-300,上游K酸,江苏-苏州,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
6,辉隆股份,上游K酸,安徽-合肥,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
7,雅本化学-300,上游二氧呲啶,江苏-苏州,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
8,善水科技-300,上游二氧呲啶,江西-九江,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
9,利尔化学,上游硝基苯甲酸,四川-绵阳,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
10,海利尔,上游硝基苯甲酸,山东-青岛,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
11,广信股份,上游硝基苯甲酸,安徽-宣城,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
12,广信股份,氯虫苯甲酰胺 ,安徽-宣城,氯虫苯甲酰胺 产能A股 第1，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
13,中旗股份-300,氯虫苯甲酰胺 ,江苏-南京,氯虫苯甲酰胺 产能A股 第2，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
14,利尔化学,氯虫苯甲酰胺 ,四川绵阳,氯虫苯甲酰胺 产能A股 第3，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
15,海利尔,氯虫苯甲酰胺 ,山东-青岛,氯虫苯甲酰胺 产能A股 第4，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
16,美邦股份,氯虫苯甲酰胺 ,陕西-渭南,氯虫苯甲酰胺 产能A股 第5，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
17,辉隆股份,氯虫苯甲酰胺 ,安徽-合肥,氯虫苯甲酰胺 产能A股 第6，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
18,雅本化学-300,氯虫苯甲酰胺 ,江苏-苏州,氯虫苯甲酰胺 产能A股 第7，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
19,扬农化工,氯虫苯甲酰胺 ,江苏-扬州,氯虫苯甲酰胺 产能A股 第8，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
20,长青股份,氯虫苯甲酰胺 ,江苏-扬州,氯虫苯甲酰胺 产能A股 第9，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
21,善水科技-300,氯虫苯甲酰胺 ,江西-九江,氯虫苯甲酰胺 产能A股 第10，,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
22,广康生化-300,氯虫苯甲酰胺 ,广东-清远,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
23,永太科技,氯虫苯甲酰胺 ,浙江-台州,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
24,润丰股份-300,氯虫苯甲酰胺 ,山东-潍坊,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
25,诺普信,氯虫苯甲酰胺 ,广东-深圳,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
26,久日新材,氯虫苯甲酰胺 ,天津,苯甲酸市占率A股第1， 苯甲酸为氯虫苯甲酰胺 重要上游原材料,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
27,广康生化-300,杀虫剂,,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
28,农心科技,杀虫剂,陕西-西安,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
29,国光股份,杀虫剂,四川-成都,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
30,蓝丰生化,杀虫剂,江苏-徐州,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
31,苏利股份,杀虫剂,江苏-无锡,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
32,美邦股份,杀虫剂,陕西-渭南,,,,,,,,,ABCDEFGH,x67-氯虫苯甲酰胺
