序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,化工品分为,钛白粉，丙烯酸，硫酸,季戊四醇,环氧丙烷,泰乐菌素,炭黑,溴素,制冷剂,,,,ABCDEFGH,x7-化工品涨价 
2,龙佰集团,钛白粉,河南-焦作,设计年产能A股第一，为151万顿/年,,,,,,,,ABCDEFGH,x7-化工品涨价 
3,钛白粉,,,钛白粉 在涂料、油墨、造纸、塑料橡胶、化纤、陶瓷等工业中有重要用途,,,,,,,,ABCDEFGH,x7-化工品涨价 
4,中核钛白,钛白粉,甘肃-白银,设计产能A股第二，为40万顿/年,,,,,,,,ABCDEFGH,x7-化工品涨价 
5,鲁北化工,钛白粉,山东-滨州,设计产能A股第三,,,,,,,,ABCDEFGH,x7-化工品涨价 
6,钒钛股份,钛白粉,四川-攀枝花,设计产能A股第四,,,,,,,,ABCDEFGH,x7-化工品涨价 
7,坤彩科技,钛白粉,福建-福州,设计产能A股第五,,,,,,,,ABCDEFGH,x7-化工品涨价 
8,金浦钛业,钛白粉,吉林-吉林市,设计产能A股第六,,,,,,,,ABCDEFGH,x7-化工品涨价 
9,惠云钛业-300,钛白粉,广东-云浮市,设计产能A股第七,,,,,,,,ABCDEFGH,x7-化工品涨价 
10,安纳达,钛白粉,安徽-铜陵,设计产能A股第八,,,,,,,,ABCDEFGH,x7-化工品涨价 
11,卫星化学,丙烯酸,浙江-嘉兴,丙烯酸占全国产能比重第一，19%,,,,,,,,ABCDEFGH,x7-化工品涨价 
12,华谊集团,丙烯酸,上海-静安,丙烯酸占全国产能比重第二，9%,,,,,,,,ABCDEFGH,x7-化工品涨价 
13,万华化学,丙烯酸,山东-烟台,丙烯酸占全国产能比重第三，9%,,,,,,,,ABCDEFGH,x7-化工品涨价 
14,沈阳化工,丙烯酸,辽宁-沈阳,丙烯酸占全国产能比重第四，2%,,,,,,,,ABCDEFGH,x7-化工品涨价 
15,渤海化学,丙烯酸,天津-滨海,公司丙烯年产能60万吨/年,,,,,,,,ABCDEFGH,x7-化工品涨价 
16,岳阳兴长,丙烯酸,湖南-岳阳,公司丙烯年产能28.7万吨/年，公司是中南地区最大的MTB生产企业,,,,,,,,ABCDEFGH,x7-化工品涨价 
