序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,无人配送分为：,中国邮政集团，整车，机器人，快递柜，配送系统，快递,,,,,,,,,,ABCDEFGH,x75-无人配送
2,中邮科技,中国邮政集团,上海,中国邮政集团持股48%,,,,,,,,ABCDEFGH,x75-无人配送
3,湘邮科技,中国邮政集团,湖南-长沙,中国邮政集团持股39%,,,,,,,,ABCDEFGH,x75-无人配送
4,云内动力,整车,云南-昆明,进度第一， 公司在云南昆明，玉溪，楚雄等市，无人车已经投入进村投放,,,,,,,,ABCDEFGH,x75-无人配送
5,金龙汽车,整车,福建-厦门,与京东物流联合发布DIDO自动驾驶物流车,,,,,,,,ABCDEFGH,x75-无人配送
6,长城汽车,整车,河北-保定,美团推出魔袋20无人配送车，,,,,,,,,ABCDEFGH,x75-无人配送
7,福田汽车,整车,北京,参与干线物流自动驾驶汽车试点,,,,,,,,ABCDEFGH,x75-无人配送
8,江淮汽车,整车,安徽-合肥,,,,,,,,,ABCDEFGH,x75-无人配送
9,通达电气,整车,广州,与图达通合作推出 卡拉无人 售卖车,,,,,,,,ABCDEFGH,x75-无人配送
10,九号公司-688,机器人,北京,配送机器人营收第一，2.5亿,,,,,,,,ABCDEFGH,x75-无人配送
11,机器人-300,机器人,辽宁-沈阳,公司产品包括配送机器人,,,,,,,,ABCDEFGH,x75-无人配送
12,运达股份-300,机器人,浙江-杭州,公司产品包括配送机器人,,,,,,,,ABCDEFGH,x75-无人配送
13,诺力股份,机器人,浙江-湖州,公司产品包括物流机器人,,,,,,,,ABCDEFGH,x75-无人配送
14,赛象科技,机器人,天津,送死产品包括 物流AGV移动机器人,,,,,,,,ABCDEFGH,x75-无人配送
15,东方精工,机器人,广东-佛山,参股公司包括智能搬运机器人,,,,,,,,ABCDEFGH,x75-无人配送
16,智莱科技-300,快递柜,深圳,之鞥呢快递柜营收第1，,,,,,,,,ABCDEFGH,x75-无人配送
17,新北洋,快递柜,山东-威海,智能快递柜营收第2,,,,,,,,ABCDEFGH,x75-无人配送
18,德马科技-688,快递柜,浙江-湖州,公司提供包括智能快递柜在内的智能物流解决方案,,,,,,,,ABCDEFGH,x75-无人配送
19,今天国际-300,快递柜,深圳,公司有智能快递柜相关的技术和服务,,,,,,,,ABCDEFGH,x75-无人配送
20,兰剑智能-688,快递柜,山东-济南,提供智能快递柜的智能仓储系统,,,,,,,,ABCDEFGH,x75-无人配送
21,音飞储存,快递柜,南京,自动化立体库系统,,,,,,,,ABCDEFGH,x75-无人配送
22,飞力达,配送系统,江苏-苏州,发布全国首个自动驾驶智慧物流商业化配送系统,,,,,,,,ABCDEFGH,x75-无人配送
23,中邮科技,配送系统,上海,公司智能无人车投递系统在多地试点投放,,,,,,,,ABCDEFGH,x75-无人配送
24,顺丰控股,快递,深圳,快递营收A股第1， 2500亿,,,,,,,,ABCDEFGH,x75-无人配送
25,圆通速递,快递,辽宁-大连,"快递营收A股第2,500亿",,,,,,,,ABCDEFGH,x75-无人配送
26,韵达股份,快递,浙江-宁波,快递营收A股第3，,,,,,,,,ABCDEFGH,x75-无人配送
27,申通快递,快递,浙江-台州,快递营收A股第4，,,,,,,,,ABCDEFGH,x75-无人配送
28,德邦股份,快递,上海,快递营收A股第5，,,,,,,,,ABCDEFGH,x75-无人配送
