序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
1.0,稳定币分为：,发行支持，安全认证，支付，京东稳定币，代币RWA,,,,,,,,,,ABCDEFGH,x76-稳定币-2025年6月2日
2.0,四方精创-300,发行-发行支持,广东-深圳,进度第一，公司深度参与香港金管局CBDC项目,,,,,,,,ABCDEFGH,x76-稳定币
3.0,雄帝科技-300,发行-发行支持,深圳,进度第二，子公司参与香港金管局的稳定币试点项目,,,,,,,,ABCDEFGH,x76-稳定币
4.0,海联金汇,发行-发行支持,山东-青岛,公司参与央行数字货币桥项目，技术适配稳定币的跨境兑换需求,,,,,,,,ABCDEFGH,x76-稳定币
5.0,恒生电子,发行-发行支持,浙江-杭州,公司投资区块链公司Symbiont,,,,,,,,ABCDEFGH,x76-稳定币
6.0,长亮科技-300,发行-发行支持,深圳,公司为香港虚拟银行提供核心系统支持,,,,,,,,ABCDEFGH,x76-稳定币
7.0,杭州园林,发行-发行支持,浙江杭州,,,,,,,,,ABCDEFGH,x76-稳定币
8.0,金一文化,发行-发行支持,北京,,,,,,,,,ABCDEFGH,x76-稳定币
,御银股份,发行-京东稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
18.0,时代出版,发行-京东稳定币,安徽-合肥,间接参股京东科技，公司投资1.3亿参与设立宿迁东瑞英泰股份盒子企业,,,,,,,,ABCDEFGH,x76-稳定币
19.0,华峰超纤-300,发行-京东稳定币,上海,子公司威富通与京东钱包签约合作,,,,,,,,ABCDEFGH,x76-稳定币
20.0,神州信息,发行-京东稳定币,深圳,与京东数科的合作主要设计银行数字化解决方案,,,,,,,,ABCDEFGH,x76-稳定币
21.0,青岛金王,发行-京东稳定币,山东-青岛,通过银行渠道接入CIPS系统，为京东跨境贸易提供清算服务,,,,,,,,ABCDEFGH,x76-稳定币
22.0,科蓝软件-300,发行-京东稳定币,北京,与京东金融合作，整合包括场景，流量，数据等多方资源,,,,,,,,ABCDEFGH,x76-稳定币
23.0,拉卡拉-300,发行-京东稳定币,北京,京东线下支付通道服务商，,,,,,,,,ABCDEFGH,x76-稳定币
24.0,新大陆,发行-京东稳定币,福建-福州,京东首单设备核心供货商,,,,,,,,ABCDEFGH,x76-稳定币
25.0,新国都-300,发行-京东稳定币,深圳,跨境支付服务商，智能POS终端支持36种货币,,,,,,,,ABCDEFGH,x76-稳定币
26.0,宇信科技-300,发行-京东稳定币,北京,银行IT服务商，参与京东支付相关银行系统的接口开发,,,,,,,,ABCDEFGH,x76-稳定币
27.0,飞天诚信-300,发行-京东稳定币,北京,跨境支付硬件加密技术供应商，为京东支付提供安全认证设备,,,,,,,,ABCDEFGH,x76-稳定币
28.0,小商品城,发行-京东稳定币,浙江-金华,旗下 YIWU pay 布局中东支付牌照，与京东支付在中东电商场景种协同,,,,,,,,ABCDEFGH,x76-稳定币
29.0,金证股份,发行-京东稳定币,深圳,控股子公司金微蓝与京东金融签订战略投资协议,,,,,,,,ABCDEFGH,x76-稳定币
30.0,厦门信达,发行-京东稳定币,福建-厦门,参股60% 厦门国贸京东数科,,,,,,,,ABCDEFGH,x76-稳定币
31.0,保税科技,发行-京东稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
32.0,协鑫能科,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
33.0,市北高新,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
34.0,南威软件,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
35.0,合肥城建,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
36.0,巨人网络,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
37.0,翠微股份,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
38.0,湘邮科技,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
39.0,凤凰传媒,发行-蚂蚁稳定币,,,,,,,,,,ABCDEFGH,x76-稳定币
